elapsed;fitness;solution
18.86;14464447.91;[1, 2, 3, 4, 5, 7, 8, 30, 17, 10, 4, 12, 13, 30, 13, 24, 25, 30, 19, 20, 28, 20, 23, 24, 25, 8, 27, 28, 30, 28]
11.78;15093143.87;[9, 0, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 17, 30, 19, 28, 21, 13, 23, 24, 6, 24, 27, 28, 30, 21]
7.46;15117982.62;[1, 9, 3, 4, 13, 7, 8, 30, 17, 18, 9, 12, 13, 30, 7, 24, 17, 30, 19, 28, 21, 13, 23, 24, 6, 24, 27, 28, 30, 21]
11.43;15077729.81;[1, 9, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
11.68;14988377.95;[1, 9, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 17, 30, 19, 28, 21, 13, 23, 24, 6, 24, 27, 28, 30, 21]
11.69;14967401.59;[1, 9, 3, 12, 5, 7, 8, 30, 17, 10, 19, 12, 13, 30, 13, 24, 25, 30, 19, 28, 13, 20, 23, 24, 25, 8, 27, 28, 30, 21]
11.69;15182495.73;[9, 0, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
7.25;14961405.38;[1, 9, 3, 12, 5, 7, 8, 30, 17, 10, 19, 12, 13, 30, 13, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
12.13;15222748.53;[9, 0, 3, 4, 13, 7, 8, 30, 17, 18, 9, 12, 13, 30, 7, 24, 17, 30, 19, 28, 21, 13, 23, 24, 6, 24, 27, 28, 30, 21]
11.90;15312100.39;[9, 0, 3, 4, 13, 7, 8, 30, 17, 18, 9, 12, 13, 30, 7, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
13.16;15341134.51;[1, 10, 3, 4, 13, 7, 8, 30, 17, 18, 19, 12, 13, 30, 7, 24, 25, 30, 27, 28, 13, 20, 23, 24, 25, 8, 27, 28, 30, 21]
12.58;15341134.51;[1, 10, 3, 4, 13, 7, 8, 30, 17, 18, 19, 12, 13, 30, 7, 24, 25, 30, 27, 28, 13, 20, 23, 24, 25, 8, 27, 28, 30, 21]
13.07;15335138.30;[1, 10, 3, 4, 13, 7, 8, 30, 17, 18, 19, 12, 13, 30, 7, 24, 25, 30, 27, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
6.29;15077729.81;[1, 9, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
11.40;15245786.44;[1, 10, 3, 4, 13, 7, 8, 30, 17, 18, 19, 12, 13, 30, 7, 24, 17, 30, 27, 28, 21, 13, 23, 24, 6, 24, 27, 28, 30, 21]
7.50;14963998.02;[1, 9, 11, 4, 5, 7, 8, 30, 17, 10, 19, 12, 13, 30, 13, 24, 25, 30, 19, 28, 13, 20, 23, 24, 25, 8, 27, 28, 30, 21]
6.48;15083726.03;[1, 9, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 25, 30, 19, 28, 13, 20, 23, 24, 25, 8, 27, 28, 30, 21]
8.70;14824676.75;[1, 2, 3, 12, 5, 7, 8, 30, 17, 10, 19, 12, 13, 30, 13, 24, 25, 30, 27, 28, 19, 13, 23, 24, 25, 8, 27, 28, 30, 28]
7.24;15077729.81;[1, 9, 3, 4, 13, 7, 8, 30, 17, 10, 19, 12, 13, 30, 7, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]
7.79;14961405.38;[1, 9, 3, 12, 5, 7, 8, 30, 17, 10, 19, 12, 13, 30, 13, 24, 25, 30, 19, 28, 21, 13, 23, 24, 25, 8, 27, 28, 30, 21]

avg;best;worst
15082014.67;14464447.91;15341134.51
