elapsed;fitness;solution
95.37s;27332202.69;[8, 9, 10, 2, 12, 4, 14, 15, 9, 80, 9, 10, 20, 5, 22, 23, 8, 9, 26, 18, 80, 20, 21, 22, 16, 33, 34, 26, 36, 37, 29, 39, 24, 41, 33, 43, 35, 36, 46, 47, 80, 40, 50, 42, 80, 44, 45, 55, 40, 80, 49, 52, 44, 61, 46, 63, 49, 58, 66, 58, 68, 69, 70, 62, 65, 57, 80, 66, 80, 68, 69, 79, 80, 72, 73, 74, 75, 76, 77, 78]
64.34s;25042790.69;[8, 0, 1, 2, 3, 13, 14, 15, 16, 17, 11, 19, 20, 12, 22, 23, 24, 25, 19, 27, 80, 20, 21, 22, 32, 33, 34, 26, 20, 37, 29, 39, 40, 34, 80, 43, 44, 36, 46, 47, 48, 33, 50, 42, 52, 53, 54, 55, 80, 57, 49, 59, 60, 61, 53, 54, 64, 65, 59, 67, 59, 69, 70, 71, 80, 64, 67, 80, 80, 68, 78, 79, 80, 72, 73, 74, 75, 76, 77, 78]
90.55s;26993063.51;[80, 0, 1, 2, 3, 4, 14, 15, 16, 8, 11, 19, 11, 5, 22, 23, 24, 25, 17, 18, 80, 20, 21, 22, 32, 33, 34, 26, 20, 28, 29, 39, 40, 80, 33, 43, 28, 45, 37, 47, 48, 33, 43, 51, 52, 53, 54, 55, 80, 57, 49, 50, 51, 61, 62, 63, 64, 65, 66, 58, 59, 69, 70, 71, 80, 64, 80, 66, 67, 68, 78, 79, 80, 72, 73, 74, 75, 76, 80, 78]
56.77s;26502634.78;[80, 0, 1, 2, 3, 4, 14, 15, 0, 8, 9, 10, 20, 5, 22, 23, 24, 25, 17, 11, 80, 20, 21, 22, 32, 24, 34, 26, 20, 28, 29, 39, 40, 80, 33, 34, 35, 36, 37, 38, 48, 33, 50, 44, 52, 53, 54, 39, 80, 57, 58, 50, 60, 61, 53, 54, 57, 58, 80, 58, 68, 69, 70, 62, 65, 66, 58, 66, 80, 68, 78, 63, 80, 72, 73, 74, 75, 76, 77, 71]
65.33s;25060316.32;[8, 0, 1, 2, 3, 13, 14, 15, 16, 17, 11, 19, 4, 21, 22, 23, 24, 25, 19, 27, 80, 20, 21, 22, 32, 33, 34, 26, 36, 21, 29, 39, 40, 80, 33, 43, 35, 45, 37, 47, 48, 33, 50, 42, 36, 53, 38, 55, 80, 57, 49, 59, 60, 52, 62, 63, 80, 56, 59, 67, 59, 69, 61, 71, 56, 57, 67, 80, 80, 68, 69, 70, 80, 72, 73, 74, 75, 76, 77, 78]
113.61s;27465572.3;[8, 9, 1, 2, 3, 13, 14, 15, 16, 8, 11, 19, 20, 12, 22, 23, 80, 25, 19, 27, 80, 20, 21, 22, 16, 33, 34, 26, 20, 37, 29, 39, 24, 34, 80, 43, 35, 36, 46, 47, 32, 33, 50, 42, 80, 44, 45, 46, 40, 80, 49, 59, 60, 61, 62, 63, 49, 58, 66, 67, 59, 60, 70, 62, 65, 57, 80, 66, 80, 68, 69, 63, 80, 72, 73, 74, 68, 69, 77, 71]
74.61s;26191284.94;[8, 9, 10, 2, 3, 13, 14, 15, 80, 8, 9, 10, 20, 12, 22, 23, 8, 25, 19, 27, 80, 20, 21, 22, 16, 33, 34, 26, 20, 37, 29, 39, 33, 80, 33, 43, 35, 36, 46, 47, 32, 33, 50, 42, 80, 44, 45, 46, 40, 80, 49, 59, 60, 45, 53, 47, 49, 65, 57, 58, 68, 60, 54, 55, 80, 64, 65, 66, 67, 76, 78, 79, 80, 72, 73, 74, 75, 69, 77, 78]
48.35s;25771384.14;[48, 0, 1, 2, 3, 4, 14, 15, 0, 17, 11, 3, 20, 12, 22, 23, 8, 25, 19, 27, 80, 20, 21, 22, 16, 33, 34, 26, 20, 37, 29, 39, 33, 80, 33, 43, 28, 45, 46, 47, 32, 33, 50, 42, 52, 44, 54, 46, 80, 57, 49, 59, 51, 61, 62, 63, 64, 56, 59, 67, 68, 69, 61, 70, 80, 80, 65, 66, 80, 68, 78, 63, 80, 72, 73, 74, 75, 76, 77, 71]
87.55s;27859730.81;[80, 0, 1, 2, 3, 4, 14, 15, 9, 80, 11, 19, 4, 21, 13, 23, 8, 9, 17, 18, 80, 20, 21, 22, 16, 33, 27, 19, 20, 37, 29, 23, 24, 80, 33, 34, 35, 36, 46, 31, 33, 33, 43, 51, 52, 37, 54, 55, 40, 57, 51, 59, 60, 52, 62, 63, 64, 65, 57, 67, 68, 69, 61, 71, 80, 64, 80, 66, 80, 68, 62, 78, 80, 72, 73, 74, 75, 76, 77, 71]
63.60s;27339131.96;[80, 0, 1, 2, 3, 4, 14, 15, 0, 1, 11, 19, 20, 5, 22, 23, 8, 25, 17, 18, 80, 20, 21, 22, 16, 33, 34, 26, 20, 30, 38, 30, 24, 80, 33, 34, 28, 36, 46, 47, 48, 33, 43, 44, 45, 46, 48, 55, 80, 57, 58, 50, 51, 61, 46, 63, 80, 56, 57, 58, 68, 69, 70, 62, 56, 64, 65, 66, 80, 68, 69, 63, 80, 72, 73, 74, 75, 76, 77, 78]
