elapsed;fitness;solution
30.474;8626490.402;[6, 0, 1, 2, 3, 4, 30, 14, 6, 8, 9, 30, 11, 12, 13, 16, 30, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
22.150;8054844.898;[6, 0, 1, 2, 11, 4, 30, 5, 30, 8, 9, 10, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
23.534;8686700.064;[8, 0, 1, 11, 3, 4, 30, 5, 6, 10, 11, 30, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 23, 24, 30, 24, 25, 26, 27, 28]
18.405;9667444.618;[6, 0, 1, 11, 3, 4, 30, 5, 6, 8, 9, 30, 11, 12, 13, 16, 17, 18, 26, 18, 21, 13, 30, 22, 23, 24, 30, 26, 27, 28]
17.743;8629474.073;[6, 0, 1, 2, 3, 4, 30, 14, 6, 8, 9, 16, 11, 12, 13, 30, 15, 24, 17, 11, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
19.943;8183378.975;[8, 0, 1, 10, 3, 4, 30, 5, 6, 30, 9, 10, 11, 12, 13, 30, 30, 16, 17, 18, 19, 20, 23, 15, 23, 24, 18, 26, 27, 28]
18.674;8393506.956;[6, 0, 1, 2, 3, 4, 30, 5, 6, 8, 11, 30, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
22.168;8054844.898;[6, 0, 1, 2, 11, 4, 30, 5, 30, 8, 9, 10, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
23.929;8088523.387;[1, 8, 1, 10, 3, 4, 30, 5, 6, 30, 9, 10, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
11.151;8338265.574;[6, 0, 1, 2, 3, 4, 30, 14, 6, 8, 9, 18, 11, 12, 13, 30, 15, 16, 17, 18, 28, 20, 30, 22, 23, 24, 25, 26, 27, 28]
22.829;8375038.049;[1, 9, 3, 4, 11, 4, 30, 5, 6, 8, 30, 10, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 23, 30, 23, 24, 25, 26, 27, 28]
20.309;8589277.649;[1, 8, 1, 2, 3, 4, 8, 5, 30, 8, 11, 18, 11, 12, 13, 30, 15, 18, 30, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
21.592;8490845.261;[6, 0, 1, 2, 3, 4, 30, 14, 6, 8, 9, 30, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 28, 29, 21]
10.807;8346897.345;[6, 0, 1, 2, 3, 4, 30, 14, 6, 8, 9, 18, 11, 12, 13, 30, 15, 16, 17, 18, 28, 20, 23, 30, 23, 24, 25, 26, 27, 28]
22.292;8072485.831;[8, 0, 1, 10, 3, 4, 30, 5, 6, 30, 9, 10, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
15.290;8199416.531;[1, 8, 1, 10, 3, 4, 30, 5, 6, 30, 9, 10, 11, 12, 13, 30, 30, 16, 17, 18, 19, 20, 23, 15, 23, 24, 18, 26, 27, 28]
10.163;8389677.387;[6, 0, 1, 2, 11, 4, 30, 5, 30, 8, 9, 10, 11, 12, 13, 30, 17, 30, 17, 18, 19, 20, 15, 22, 23, 24, 18, 26, 27, 28]
11.099;8292992.545;[8, 0, 1, 4, 11, 4, 30, 5, 6, 30, 9, 10, 11, 12, 13, 30, 30, 16, 17, 18, 19, 20, 23, 15, 23, 24, 18, 26, 27, 28]
13.559;8187290.000;[1, 6, 1, 2, 11, 4, 30, 5, 30, 8, 9, 10, 11, 12, 13, 30, 15, 16, 17, 18, 19, 20, 30, 22, 23, 24, 25, 26, 27, 28]
12.538;8287126.111;[6, 0, 1, 2, 3, 7, 30, 14, 6, 8, 9, 10, 19, 12, 13, 30, 15, 16, 17, 18, 28, 20, 30, 22, 23, 24, 25, 26, 27, 28]

avg;best;worst
8397726.028;8054844.898;9667444.618
