elapsed;gap;fitness;solution
7.50s;1.64492%;1792;[[1, 7, 21, 40], [10, 63, 62, 23, 5, 44, 12], [11, 34, 2, 37, 8, 24, 6, 30], [13, 74, 60, 39, 3, 77, 51], [17, 31, 46, 41, 25, 59, 27, 29], [20, 75, 19, 57, 61, 16, 43, 68, 78], [38, 58, 32, 4, 22, 45], [42, 53, 70, 67, 66, 36, 73, 49], [50, 76, 72, 54, 9, 55, 56, 69, 65, 35, 26, 47, 15, 33, 64], [52, 28, 79, 18, 48, 14, 71]]
3.70s;2.72263%;1811;[[1, 7, 21, 40], [2, 37, 8, 68, 43, 16, 61, 78, 5], [3, 39, 60, 29, 74, 13], [10, 71, 28, 79, 18, 48, 14], [12, 44, 23, 11, 63, 62], [17, 31, 27, 59, 30, 6, 24, 34, 52], [20, 75, 57, 26, 35, 65, 19, 25, 41, 46], [38, 58, 32, 4, 22, 45], [42, 53, 70, 66, 67, 36, 73, 49], [50, 76, 72, 54, 9, 55, 56, 69, 47, 15, 33, 64, 77, 51]]
4.09s;1.98525%;1798;[[1, 7, 21, 40], [10, 63, 11, 6, 30, 23], [13, 74, 60, 39, 3, 77, 51], [17, 31, 27, 59, 5, 44, 12, 62], [24, 34, 2, 37, 8, 68, 43, 16, 61, 78], [29, 20, 75, 57, 19, 25, 41, 46], [38, 54, 9, 55, 56, 69, 65, 35, 26, 47, 15, 33, 64], [42, 53, 70, 66, 67, 36, 73, 49], [52, 28, 79, 18, 48, 14, 71], [58, 32, 4, 22, 45, 50, 72, 76]]
3.04s;2.49575%;1807;[[1, 7, 21, 40], [3, 60, 31, 17, 29, 74, 13], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 6, 24, 23, 62], [27, 59, 20, 75, 19, 47, 41, 25, 46, 51], [30, 8, 37, 2, 34, 52, 11, 63], [38, 58, 32, 4, 22, 45], [39, 33, 55, 9, 54, 72, 50, 76, 70, 67], [42, 77, 53, 66, 36, 73, 49], [64, 15, 56, 69, 65, 35, 26, 57, 61, 16, 43, 68, 78]]
4.11s;2.49575%;1807;[[1, 7, 21, 40], [3, 39, 60, 31, 17, 74], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 6, 24, 11, 63], [13, 29, 27, 59, 30, 23, 62], [20, 75, 57, 26, 35, 65, 47, 19, 25, 41, 46], [38, 58, 32, 4, 22, 45], [42, 51, 77, 53, 66, 36, 73, 49], [52, 34, 2, 37, 8, 68, 43, 16, 61, 78], [64, 33, 15, 56, 69, 55, 9, 54, 72, 50, 76, 70, 67]]
3.43s;1.53148%;1790;[[1, 7, 21, 40], [3, 39, 60, 74], [5, 78, 61, 16, 43, 68, 8, 37, 2, 34], [10, 71, 63, 62, 23, 44, 12], [11, 52, 28, 79, 18, 48, 14], [13, 17, 31, 27, 59, 30, 6, 24], [29, 20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 33, 64], [38, 54, 9, 55, 15, 41, 25, 46], [42, 51, 77, 53, 70, 67, 66, 36, 73, 49], [58, 32, 4, 22, 45, 50, 72, 76]]
7.00s;2.0987%;1800;[[1, 7, 21, 40], [3, 39, 60, 74, 13], [10, 71, 24, 6, 59, 27, 31, 17], [11, 52, 28, 79, 18, 48, 14], [20, 75, 57, 26, 35, 65, 69, 56, 47, 19, 25, 64], [29, 5, 12, 44, 23, 63, 62], [30, 78, 68, 61, 16, 43, 8, 37, 2, 34], [38, 54, 9, 55, 33, 15, 41, 46, 77, 51], [42, 53, 70, 66, 67, 36, 73, 49], [58, 32, 4, 22, 45, 50, 72, 76]]
2.99s;2.55247%;1808;[[1, 7, 21, 40], [10, 71, 28, 79, 18, 48, 14], [13, 29, 5, 6, 24, 11, 63], [17, 27, 59, 8, 37, 2, 34, 52], [20, 75, 57, 61, 16, 43, 68, 78, 30], [38, 32, 4, 22, 45, 50], [42, 53, 70, 67, 66, 36, 73, 49], [47, 19, 26, 35, 65, 69, 56, 55, 9, 54, 72, 76, 58], [51, 77, 3, 12, 44, 23, 62], [60, 39, 64, 33, 15, 41, 25, 46, 31, 74]]
3.17s;2.94952%;1815;[[1, 7, 21, 40], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 30, 6, 23, 62], [13, 3, 53, 66, 36, 73], [20, 75, 19, 26, 35, 65, 69, 56, 47, 41, 25, 46, 77, 51], [24, 8, 37, 2, 34, 52, 11, 63], [29, 27, 59, 57, 61, 16, 43, 68, 78], [32, 4, 22, 45, 50, 72, 76, 70, 67], [42, 39, 60, 31, 17, 74], [49, 38, 58, 54, 9, 55, 15, 33, 64]]
3.18s;2.72263%;1811;[[1, 7, 21, 40], [3, 60, 31, 17, 29, 74, 13], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 30, 6, 24, 23], [20, 75, 57, 61, 16, 43, 68, 8, 78], [27, 59, 19, 26, 35, 65, 69, 56, 47, 41, 25, 46], [38, 58, 32, 4, 22, 45], [39, 64, 33, 15, 55, 9, 54, 72, 76, 50], [42, 51, 77, 53, 70, 67, 66, 36, 73, 49], [62, 11, 34, 37, 2, 52, 63]]
