elapsed;gap;fitness;solution
2.67s;0.282885%;709;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 14, 44, 28, 8, 46], [21, 26, 4, 39, 47, 42, 37, 29], [25, 19, 2, 54, 30, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [41, 45, 7, 15, 24, 6, 53]]
1.51s;0.282885%;709;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 44, 14, 28, 8, 46], [25, 19, 2, 54, 30, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [41, 45, 29, 15, 7, 24, 6, 53], [42, 37, 39, 4, 26, 21, 47]]
1.34s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 44, 51, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 34, 30, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.31s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 14, 44, 51, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 34, 30, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.32s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 14, 51, 44, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 54, 34, 30, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.33s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 44, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 45], [25, 19, 2, 54, 34, 30, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [41, 29, 37, 7, 15, 24, 6, 53]]
1.78s;0.141443%;708;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 44, 51, 14, 28, 8, 46], [25, 19, 2, 54, 34, 30, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [41, 29, 37, 7, 15, 24, 6, 53], [45, 42, 39, 4, 26, 21, 47]]
1.11s;0.282885%;709;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 44, 51, 14, 28, 8, 46], [25, 19, 2, 54, 30, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [42, 29, 37, 39, 4, 26, 21, 47], [45, 41, 7, 15, 24, 6, 53]]
1.89s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 44, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 34, 30, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.02s;0.848656%;713;[[1, 25], [2, 34, 54, 30, 31, 20, 55, 11, 33, 49, 32], [3, 13, 36, 48, 35, 16, 52, 27], [18, 10, 17, 44, 51, 14, 28, 8, 46], [19, 7, 15, 37, 29, 41, 45], [21, 26, 4, 39, 47, 42, 24, 6, 53], [40, 5, 12, 9, 38, 22, 50, 23, 43]]
