elapsed;gap;fitness;solution
6.97s;2.7179%;1096;[[1, 51, 9, 81, 33, 50], [3, 79, 29, 24, 54, 55, 25, 4, 26], [6, 85, 16, 86, 61], [12, 80, 68, 77, 76, 28], [18, 8, 46, 36, 49, 64, 11, 62, 88], [27, 20, 66, 65, 71, 35, 34, 78], [31, 10, 63, 90, 32, 30, 70, 69], [40, 21, 73, 72, 74, 22, 41, 2, 58], [52, 7, 19, 47, 48, 82], [53, 13, 87, 42, 97, 95], [56, 39, 67, 23, 75], [57, 15, 43, 14, 38, 44, 91, 100, 37, 98], [83, 45, 17, 84, 5, 60, 89], [94, 92, 59, 93, 99, 96]]
6.78s;2.2493%;1091;[[2, 57, 42, 14, 43, 15, 41, 22, 74, 73, 26], [4, 56, 23, 75, 72, 21], [6, 59, 5, 84, 17, 45, 83, 60, 89], [12, 80, 68, 79, 3, 77], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [20, 66, 65, 71, 35, 34, 78, 76], [27, 1, 51, 9, 81, 33, 50], [28, 29, 24, 55, 25, 67, 39, 54], [31, 10, 63, 90, 32, 30, 70, 69], [40, 58, 53], [52, 7, 19, 47, 48, 82], [61, 16, 86, 38, 44, 91, 98], [92, 37, 100, 85, 93, 99, 96]]
6.35s;2.15558%;1090;[[1, 51, 9, 81, 33, 50], [3, 79, 29, 24, 25, 55, 54, 26, 53], [4, 39, 67, 23, 56], [6, 96, 59, 5, 60, 89], [8, 45, 46, 36, 49, 64, 11, 62, 88], [12, 80, 68, 77, 76, 28], [13, 87, 97, 95, 94], [18, 83, 84, 17, 86, 16, 61], [27, 20, 66, 65, 71, 35, 34, 78], [31, 10, 63, 90, 32, 30, 70, 69], [40, 21, 72, 75, 41, 22, 74, 73], [42, 14, 44, 38, 43, 15, 57, 2, 58], [52, 7, 19, 47, 48, 82], [92, 98, 37, 100, 91, 85, 93, 99]]
6.70s;2.62418%;1095;[[1, 20, 66, 71, 65, 35, 34, 78], [4, 39, 67, 25, 55, 54], [6, 86, 38, 44, 91, 100, 37, 98, 92], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 75, 23, 56, 40, 53], [26, 12, 28], [27, 50, 51, 9, 81, 33, 76], [31, 10, 63, 90, 32, 30, 70, 69], [52, 7, 19, 47, 48, 82], [58, 2, 57, 42, 14, 43, 15, 41, 22, 74, 73], [59, 85, 93, 99, 96], [60, 83, 45, 17, 16, 61, 84, 5, 89], [68, 80, 24, 29, 79, 3, 77]]
6.07s;1.68697%;1085;[[1, 51, 9, 71, 65, 35, 34, 78, 29, 24], [4, 39, 67, 25, 55, 54], [6, 96, 99, 93, 85, 100, 37], [10, 63, 90, 32, 66, 20, 30, 70], [13, 87, 97, 92, 59, 95], [18, 8, 46, 36, 49, 64, 11, 62, 88], [26, 12, 80, 68, 76, 28], [27, 69, 31], [40, 21, 72, 75, 23, 56, 53], [50, 33, 81, 79, 3, 77], [52, 7, 19, 47, 48, 82], [58, 2, 57, 42, 14, 43, 15, 41, 22, 74, 73], [61, 16, 86, 38, 44, 91, 98], [89, 60, 83, 45, 17, 84, 5, 94]]
5.85s;2.43674%;1093;[[1, 51, 9, 81, 33, 50], [3, 79, 29, 24, 25, 55, 54, 26, 53], [4, 39, 67, 23, 56], [6, 96, 59, 99, 5, 60, 89], [8, 45, 46, 36, 49, 64, 11, 62, 88], [12, 80, 68, 77, 76, 28], [13, 87, 95, 94], [18, 83, 84, 17, 86, 16, 61], [21, 72, 75, 22, 41, 74, 73, 40], [27, 20, 66, 71, 65, 35, 34, 78], [31, 10, 63, 90, 32, 30, 70, 69], [52, 7, 19, 47, 48, 82], [58, 2, 57, 15, 43, 42, 14, 38, 44, 91], [93, 85, 100, 98, 37, 92, 97]]
6.52s;2.43674%;1093;[[2, 57, 15, 43, 38, 86, 16, 61], [3, 79, 29, 24, 25, 55, 54, 26], [4, 39, 67, 23, 56], [6, 5, 84, 17, 45, 83, 60, 89], [12, 80, 68, 77, 76, 28], [13, 87, 42, 14, 44, 91, 100], [18, 8, 46, 36, 49, 64, 11, 62, 88], [20, 66, 65, 71, 35, 34, 78], [27, 69, 1, 51, 9, 81, 33, 50], [31, 10, 63, 90, 32, 30, 70], [40, 21, 72, 75, 22, 41, 74, 73], [52, 7, 19, 47, 48, 82], [53, 58, 95, 97, 92, 37, 98, 94], [59, 85, 93, 99, 96]]
5.69s;2.81162%;1097;[[1, 20, 66, 65, 71, 9, 51], [2, 57, 42, 14, 38, 43, 15, 41, 22, 74, 73], [4, 39, 67, 25, 55, 54], [6, 96, 99, 5, 84, 17, 45, 18, 89], [12, 80, 68, 24, 29, 3, 77], [13, 87, 97, 95, 94], [27, 28, 26, 58, 53], [31, 10, 63, 90, 32, 30, 70, 69], [40, 21, 72, 75, 23, 56], [50, 33, 81, 35, 34, 78, 79, 76], [52, 7, 19, 47, 48, 82], [59, 93, 85, 98, 37, 92], [60, 83, 8, 46, 36, 49, 64, 11, 62, 88], [61, 16, 86, 44, 91, 100]]
5.63s;2.99906%;1099;[[1, 51, 9, 81, 33, 50], [4, 39, 67, 23, 56], [6, 59, 85, 93], [12, 80, 68, 76, 28], [13, 95, 37, 98, 100, 91, 61, 99, 96], [16, 86, 38, 14, 44, 92], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 74, 75, 22, 41, 73, 40], [26, 54, 55, 25, 24, 29, 79, 3, 77], [27, 20, 66, 71, 65, 35, 34, 78], [31, 10, 63, 90, 32, 30, 70, 69], [52, 7, 19, 47, 48, 82], [53, 58, 2, 57, 15, 43, 42, 87, 97], [89, 60, 83, 45, 17, 84, 5, 94]]
6.45s;2.2493%;1091;[[1, 20, 66, 71, 65, 35, 34, 78], [2, 57, 15, 43, 42, 14, 38, 44, 91, 100], [3, 79, 29, 24, 25, 55, 54, 26], [4, 39, 67, 23, 56], [6, 96, 59, 93, 84, 5, 89], [12, 80, 68, 77, 76, 28], [13, 97, 87, 58, 53], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 75, 41, 22, 74, 73, 40], [27, 51, 9, 81, 33, 50], [31, 10, 63, 90, 32, 30, 70, 69], [52, 7, 19, 47, 48, 82], [60, 83, 45, 17, 86, 16, 61, 99], [85, 98, 37, 92, 95, 94]]
6.61s;2.34302%;1092;[[1, 20, 66, 65, 71, 35, 34, 78], [3, 79, 29, 24, 25, 55, 54, 26, 53], [4, 39, 67, 23, 56], [6, 96, 59, 85, 100, 37, 92], [12, 80, 68, 77, 76, 28], [13, 95, 94], [17, 45, 8, 46, 36, 49, 64, 11, 62, 88], [27, 51, 9, 81, 33, 50], [31, 10, 63, 90, 32, 30, 70, 69], [40, 21, 72, 75, 22, 41, 74, 73], [52, 7, 19, 47, 48, 82], [58, 2, 57, 15, 43, 14, 42, 87, 97], [61, 16, 86, 38, 44, 91, 98], [89, 18, 83, 60, 84, 5, 93, 99]]
5.63s;3.65511%;1106;[[1, 51, 9, 81, 33, 79, 3], [4, 55, 25, 67, 39, 74, 73, 40], [6, 96, 99, 59, 85, 98, 37, 92], [8, 46, 36, 49, 64, 63, 11, 62, 88], [13, 87, 97, 95, 94], [18, 60, 83, 45, 17, 84, 5, 89], [21, 72, 56, 23, 75, 22, 41], [24, 29, 78, 34, 35, 65, 71, 66, 20, 69], [27, 70, 30, 32, 90, 10, 31], [28, 76, 77, 50], [42, 14, 44, 38, 43, 15, 57, 2, 58], [52, 7, 19, 47, 48, 82], [53, 26, 12, 54, 80, 68], [93, 61, 16, 86, 91, 100]]
8.87s;2.99906%;1099;[[4, 25, 39, 67, 23], [5, 84, 17, 45, 83, 60, 89], [6, 61, 16, 86, 38, 44, 37], [12, 80, 68, 28], [13, 97, 92, 59, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [20, 66, 65, 71, 35, 9, 51], [26, 54, 55, 24, 29, 34, 78, 81, 33], [27, 69, 1, 50, 79, 3, 77, 76], [31, 10, 63, 90, 32, 30, 70], [40, 21, 72, 74, 56, 75, 22, 41, 73], [52, 7, 19, 47, 48, 82], [53, 58, 2, 57, 15, 43, 14, 42, 87], [96, 99, 93, 85, 91, 100, 98]]
6.77s;1.68697%;1085;[[1, 20, 66, 71, 65, 35, 34, 78], [3, 79, 29, 24, 25, 55, 54, 26], [4, 39, 67, 23, 56], [6, 59, 93, 85, 98, 92], [12, 80, 68, 77, 76, 28], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [27, 51, 9, 81, 33, 50], [31, 10, 63, 90, 32, 30, 70, 69], [37, 100, 91, 44, 86, 16, 61], [40, 21, 72, 75, 22, 41, 74, 73], [42, 14, 38, 43, 15, 57, 2, 58, 53], [52, 7, 19, 47, 48, 82], [89, 60, 83, 45, 17, 84, 5, 99, 96]]
5.50s;2.06186%;1089;[[6, 5, 84, 17, 45, 83, 60, 89], [13, 95, 97, 92, 59, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [20, 66, 71, 65, 35, 34, 78, 77], [21, 72, 75, 22, 41, 74, 73, 40], [26, 4, 54, 12, 28], [27, 69, 1, 51, 9, 81, 33, 50], [31, 10, 63, 90, 32, 30, 70], [37, 100, 85, 93, 99, 96], [52, 7, 19, 47, 48, 82], [53, 58, 2, 57, 15, 43, 14, 42, 87], [55, 25, 39, 67, 23, 56], [61, 16, 86, 38, 44, 91, 98], [68, 80, 24, 29, 79, 3, 76]]
6.55s;2.7179%;1096;[[1, 20, 66, 65, 71, 35, 34, 78], [2, 57, 15, 43, 38, 14, 42, 87], [4, 55, 25, 67, 39, 74, 73, 40], [6, 96, 99, 5, 84, 17, 45, 83, 60, 89], [13, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 56, 23, 75, 22, 41], [27, 51, 9, 81, 33, 50], [28, 76, 77, 3, 79, 29, 24, 54], [31, 10, 63, 90, 32, 30, 70, 69], [52, 7, 19, 47, 48, 82], [53, 58, 26, 12, 80, 68], [59, 93, 85, 98, 37, 92], [61, 16, 86, 44, 91, 100]]
