elapsed;gap;fitness;solution
22.94s;0.290135%;1037;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 30, 33, 31, 34, 36, 29, 32, 35, 28, 26, 23, 20, 21, 109], [37, 38, 39, 42, 41, 44, 46, 49, 47, 50, 51, 48, 45, 43, 40, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 73, 76, 68, 98], [82, 111, 86, 102, 101, 99, 96, 93, 94, 97, 115, 110, 116, 100, 103, 104, 107, 106, 105, 120], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 85, 112, 81, 119]]
26.47s;0.290135%;1037;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 30, 33, 31, 34, 36, 35, 29, 32, 28, 23, 26, 20, 21, 109], [40, 43, 45, 48, 51, 50, 49, 47, 46, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 75, 72, 78, 80, 79, 77, 68, 76, 73, 103], [82, 85, 89, 92, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120], [105, 106, 107, 104, 102, 101, 99, 100, 116, 98, 110, 115, 97, 94, 96, 93, 87, 86, 111]]
20.37s;0.193424%;1036;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [21, 20, 23, 26, 28, 35, 32, 29, 36, 34, 31, 33, 30, 27, 24, 22, 25, 19, 16, 17, 109], [37, 38, 39, 42, 41, 44, 47, 46, 49, 50, 51, 48, 45, 43, 40, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 76, 73, 68, 98], [82, 111, 86, 93, 96, 94, 97, 115, 110, 116, 100, 99, 101, 102, 104, 103, 107, 106, 105, 120], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 85, 112, 81, 119]]
31.76s;0.290135%;1037;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [21, 20, 26, 23, 28, 35, 32, 29, 36, 34, 33, 30, 31, 27, 24, 22, 25, 19, 16, 17, 109], [40, 43, 45, 48, 51, 50, 49, 46, 47, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [67, 69, 70, 71, 74, 72, 75, 78, 80, 79, 77, 76, 73, 68, 103], [82, 111, 86, 85, 93, 96, 94, 97, 115, 110, 98, 116, 100, 99, 101, 104, 107, 106, 105, 102], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120]]
17.04s;0.193424%;1036;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [21, 20, 23, 26, 29, 32, 35, 36, 34, 33, 30, 31, 28, 27, 24, 22, 25, 19, 16, 17, 109], [40, 43, 45, 48, 51, 50, 49, 47, 46, 44, 41, 42, 39, 38, 37, 95], [53, 55, 58, 56, 60, 63, 66, 64, 62, 61, 65, 59, 57, 54, 52, 104], [68, 76, 73, 77, 79, 80, 78, 72, 75, 74, 71, 70, 69, 67, 103], [87, 92, 93, 96, 94, 97, 115, 110, 98, 116, 100, 99, 101, 102, 107, 106, 105, 120], [111, 86, 85, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 82, 119]]
29.42s;0.290135%;1037;[[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 15, 14, 13, 12, 8], [17, 16, 19, 25, 22, 24, 27, 31, 30, 33, 34, 36, 29, 32, 35, 28, 26, 23, 20, 21, 109], [40, 43, 45, 48, 51, 50, 49, 46, 47, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [67, 69, 70, 71, 74, 75, 72, 78, 80, 79, 77, 76, 73, 68, 98], [82, 87, 93, 96, 94, 97, 115, 110, 116, 100, 99, 101, 102, 104, 103, 107, 106, 105, 120], [88, 111, 86, 85, 89, 92, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119]]
25.25s;0.193424%;1036;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [21, 20, 23, 26, 28, 31, 35, 32, 29, 36, 34, 33, 30, 27, 24, 22, 25, 19, 16, 17, 109], [37, 38, 39, 42, 41, 44, 46, 47, 49, 50, 51, 48, 45, 43, 40, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 73, 76, 68, 98], [82, 111, 86, 85, 93, 96, 94, 97, 115, 110, 116, 100, 99, 101, 102, 104, 103, 107, 106, 105], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120]]
16.47s;0.193424%;1036;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 31, 30, 33, 34, 36, 29, 32, 35, 28, 23, 26, 20, 21, 109], [40, 43, 45, 48, 51, 50, 47, 49, 46, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 76, 73, 68, 103], [82, 111, 86, 93, 96, 94, 97, 115, 110, 98, 116, 100, 99, 101, 102, 104, 107, 106, 105, 120], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 85, 112, 81, 119]]
23.94s;0.0967118%;1035;[[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 15, 14, 13, 12, 8], [21, 20, 23, 26, 28, 35, 32, 29, 36, 34, 33, 30, 31, 27, 24, 22, 25, 19, 16, 17, 109], [40, 43, 45, 48, 51, 50, 47, 49, 46, 44, 41, 42, 39, 38, 37, 95], [53, 55, 58, 56, 60, 63, 66, 64, 62, 61, 65, 59, 57, 54, 52, 105], [87, 92, 89, 93, 96, 94, 97, 115, 110, 98, 116, 100, 103, 104, 99, 101, 102], [88, 82, 111, 86, 85, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120], [106, 68, 73, 76, 77, 79, 80, 78, 75, 72, 74, 71, 67, 70, 69, 107]]
29.77s;0.193424%;1036;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 30, 33, 34, 36, 29, 32, 35, 31, 28, 26, 23, 20, 21, 109], [40, 43, 45, 48, 51, 50, 49, 47, 46, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 73, 76, 68, 103], [82, 111, 86, 85, 93, 96, 94, 97, 115, 110, 98, 116, 100, 99, 101, 102, 104, 107, 106, 105], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120]]
26.84s;0.386847%;1038;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 31, 30, 33, 34, 36, 29, 32, 35, 28, 26, 23, 20, 21, 109], [37, 38, 39, 42, 41, 44, 46, 49, 47, 50, 51, 48, 45, 43, 40, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [68, 73, 76, 77, 79, 80, 78, 75, 72, 74, 71, 70, 69, 67, 103], [82, 111, 86, 93, 96, 94, 97, 115, 110, 98, 116, 100, 99, 101, 104, 107, 106, 105, 102, 120], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 85, 112, 81, 119]]
21.15s;0.290135%;1037;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 30, 33, 31, 34, 36, 29, 32, 35, 28, 23, 26, 20, 21, 109], [40, 43, 45, 48, 51, 50, 49, 46, 47, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 76, 73, 68, 98], [82, 111, 86, 85, 93, 96, 94, 97, 115, 110, 116, 100, 99, 101, 104, 103, 107, 106, 105, 102], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120]]
21.25s;0.193424%;1036;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 31, 30, 33, 34, 36, 29, 32, 35, 28, 23, 26, 20, 21, 109], [37, 38, 39, 42, 41, 44, 47, 46, 49, 50, 51, 48, 45, 43, 40, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [67, 69, 70, 71, 74, 75, 72, 78, 80, 79, 77, 76, 73, 68, 98], [82, 111, 86, 87, 93, 96, 94, 97, 115, 110, 116, 100, 99, 101, 102, 104, 103, 107, 106, 105], [85, 89, 92, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119, 120]]
22.76s;0.290135%;1037;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 30, 33, 31, 34, 36, 29, 32, 35, 28, 26, 23, 20, 21, 109], [40, 43, 45, 48, 51, 50, 49, 47, 46, 44, 41, 42, 39, 38, 37, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [69, 70, 67, 71, 74, 72, 75, 78, 80, 79, 77, 76, 73, 68, 98], [82, 111, 86, 102, 101, 96, 93, 94, 97, 115, 110, 116, 100, 99, 103, 104, 107, 106, 105, 120], [87, 92, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 85, 112, 81, 119]]
24.16s;0.0967118%;1035;[[8, 12, 13, 14, 15, 11, 10, 9, 7, 6, 5, 4, 3, 1, 2, 88], [17, 16, 19, 25, 22, 24, 27, 30, 33, 31, 34, 36, 29, 32, 35, 28, 26, 23, 20, 21, 109], [37, 38, 39, 42, 41, 44, 46, 47, 49, 50, 51, 48, 45, 43, 40, 95], [52, 54, 57, 59, 65, 61, 62, 64, 66, 63, 60, 56, 58, 55, 53], [67, 69, 70, 71, 74, 72, 75, 78, 80, 79, 77, 76, 73, 68, 98], [82, 111, 86, 85, 89, 91, 90, 114, 18, 118, 108, 83, 113, 117, 84, 112, 81, 119], [87, 92, 96, 93, 94, 97, 115, 110, 116, 100, 99, 101, 102, 104, 103, 107, 106, 105, 120]]
