elapsed;gap;fitness;solution
0.60s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.28s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.18s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.18s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.16s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.12s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.14s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.11s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.12s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.12s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.09s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.09s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.10s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.09s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.09s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.08s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.08s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.09s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.08s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.07s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.08s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.07s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.07s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.08s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.06s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.07s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.06s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.07s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.06s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]
0.06s;0.0%;212;[[1, 10, 2, 7, 9, 15, 13, 5, 18], [4, 11, 14, 12, 3, 17, 16, 8, 6]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
0.12s;212.00;212;212;0.0%;0.0%;0.0%
