A-n32-k5.out;0.28s;784.00;784;784;0.0%;0.0%;0.0%
A-n33-k5.out;0.59s;661.00;661;661;0.0%;0.0%;0.0%
A-n33-k6.out;0.52s;742.30;742;743;0.0404313%;0.0%;0.134771%
A-n34-k5.out;0.49s;778.00;778;778;0.0%;0.0%;0.0%
A-n36-k5.out;0.74s;809.40;806;815;1.30163%;0.876095%;2.0025%
A-n37-k5.out;0.66s;669.00;669;669;0.0%;0.0%;0.0%
A-n37-k6.out;0.91s;951.50;949;970;0.263435%;0.0%;2.21286%
A-n38-k5.out;0.80s;730.30;730;731;0.0410959%;0.0%;0.136986%
A-n39-k5.out;0.98s;823.50;822;825;0.182482%;0.0%;0.364964%
A-n39-k6.out;0.89s;832.80;831;833;0.216606%;0.0%;0.240674%
A-n44-k6.out;1.40s;947.10;937;955;1.07791%;0.0%;1.92102%
A-n45-k6.out;1.84s;955.80;953;960;1.25%;0.95339%;1.69492%
A-n45-k7.out;1.53s;1174.10;1158;1181;2.45201%;1.04712%;3.0541%
A-n46-k7.out;1.66s;914.30;914;917;0.0328228%;0.0%;0.328228%
A-n48-k7.out;1.45s;1073.80;1073;1077;0.0745573%;0.0%;0.372787%
A-n53-k7.out;2.43s;1017.00;1017;1017;0.693069%;0.693069%;0.693069%
A-n54-k7.out;2.99s;1181.70;1174;1189;1.25964%;0.599829%;1.88518%
A-n55-k9.out;2.94s;1074.00;1074;1074;0.0931966%;0.0931966%;0.0931966%
A-n60-k9.out;3.86s;1364.80;1359;1370;0.797637%;0.369276%;1.18168%
A-n61-k9.out;4.31s;1041.50;1035;1045;0.725338%;0.0967118%;1.06383%
A-n62-k8.out;2.89s;1322.40;1308;1341;2.67081%;1.5528%;4.11491%
A-n63-k10.out;4.40s;1333.30;1323;1344;1.4688%;0.684932%;2.28311%
A-n63-k9.out;3.03s;1655.20;1644;1662;2.42574%;1.73267%;2.84653%
A-n64-k9.out;2.95s;1434.50;1428;1443;2.39115%;1.92719%;2.99786%
A-n65-k9.out;5.19s;1183.30;1180;1187;0.792164%;0.511073%;1.10733%
A-n69-k9.out;5.51s;1173.30;1167;1179;1.23382%;0.69025%;1.72563%
A-n80-k10.out;9.18s;1827.50;1806;1852;3.65854%;2.43902%;5.04821%
B-n31-k5.out;0.46s;672.90;672;676;0.133929%;0.0%;0.595238%
