elapsed;gap;fitness;solution
7.44s;0.563204%;1607;[[1, 27, 18, 28, 9, 55, 31], [4, 30, 49, 35, 48, 38, 12], [5, 47, 36, 21, 41, 29, 53], [6, 56], [7, 20, 2, 37, 25, 51, 15, 8], [10, 17, 45, 24, 52, 54, 43], [11, 44, 16, 13, 34], [22, 46, 50, 3, 40, 32], [33, 14, 19, 39, 26, 23, 42]]
8.34s;0.187735%;1601;[[1, 27, 18, 28, 9, 55, 31], [4, 30, 49, 35, 48, 38, 12], [5, 47, 36, 21, 41, 29, 53], [6, 56], [7, 37, 2, 23, 16, 44, 42], [8, 15, 25, 51, 11, 20, 33], [10, 17, 45, 24, 52, 43, 54], [13, 26, 39, 19, 34, 14], [22, 46, 50, 3, 40, 32]]
5.89s;0.563204%;1607;[[1, 27, 18, 28, 9, 55, 31], [4, 30, 49, 35, 48, 38, 12], [5, 47, 36, 21, 41, 29, 53], [6, 56], [7, 37, 16, 23, 2, 20], [8, 15, 25, 51, 11, 34, 14], [10, 17, 45, 24, 52, 54, 43], [22, 46, 50, 3, 40, 32], [33, 19, 39, 26, 13, 44, 42]]
2.20s;0.813517%;1611;[[1, 45, 43, 54, 33, 35, 49], [4, 30, 38, 48, 12], [5, 47, 36, 21, 41, 29], [6, 32, 22, 56], [8, 15, 25, 51, 37, 11, 7, 53], [10, 17, 55, 31, 46, 3, 40], [13, 26, 39, 19, 34, 14], [20, 2, 23, 16, 44, 42], [50, 9, 28, 18, 27, 24, 52]]
2.88s;0.813517%;1611;[[1, 27, 18, 28, 9, 55, 31], [4, 30, 49, 35, 48, 38, 12], [5, 47, 36, 21, 41, 29, 53], [6, 22, 56], [7, 23, 26, 39, 19, 20], [8, 15, 25, 51, 2, 11, 42, 33], [14, 34, 44, 13, 16, 37], [32, 40, 3, 50, 17, 10, 46], [43, 54, 52, 24, 45]]
5.14s;0.625782%;1608;[[2, 23, 26, 39, 44, 42], [4, 30, 49, 35, 48, 38, 12], [5, 47, 36, 21, 41, 29, 53], [6, 56], [7, 37, 16, 13, 19, 34, 14], [8, 15, 51, 25, 11, 20, 33], [10, 9, 28, 18, 27, 24, 52, 54], [17, 31, 55, 1, 45, 43], [22, 46, 50, 3, 40, 32]]
3.70s;1.00125%;1614;[[2, 16, 39, 26, 23, 7], [3, 50, 55, 31, 17, 10, 46], [4, 49, 35, 33, 48, 38, 30], [5, 47, 36, 21, 41, 29, 53], [6, 32, 22, 56], [8, 15, 51, 25, 37, 11, 42], [12, 1, 27, 18, 28, 9, 40], [14, 34, 19, 13, 44, 20], [43, 54, 52, 24, 45]]
7.79s;0.625782%;1608;[[1, 27, 18, 28, 9, 55, 31], [4, 30, 49, 35, 48, 38, 12], [5, 47, 36, 21, 41, 29, 53], [6, 32, 40, 3, 50, 46], [7, 2, 16, 37, 51, 25, 15, 8], [10, 17, 45, 24, 52, 43, 54], [20, 44, 19, 34, 14, 33], [22, 56], [23, 26, 39, 13, 11, 42]]
8.42s;0.125156%;1600;[[1, 27, 18, 28, 9, 55, 31], [4, 49, 35, 48, 12, 38, 30], [5, 47, 36, 21, 41, 29, 53], [6, 56], [7, 20, 2, 13, 44, 34, 14], [8, 15, 51, 25, 37, 11, 33], [10, 17, 45, 24, 52, 43, 54], [19, 39, 26, 23, 16, 42], [22, 46, 50, 3, 40, 32]]
5.35s;0.876095%;1612;[[1, 45, 54, 43, 33, 35, 49], [2, 23, 26, 39, 16, 7], [4, 30, 38, 48, 12], [5, 47, 36, 21, 41, 29, 53], [6, 32, 22, 56], [8, 15, 51, 25, 37, 11, 42], [14, 34, 19, 13, 44, 20], [31, 55, 17, 10, 46, 3, 40], [50, 9, 28, 18, 27, 24, 52]]
