elapsed;gap;fitness;solution
10.68s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 35, 53, 14, 59, 11, 66, 65, 38], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
10.38s;1.02639%;689;[[4, 45, 29, 5, 36, 69, 71, 60, 70, 20, 37, 15, 57, 27], [6, 73, 1, 62, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 35, 53, 14, 59, 11, 66, 65, 38], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 48, 47, 21, 61, 28, 74, 2, 68, 75], [34, 52, 13, 54, 19, 8, 46, 67]]
11.11s;0.733138%;687;[[6, 33, 73, 1, 43, 41, 42, 64, 22, 61, 28, 62], [7, 53, 14, 59, 66, 11, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 9, 39, 40], [17, 3, 44, 32, 50, 18, 24, 49, 56, 23, 63, 16, 51], [30, 48, 47, 37, 20, 70, 60, 71, 36, 69, 21, 74, 2, 68], [46, 8, 35, 19, 54, 13, 57, 15, 5, 29, 45, 27, 52], [67, 34, 4, 75]]
11.41s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 33, 63, 23, 56, 41, 43, 42, 64, 22, 1, 73], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
7.30s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 14, 59, 66, 11, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
5.25s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
12.56s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 63, 23, 56, 41, 43, 42, 64, 22, 1, 73, 75], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [30, 74, 21, 61, 28, 62, 2, 68], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
12.12s;1.02639%;689;[[4, 45, 29, 5, 36, 69, 71, 60, 70, 20, 37, 15, 57, 13, 27], [6, 73, 1, 62, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [30, 48, 47, 21, 61, 28, 74, 2, 68, 75], [46, 8, 35, 19, 54, 52, 34, 67]]
11.42s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
11.32s;0.879765%;688;[[3, 44, 32, 50, 25, 55, 18, 24, 49, 56, 23, 63, 16, 51], [4, 45, 29, 5, 15, 57, 13, 54, 19, 35, 8, 46], [6, 33, 73, 1, 43, 41, 42, 64, 22, 61, 28, 62], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 39, 9, 40, 17], [30, 48, 47, 36, 37, 20, 70, 60, 71, 69, 21, 74, 2, 68], [67, 34, 52, 27, 75]]
7.04s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
9.34s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 14, 59, 66, 11, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
11.00s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
14.99s;0.439883%;685;[[4, 27, 52, 34, 46, 67], [6, 73, 1, 62, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 35, 53, 14, 59, 66, 11, 65, 38], [8, 19, 54, 13, 57, 15, 37, 20, 70, 60, 71, 69, 36, 5, 29, 45], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 48, 47, 21, 61, 28, 74, 2, 68, 75]]
7.53s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 33, 63, 23, 56, 41, 43, 42, 64, 22, 1, 73, 75], [7, 35, 53, 14, 59, 66, 11, 65, 38], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
8.94s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
7.57s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
9.83s;1.31965%;691;[[4, 27, 52, 46, 34, 67], [6, 33, 73, 1, 43, 41, 42, 64, 22, 62, 2, 68], [8, 19, 54, 13, 57, 15, 37, 20, 70, 60, 71, 69, 36, 5, 29, 45], [12, 72, 58, 38, 10, 31, 55, 25, 9, 39, 40], [17, 3, 44, 32, 50, 18, 24, 49, 56, 23, 63, 16, 51], [26, 7, 53, 11, 65, 66, 59, 14, 35], [74, 28, 61, 21, 47, 48, 30, 75]]
11.13s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 35, 53, 14, 59, 66, 11, 65, 38], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
6.82s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68, 75], [34, 52, 27, 15, 57, 13, 54, 19, 8, 46, 67]]
15.64s;0.439883%;685;[[4, 27, 52, 34, 46, 67], [6, 73, 1, 62, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 11, 38, 65, 66, 59, 14, 35], [8, 19, 54, 13, 57, 15, 37, 20, 70, 60, 71, 69, 36, 5, 29, 45], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 48, 47, 21, 61, 28, 74, 2, 68, 75]]
10.63s;1.02639%;689;[[4, 30, 74, 21, 61, 28, 62, 2, 68, 75], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 14, 59, 66, 11, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [27, 57, 15, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48, 29, 45], [46, 8, 35, 19, 54, 13, 52, 34, 67]]
9.65s;1.31965%;691;[[4, 45, 29, 5, 37, 36, 47, 21, 48, 30, 75], [6, 33, 73, 1, 43, 41, 42, 64, 22, 62, 2, 68], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 50, 18, 55, 25, 31, 10, 58, 26], [17, 40, 32, 44, 3, 24, 49, 56, 23, 63, 16, 51], [27, 52, 34, 67], [46, 8, 19, 54, 13, 57, 15, 20, 70, 60, 71, 69, 61, 28, 74]]
12.95s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 63, 23, 56, 41, 43, 42, 64, 22, 1, 73], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
9.72s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 53, 11, 38, 65, 66, 59, 14, 35], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 74, 21, 61, 28, 62, 2, 68, 75], [46, 8, 19, 54, 13, 57, 15, 27, 52, 34, 67]]
9.10s;1.02639%;689;[[4, 45, 29, 5, 48, 30, 75], [6, 33, 73, 1, 43, 41, 42, 64, 22, 61, 28, 62], [7, 53, 14, 59, 11, 66, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 9, 39, 40], [17, 3, 44, 32, 50, 18, 24, 49, 56, 23, 63, 16, 51], [27, 57, 15, 37, 20, 70, 60, 71, 69, 36, 47, 21, 74, 2, 68], [46, 8, 35, 19, 54, 13, 52, 34, 67]]
12.94s;1.02639%;689;[[4, 45, 29, 5, 37, 20, 70, 60, 71, 69, 36, 47, 48], [6, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63, 33], [7, 53, 14, 59, 66, 11, 65, 38, 26], [12, 72, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [17, 3, 44, 32, 9, 39, 40], [46, 8, 35, 19, 54, 13, 57, 15, 27, 52, 34, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
7.24s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 35, 53, 14, 59, 11, 66, 65, 38], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [34, 52, 27, 15, 57, 13, 54, 19, 8, 46, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
5.81s;1.02639%;689;[[4, 48, 47, 36, 69, 71, 60, 70, 20, 37, 5, 29, 45], [6, 33, 73, 1, 22, 64, 42, 43, 41, 56, 23, 63], [7, 35, 53, 14, 59, 66, 11, 65, 38], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [34, 52, 27, 15, 57, 13, 54, 19, 8, 46, 67], [68, 2, 62, 28, 61, 21, 74, 30, 75]]
7.06s;0.58651%;686;[[4, 27, 52, 34, 46, 67], [6, 33, 63, 23, 56, 41, 64, 42, 43, 1, 73, 75], [7, 53, 11, 38, 65, 66, 59, 14, 35], [8, 19, 54, 13, 57, 15, 37, 20, 70, 60, 71, 69, 36, 5, 29, 45], [12, 72, 39, 9, 32, 44, 3, 40, 17], [26, 58, 10, 31, 55, 25, 50, 18, 24, 49, 16, 51], [30, 48, 47, 21, 61, 22, 62, 28, 74, 2, 68]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
9.95s;688.67;685;691;0.977517%;0.439883%;1.31965%
