elapsed;gap;fitness;solution
278.22s;3.92157%;1325;[[6, 96, 99, 104, 93, 85, 91, 193, 100, 98, 37, 92, 151, 59], [13, 117, 95, 97, 87, 178, 115, 2, 58, 152], [26, 149, 195, 179, 39, 187, 139, 155, 4, 110, 180], [27, 167, 31, 190, 88, 148, 62, 159, 162, 69], [28, 184, 116, 150, 80, 163, 24, 134, 177, 109, 12, 138, 154], [40, 73, 74, 171, 145, 41, 22, 133, 75, 72, 21, 105, 53], [51, 9, 103, 161, 71, 135, 35, 136, 65, 66, 188], [54, 130, 165, 55, 25, 170, 67, 23, 186, 56, 197, 198], [68, 121, 29, 169, 78, 34, 164, 120, 81, 33, 176], [76, 196, 77, 158, 3, 129, 79, 185, 157, 102, 50, 111], [89, 166, 60, 83, 199, 125, 45, 46, 174, 8, 114, 18, 156], [101, 70, 108, 90, 181, 32, 131, 160, 128, 20, 30, 122, 1, 132], [112, 94, 183], [118, 84, 17, 113, 86, 140, 38, 14, 43, 15, 57, 144, 137], [127, 10, 189, 126, 63, 64, 49, 143, 36, 47, 168, 124, 82, 153], [146, 52, 106, 194, 7, 48, 123, 19, 107, 175, 11, 182], [147, 5, 173, 61, 16, 141, 191, 44, 119, 192, 142, 42, 172]]
359.36s;3.92157%;1325;[[12, 80, 150, 68, 3, 158, 77, 196, 116, 184, 76], [13, 97, 92, 37, 98, 91, 16, 86, 113, 17, 45, 125, 199, 83], [18, 114, 8, 174, 46, 36, 143, 49, 64, 11, 175, 107, 182], [26, 195, 179, 197, 74, 171, 72, 73, 21, 180, 105], [27, 127, 190, 31, 10, 189, 159, 62, 148, 88], [28, 154, 138, 111], [40, 198, 110, 139, 187, 39, 67, 170, 25, 55, 165, 130, 54], [50, 33, 81, 120, 71, 65, 136, 35, 135, 164, 34, 78, 129], [53, 149, 155, 4, 56, 186, 23, 75, 133, 22, 41, 145], [58, 152, 2, 115, 178, 144, 57, 15, 43, 142, 42, 172, 87, 137], [69, 122, 128, 20, 188, 66, 103, 161, 9, 51, 1, 132], [99, 85, 61, 173, 84, 5, 118, 60, 166, 89, 156], [104, 93, 193, 191, 141, 44, 140, 38, 14, 119, 192, 100, 117], [108, 90, 126, 63, 181, 32, 131, 160, 30, 70, 101, 162, 167], [109, 177, 134, 163, 24, 29, 121, 169, 79, 185, 157, 102, 176], [112, 183, 94, 95, 151, 59, 96, 6, 147], [146, 52, 106, 194, 7, 123, 19, 168, 47, 124, 48, 82, 153]]
455.52s;3.84314%;1324;[[1, 122, 30, 20, 188, 128, 160, 131, 32, 181, 63, 126, 90], [9, 135, 35, 136, 65, 66, 71, 161, 103, 51, 176], [13, 117, 97, 151, 37, 98, 91, 193, 191, 119, 44, 141, 16, 61], [18, 114, 8, 174, 46, 124, 48, 7, 194, 106, 153, 52, 146], [26, 195, 54, 130, 165, 55, 25, 170, 67, 23, 186, 56], [27, 167, 31, 190, 127], [28, 184, 116, 68, 150, 177, 109, 12, 138, 154], [33, 81, 120, 164, 34, 78, 169, 121, 29, 24, 163, 134, 80], [40, 21, 72, 197, 75, 133, 22, 41, 145, 171, 74, 73, 53], [58, 152, 2, 115, 178, 57, 15, 43, 142, 42, 172, 144, 87, 137], [76, 196, 77, 3, 158, 129, 79, 185, 157, 102, 50, 111], [82, 168, 47, 36, 143, 49, 64, 11, 175, 107, 19, 123, 88], [89, 166, 83, 199, 125, 45, 84, 118, 60, 147, 156], [92, 100, 192, 14, 38, 140, 86, 113, 17, 173, 5, 6, 112], [94, 95, 59, 85, 93, 104, 99, 96, 183], [105, 149, 179, 139, 187, 39, 4, 155, 110, 198, 180], [132, 69, 162, 101, 70, 108, 10, 189, 159, 62, 148, 182]]
290.08s;3.92157%;1325;[[13, 87, 172, 42, 142, 14, 119, 44, 192, 100, 97, 95, 117], [18, 114, 8, 174, 46, 45, 125, 199, 83, 60, 118, 89], [26, 149, 195, 54, 130, 134, 163, 24, 29, 121, 184, 28], [27, 69, 162, 31, 190, 127, 167], [40, 197, 56, 186, 23, 75, 72, 21, 180, 105, 53], [52, 153, 106, 194, 7, 48, 123, 19, 107, 175, 11, 182], [58, 152, 2, 178, 115, 145, 41, 22, 133, 74, 171, 73], [70, 30, 128, 160, 131, 32, 181, 63, 126, 90, 108, 10, 189], [76, 169, 78, 34, 164, 135, 35, 136, 65, 66, 188, 20, 122, 101], [82, 124, 168, 47, 36, 143, 49, 64, 159, 62, 148, 88, 146], [111, 50, 102, 157, 185, 79, 129, 158, 3, 77, 196], [112, 94, 92, 151, 98, 85, 93, 104, 99, 6, 156], [116, 68, 80, 150, 177, 109, 12, 138, 154], [132, 1, 51, 103, 161, 71, 9, 120, 81, 33, 176], [137, 144, 57, 15, 43, 38, 140, 86, 113, 17, 173, 84, 5, 166], [147, 61, 16, 141, 191, 91, 193, 37, 59, 96, 183], [179, 165, 55, 25, 170, 67, 39, 187, 139, 4, 155, 110, 198]]
231.90s;3.52941%;1320;[[1, 51, 103, 161, 71, 65, 136, 35, 135, 164, 34, 78, 185], [6, 104, 61, 16, 141, 191, 44, 119, 192, 14, 142, 42, 172, 87], [13, 2, 178, 115, 145, 41, 22, 171, 73, 152, 58, 53], [18, 114, 8, 174, 46, 36, 143, 49, 64, 11, 175, 107, 182], [26, 195, 165, 55, 25, 170, 67, 23, 186, 56, 75, 133], [27, 176, 122, 128, 20, 188, 66, 9, 120, 81, 33], [28, 184, 116, 68, 80, 150, 177, 109, 12, 138, 154], [31, 90, 126, 63, 181, 32, 131, 160, 30, 70, 101, 162, 69, 132], [40, 21, 72, 74, 197, 39, 187, 139, 155, 4, 110, 198], [50, 102, 157, 79, 129, 158, 3, 77, 196, 76, 111], [83, 199, 125, 45, 17, 113, 86, 140, 38, 43, 15, 57, 144, 137], [89, 166, 60, 118, 84, 173, 5, 99, 96, 94, 183], [95, 59, 93, 85, 91, 193, 100, 98, 37, 151, 92, 97, 117], [105, 180, 149, 179, 130, 54, 134, 163, 24, 29, 121, 169], [106, 194, 7, 123, 19, 168, 47, 124, 48, 82, 153, 52, 146], [112, 147, 156], [127, 190, 88, 148, 62, 159, 108, 189, 10, 167]]
520.23s;3.68627%;1322;[[1, 122, 20, 188, 66, 128, 160, 131, 32, 30, 70, 101, 162], [2, 178, 57, 15, 43, 38, 140, 44, 119, 192, 14, 142, 42, 172, 144, 137], [6, 96, 99, 104, 93, 85, 61, 173, 5, 60, 118], [13, 87, 151, 92, 59, 95, 94, 183, 147], [18, 82, 48, 124, 46, 174, 45, 125, 8, 114, 199, 83], [26, 149, 110, 4, 155, 197, 72, 198, 180, 105], [27, 176, 51, 9, 135, 35, 136, 65, 71, 161, 103, 69, 132], [28, 184, 116, 68, 80, 150, 177, 109, 12, 154, 138], [31, 189, 10, 108, 90, 181, 63, 126, 159, 62, 88], [33, 81, 120, 164, 34, 78, 169, 121, 29, 24, 163, 134], [40, 21, 73, 171, 74, 75, 56, 186, 23, 133, 22, 41, 145, 115], [50, 102, 157, 185, 79, 129, 3, 158, 77, 196, 76, 111], [53, 152, 58, 112, 156], [84, 17, 113, 86, 16, 141, 191, 91, 193, 100, 98, 37, 97, 117], [89, 166, 153, 106, 194, 182, 148, 190, 127, 167], [146, 52, 7, 123, 19, 107, 175, 11, 64, 49, 143, 36, 47, 168], [179, 139, 187, 39, 67, 170, 25, 55, 165, 130, 54, 195]]
312.98s;4.47059%;1332;[[3, 129, 78, 34, 164, 135, 35, 136, 65, 71, 161, 103, 51], [6, 96, 99, 61, 16, 86, 113, 17, 173, 84, 5, 60, 118], [13, 117, 97, 92, 151, 98, 85, 93, 59, 104, 94], [26, 149, 179, 155, 4, 139, 187, 39, 186, 56, 197, 110], [27, 176, 50, 102, 157, 33, 9, 120, 81, 185], [28, 196, 77, 158, 79, 169, 121, 29, 24, 163, 134, 177, 109], [40, 145, 41, 22, 133, 74, 171, 73, 21, 198, 180, 105, 53], [69, 162, 101, 70, 160, 128, 66, 188, 20, 30, 122, 1, 132], [72, 75, 23, 67, 170, 25, 55, 165, 130, 54, 195], [89, 18, 46, 124, 123, 19, 107, 175, 11, 62, 159, 10, 189], [95, 37, 193, 91, 191, 141, 44, 140, 38, 14, 119, 192, 100], [108, 126, 63, 90, 32, 131, 181, 64, 49, 143, 36, 47, 168], [111, 76, 184, 116, 68, 80, 150, 12, 138, 154], [112, 183, 147, 156], [137, 87, 144, 172, 42, 142, 43, 15, 57, 178, 115, 2, 58, 152], [146, 52, 106, 194, 7, 182, 148, 88, 31, 190, 127, 167], [153, 82, 48, 114, 8, 174, 45, 125, 199, 83, 166]]
387.32s;3.45098%;1319;[[1, 122, 128, 20, 188, 66, 65, 136, 35, 135, 164, 34, 78, 33], [6, 61, 16, 141, 191, 44, 119, 192, 14, 142, 42, 172, 87, 117], [13, 97, 37, 98, 100, 193, 91, 85, 93, 104, 99, 156], [18, 174, 45, 125, 199, 83, 118, 60, 166, 89], [26, 195, 54, 130, 134, 163, 24, 29, 121, 116, 184, 28], [27, 127, 190, 88, 148, 62, 159, 10, 189, 31], [40, 73, 171, 74, 133, 22, 41, 145, 178, 115, 2, 152, 58], [53, 105, 180, 21, 72, 75, 23, 186, 56, 197, 198], [68, 80, 150, 177, 109, 12, 154, 138], [76, 196, 77, 158, 3, 129, 169, 79, 185, 102, 50, 111], [108, 90, 126, 63, 181, 32, 131, 160, 30, 70, 101, 162, 167], [110, 4, 155, 139, 187, 39, 67, 170, 25, 55, 165, 179, 149], [112, 94, 95, 151, 92, 59, 96, 183], [114, 8, 46, 36, 143, 49, 64, 11, 175, 107, 19, 123, 182], [132, 69, 176, 51, 103, 161, 71, 9, 120, 81, 157], [137, 144, 57, 15, 43, 38, 140, 86, 113, 17, 173, 84, 5, 147], [146, 52, 106, 194, 7, 48, 47, 168, 124, 82, 153]]
247.53s;4.31373%;1330;[[13, 87, 172, 42, 192, 119, 44, 191, 141, 16, 61, 99], [18, 114, 8, 124, 46, 174, 45, 125, 199, 83, 60, 166, 89, 156], [26, 149, 195, 177, 150, 80, 68, 77, 196, 76, 111], [27, 176, 1, 51, 9, 120, 81, 33, 157, 102, 50], [28, 12, 154, 138], [40, 21, 73, 74, 133, 22, 41, 145, 115, 178, 2, 152, 58, 53], [70, 30, 20, 188, 66, 128, 160, 131, 32, 90, 162, 69, 132], [84, 173, 17, 113, 86, 140, 38, 14, 142, 43, 15, 57, 144, 137], [88, 182, 148, 62, 159, 31, 190, 127, 167], [95, 59, 93, 85, 91, 193, 100, 98, 37, 92, 151, 97, 117], [101, 122, 103, 161, 71, 65, 136, 35, 135, 164, 34, 78, 185], [105, 180, 198, 72, 197, 56, 186, 23, 75, 171], [106, 7, 64, 49, 143, 36, 47, 168, 48, 82, 153, 52, 146], [109, 54, 134, 163, 24, 29, 121, 169, 129, 79, 3, 158, 116, 184], [110, 155, 4, 139, 187, 39, 67, 170, 25, 55, 165, 130, 179], [112, 6, 183, 94, 96, 104, 5, 118, 147], [189, 10, 108, 181, 63, 126, 11, 175, 107, 19, 123, 194]]
344.05s;4.07843%;1327;[[12, 109, 177, 80, 150, 68, 121, 29, 24, 163, 134, 54, 26], [13, 117, 97, 37, 100, 193, 91, 85, 98, 92, 151, 95, 94], [18, 114, 8, 46, 174, 45, 125, 199, 83, 166, 89, 156], [27, 127, 190, 31, 88, 148, 62, 182, 194, 106], [28, 184, 116, 169, 129, 79, 158, 3, 77, 196, 76, 111], [50, 102, 157, 33, 81, 120, 9, 51, 1, 176, 132], [53, 40, 21, 72, 74, 133, 75, 23, 186, 56, 197, 198], [57, 15, 43, 14, 38, 140, 44, 141, 191, 119, 192, 142, 42, 172, 144, 137], [60, 118, 84, 17, 113, 86, 16, 61, 173, 5, 147], [69, 101, 122, 103, 161, 71, 65, 136, 35, 135, 164, 34, 78, 185], [82, 48, 124, 168, 47, 36, 143, 49, 64, 181, 63, 126], [87, 2, 115, 178, 145, 41, 22, 171, 73, 58, 152], [105, 180, 149, 195, 154, 138], [108, 90, 32, 131, 160, 128, 66, 188, 20, 30, 70, 162], [110, 4, 155, 139, 187, 39, 67, 170, 25, 55, 165, 130, 179], [112, 6, 96, 99, 104, 93, 59, 183], [146, 52, 153, 7, 123, 19, 107, 175, 11, 159, 10, 189, 167]]
