elapsed;gap;fitness;solution
4.00s;1.00865%;701;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 52, 8, 46, 34], [6, 33], [10, 31, 9, 39, 12], [15, 20, 37, 36, 5, 29, 45], [17, 3, 44, 32, 40], [25, 50, 18, 24, 49, 16, 51], [26, 7, 35, 19, 54, 13, 27], [38, 11, 14, 53]]
3.66s;0.144092%;695;[[1, 43, 42, 41, 23, 49, 24, 51], [2, 28, 22, 33, 6], [4], [7, 53, 11, 14, 35], [12, 9, 25, 18, 50, 17], [16, 3, 44, 32, 40], [26, 38, 10, 31, 39], [27, 13, 15, 20, 37, 5, 45], [29, 48, 47, 36, 21, 30], [34, 52, 54, 19, 8, 46]]
2.70s;0.720461%;699;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [3, 44, 50, 18, 24, 49, 16], [4, 27, 13, 54, 19, 35, 7], [6, 33, 51], [12, 39, 9, 40, 17], [15, 20, 37, 36, 5, 29, 45], [26, 10, 31, 25, 32], [34, 52, 8, 46], [38, 11, 14, 53]]
4.69s;0.288184%;696;[[1, 43, 42, 41, 23, 16, 51], [2, 28, 22, 33, 6], [4, 34, 46], [7, 53, 11, 14, 35], [9, 25, 50, 18, 24, 49], [12, 39, 31, 10, 38], [15, 20, 37, 36, 47, 21], [17, 3, 44, 32, 40], [26, 8, 19, 54, 13, 27, 52], [30, 48, 5, 29, 45]]
3.61s;0.864553%;700;[[3, 44, 50, 18, 24, 49, 51], [4, 30, 2, 6], [7, 35, 19, 54, 13, 27, 52], [12, 39, 9, 40, 17], [15, 20, 37, 36, 5, 29, 45], [16, 23, 41, 42, 43, 1, 33], [22, 28, 21, 47, 48], [26, 10, 31, 25, 32], [34, 8, 46], [38, 11, 14, 53]]
4.90s;0.576369%;698;[[1, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 46], [6, 33, 23, 24, 49, 16, 51], [7, 53, 11, 14, 35], [8, 19, 54, 13, 27, 52, 34], [9, 25, 18, 50, 32], [12, 40, 44, 3, 17], [26, 38, 10, 31, 39], [29, 5, 36, 37, 20, 15, 45]]
4.46s;1.00865%;701;[[4, 30, 2, 6], [7, 35, 19, 54, 13, 27, 52], [10, 31, 9, 39, 12], [15, 20, 37, 5, 29, 45], [17, 3, 44, 32, 40], [23, 43, 41, 42, 22, 1, 33], [25, 50, 18, 24, 49, 16, 51], [26, 8, 46, 34], [28, 21, 36, 47, 48], [38, 11, 14, 53]]
1.55s;0.720461%;699;[[1, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 52, 8, 35, 7, 26], [6, 33, 23, 24, 49, 16, 51], [11, 38, 10, 31], [12, 39, 9, 25, 18, 50], [15, 20, 37, 36, 5, 29, 45], [17, 3, 44, 32, 40], [27, 13, 54, 19, 14, 53], [34, 46]]
4.19s;0.576369%;698;[[2, 28, 22, 42, 41, 43], [4], [6, 3, 44, 32, 40], [7, 53, 11, 14, 35], [12, 9, 25, 18, 50, 17], [26, 38, 10, 31, 39], [27, 13, 15, 20, 37, 5, 45], [29, 48, 47, 36, 21, 30], [33, 1, 23, 24, 49, 16, 51], [34, 52, 54, 19, 8, 46]]
4.58s;0.576369%;698;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 27, 13, 54, 19, 35, 7], [6, 33, 51], [10, 31, 25, 9, 39], [16, 49, 24, 18, 50, 32], [17, 3, 44, 40, 12, 26], [29, 5, 36, 37, 20, 15, 45], [34, 52, 8, 46], [38, 11, 14, 53]]
