elapsed;gap;fitness;solution
130.39s;1.1308%;27903;[[1, 70, 54], [4, 13, 74], [5, 35, 46, 24], [7, 49, 2, 45, 43, 37], [8, 94, 96], [10, 42, 28], [11, 85, 30, 75], [12, 18], [14, 82, 72, 57, 77], [15, 22, 41, 20], [17, 80], [19, 91, 97], [21, 27, 52], [23, 61, 100], [31, 93], [32, 95, 73, 53, 33], [34, 64, 3, 59, 88, 40], [38, 47, 48, 26, 56], [44, 67, 60], [50, 79], [58, 39, 25, 63], [65, 78, 6, 36, 29, 87], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [81, 51, 83], [86, 9, 92]]
121.67s;1.76869%;28079;[[1, 70, 22], [4, 18], [5, 12, 58], [7, 49, 2, 45, 43, 37], [13, 90, 84, 66], [14, 28, 42, 63], [15, 41, 20, 35], [17, 94, 56], [21, 27, 61], [23, 19, 50], [24, 31, 46], [25, 10, 39], [30, 85, 11, 79], [32, 95, 73, 53, 33], [34, 64, 3, 59, 40], [38, 47, 26, 48, 96], [44, 67, 60], [52, 83, 81], [55, 9, 92], [65, 78, 6, 36, 29, 87], [68, 54, 86], [71, 62, 99, 98, 89], [74, 69, 16, 76], [75, 93], [77, 82, 72, 57, 88], [80, 8, 100], [91, 51, 97]]
28.85s;1.9934%;28141;[[1, 70, 54], [4, 13, 74], [5, 12, 58], [7, 2, 45, 43, 29, 36, 87], [8], [14, 6, 37, 49], [15, 22, 41, 20], [17, 80], [18, 65, 78, 42], [19, 81, 51, 97], [21, 52, 83], [24, 95, 73, 53, 33, 32], [25, 10, 39], [30, 85, 11, 79], [31, 46, 35], [34, 64, 3, 94, 56], [38, 47, 26, 48, 96], [40, 88, 60, 59], [44, 77, 67], [50, 23, 61], [57, 72, 82, 28, 63], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [75, 93], [86, 9, 92], [91, 27, 100]]
17.36s;2.11663%;28175;[[1, 70, 22], [4, 18], [5, 12, 58], [6, 29, 43, 45, 2, 49, 7], [13, 90, 84, 66], [14, 82, 72, 57, 60], [15, 41, 20, 35], [17, 94, 56], [19, 91, 97], [21, 27, 52], [25, 10, 39], [28, 37, 36, 87], [30, 85, 11, 79], [32, 31, 24, 46], [33, 53, 73, 95], [34, 64, 3, 59, 88, 40], [38, 47, 26, 48, 96], [44, 77, 67], [50, 23, 61], [55, 9, 92], [63, 42, 78, 65], [68, 54, 86], [71, 62, 99, 98, 89], [74, 69, 16, 76], [75, 93], [80, 8, 100], [81, 51, 83]]
66.64s;1.26128%;27939;[[1, 70, 54], [4, 13, 74], [5, 35, 46, 24], [7, 2, 45, 49, 6, 28], [8, 17], [11, 85, 30, 75], [12, 58], [14, 42, 78, 65, 25], [15, 22, 41, 20], [18, 10, 39], [19, 91, 97], [21, 27, 52], [23, 61, 100], [31, 93], [32, 95, 73, 53, 33], [38, 47, 48, 26, 56], [40, 3, 64, 34, 80], [44, 67, 60], [50, 79], [59, 88, 77, 63], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [72, 37, 36, 29, 43, 87], [81, 51, 83], [82, 57, 96, 94], [86, 9, 92]]
47.34s;1.97166%;28135;[[1, 70, 54], [3, 94, 56], [4, 13, 74], [5, 12, 58], [7, 2, 45, 43, 29, 36, 87, 64, 34], [8, 100], [14, 28, 63, 18], [15, 22, 41, 20], [17, 80], [21, 27, 61], [23, 19, 50], [24, 95, 73, 53, 33, 32], [25, 10, 39], [30, 85, 11, 79], [31, 46, 35], [38, 47, 26, 48, 96], [40, 67, 77], [42, 78, 82], [44, 88, 60, 59], [51, 91, 97], [52, 83, 81], [57, 72, 37, 6, 49, 65], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [75, 93], [86, 9, 92]]
65.49s;1.77594%;28081;[[1, 70, 41], [3, 59, 88, 40], [4, 18], [5, 12, 58], [7, 2, 45, 49, 6, 28], [8, 94, 100], [13, 90, 84, 66], [14, 42, 78, 65, 25], [15, 22, 20, 35], [17, 80], [21, 27, 61], [23, 19, 50], [24, 31, 46], [30, 85, 11, 79], [32, 95, 73, 53, 33], [34, 64, 87, 43, 29, 36, 37, 57], [38, 47, 48, 26, 56], [39, 10, 63], [44, 77, 67], [52, 83, 81], [55, 9, 92], [68, 54, 86], [71, 62, 99, 98, 89], [74, 69, 16, 76], [75, 93], [82, 72, 60, 96], [91, 51, 97]]
25.91s;1.97166%;28135;[[1, 70, 20], [4, 18], [5, 12, 58], [7, 49, 2, 45, 43, 37], [8, 94, 100], [9, 90, 84, 66], [13, 74, 55, 76], [14, 28, 42, 65, 63], [15, 22, 41, 35], [17, 80], [19, 91, 97], [21, 27, 52], [24, 31, 46], [25, 10, 39], [30, 85, 11, 79], [32, 95, 73, 53, 33], [34, 64, 3, 59, 88, 40], [38, 47, 48, 26, 56], [44, 67, 60], [50, 23, 61], [57, 87, 29, 36, 6, 78], [68, 54, 86], [69, 16, 92], [71, 62, 99, 98, 89], [75, 93], [77, 82, 72, 96], [81, 51, 83]]
43.32s;1.14168%;27906;[[1, 70, 54], [4, 13, 74], [5, 35, 46, 24], [7, 49, 2, 45, 43, 37], [8, 80], [10, 42, 28], [11, 85, 30, 75], [12, 18], [14, 82, 72, 57, 60], [15, 22, 41, 20], [17, 94, 56], [19, 91, 97], [21, 27, 52], [23, 61, 100], [31, 93], [32, 95, 73, 53, 33], [34, 64, 3, 88, 77, 44], [38, 47, 26, 48, 96], [40, 67, 59], [50, 79], [58, 39, 25, 63], [65, 78, 6, 36, 29, 87], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [81, 51, 83], [86, 9, 92]]
33.40s;1.96078%;28132;[[1, 54, 90, 84], [3, 59, 88, 40], [4, 13, 74], [5, 35, 46, 24], [7, 2, 45, 43, 29, 36, 87, 64, 34], [8, 94, 96], [11, 85, 30, 75], [12, 18], [14, 82, 72, 57, 60], [15, 22, 41, 20], [19, 91, 97], [21, 27, 52], [23, 61, 100], [25, 78, 42, 28], [31, 93], [32, 95, 73, 53, 33], [37, 6, 49, 65], [38, 47, 48, 26, 56], [39, 10, 63], [44, 77, 67], [50, 79], [55, 69, 16, 76], [58, 17, 80], [66, 68, 70], [71, 62, 99, 98, 89], [81, 51, 83], [86, 9, 92]]
57.98s;1.61284%;28036;[[1, 70, 54], [4, 13, 74], [5, 12, 58], [7, 2, 45, 43, 29, 36, 87], [8, 100, 23], [15, 22, 41, 20], [17, 80], [18, 65, 78, 42], [21, 27, 61], [24, 95, 73, 53, 33, 32], [25, 10, 39], [30, 85, 11, 19, 50], [31, 46, 35], [34, 64, 3, 94, 56], [38, 47, 26, 48, 96], [40, 67, 88, 44], [49, 6, 37, 72, 57], [52, 83, 81], [59, 60, 82], [63, 28, 14, 77], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [75, 93], [79], [86, 9, 92], [91, 51, 97]]
65.15s;1.55485%;28020;[[1, 70, 22], [5, 12, 58], [7, 2, 45, 43, 29, 36, 87, 88], [8, 100], [10, 63, 44], [13, 76, 90, 84, 66], [14, 28, 42, 78, 65, 39], [15, 41, 20, 35], [16, 69, 74], [17, 80], [18, 4, 25], [21, 27, 61], [23, 19, 50], [24, 31, 46], [30, 85, 11, 79], [32, 95, 73, 53, 33], [34, 64, 3, 96, 94], [38, 47, 48, 26, 56], [40, 67, 77], [49, 6, 37, 72, 57], [52, 83, 81], [55, 9, 92], [59, 60, 82], [68, 54, 86], [71, 62, 99, 98, 89], [75, 93], [91, 51, 97]]
51.82s;1.93541%;28125;[[1, 70, 22], [3, 59, 88, 40], [4, 18], [5, 12, 58], [7, 2, 45, 49, 6, 28], [13, 90, 84, 66], [14, 82, 72, 57, 77], [15, 41, 20, 35], [17, 94, 56], [19, 97, 27], [21, 8, 80], [24, 31, 46], [25, 10, 39], [30, 85, 11, 79], [32, 95, 73, 53, 33], [34, 64, 87, 43, 29, 36, 37], [38, 47, 26, 48, 96], [44, 67, 60], [50, 23, 61], [55, 9, 92], [63, 42, 78, 65], [68, 54, 86], [71, 62, 99, 98, 89], [74, 69, 16, 76], [75, 93], [81, 51, 83], [91, 52, 100]]
37.11s;2.07314%;28163;[[1, 70, 20], [3, 59, 88, 40], [4, 18], [5, 12, 58], [7, 2, 45, 43, 29, 36, 87, 64, 34], [13, 76, 90, 84, 66], [14, 6, 37, 49], [15, 22, 41, 35], [16, 69, 74], [17, 94, 56], [21, 27, 61], [23, 19, 50], [24, 31, 46], [25, 10, 39], [28, 82, 72, 57, 60], [30, 85, 11, 79], [32, 95, 73, 53, 33], [38, 47, 26, 48, 96], [44, 77, 67], [52, 83, 81], [55, 9, 92], [63, 42, 78, 65], [68, 54, 86], [71, 62, 99, 98, 89], [75, 93], [80, 8, 100], [91, 51, 97]]
63.16s;1.20692%;27924;[[1, 70, 54], [4, 13, 74], [5, 35, 46, 24], [7, 49, 2, 45, 43, 37], [8, 17], [11, 85, 30, 75], [12, 18], [14, 28, 42, 63], [15, 22, 41, 20], [19, 91, 97], [21, 27, 52], [23, 61, 100], [25, 10, 39], [31, 73, 93], [32, 95, 53, 33], [34, 87, 29, 36, 6, 78, 65], [38, 47, 48, 26, 56], [40, 59, 96, 94], [44, 67, 60], [50, 79], [58, 3, 64, 80], [66, 84, 90, 68], [69, 16, 55, 76], [71, 62, 99, 98, 89], [77, 82, 72, 57, 88], [81, 51, 83], [86, 9, 92]]
61.06s;1.24678%;27935;[[1, 70, 54], [4, 13, 74], [5, 35, 46, 24], [7, 2, 49, 6, 78], [8, 17], [11, 85, 30, 75], [12, 58], [14, 28, 82, 72, 57, 44], [15, 22, 41, 20], [18, 10, 39], [19, 91, 97], [21, 27, 52], [23, 61, 100], [25, 65, 42, 63], [32, 31, 95, 33], [34, 96, 59, 77, 40], [37, 29, 36, 45, 43, 87, 64], [38, 47, 48, 26, 56], [50, 79], [55, 69, 16, 76], [60, 67, 88], [66, 84, 90, 68], [71, 62, 99, 98, 89], [73, 53, 93], [80, 3, 94], [81, 51, 83], [86, 9, 92]]
47.79s;1.87018%;28107;[[1, 70, 20], [3, 60, 88, 40], [4, 18], [5, 12, 58], [7, 2, 45, 43, 29, 36, 72, 57], [8, 94, 100], [13, 74, 55, 76], [14, 49, 6, 37, 87], [15, 22, 41, 35], [17, 80], [21, 27, 61], [23, 19, 50], [24, 31, 46], [25, 10, 39], [30, 85, 11, 79], [32, 95, 73, 53, 33], [34, 64, 96, 59, 67], [38, 47, 48, 26, 56], [44, 77, 28, 63], [52, 83, 81], [54, 9, 86], [65, 78, 42, 82], [66, 84, 90, 68], [69, 16, 92], [71, 62, 99, 98, 89], [75, 93], [91, 51, 97]]
