elapsed;fitness;solution
12.77s;1359;[[2, 1, 36, 10, 22, 48], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [14, 47, 23, 24, 34], [16, 20, 3, 11, 4, 21, 40, 46, 25], [18, 19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50], [41, 33, 38, 59, 52], [54, 5, 45, 42, 58]]
12.23s;1362;[[2, 1, 36, 10, 22, 48], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 55, 35], [14, 47, 23, 24, 34], [16, 20, 3, 11, 4, 21, 40, 46, 25], [18, 19, 27, 57, 37, 17, 26, 15, 39], [32, 9, 51, 12, 56, 43, 50], [41, 33, 38, 59, 52], [54, 5, 45, 42, 58]]
12.11s;1359;[[2, 1, 36, 10, 22, 48], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [14, 47, 23, 24, 34], [16, 20, 3, 11, 4, 21, 40, 46, 25], [18, 19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50], [41, 33, 38, 59, 52], [54, 5, 45, 42, 58]]
12.12s;1359;[[2, 1, 36, 10, 22, 48], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [14, 47, 23, 24, 34], [16, 20, 3, 21, 4, 11, 40, 46, 25], [18, 52, 59, 38, 33, 41], [19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50], [54, 5, 45, 42, 58]]
12.01s;1358;[[2, 1, 36, 22, 48, 58], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [10, 54, 5, 45, 42], [14, 47, 23, 24, 34], [16, 20, 3, 11, 4, 21, 40, 46, 25], [18, 19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50], [41, 33, 38, 59, 52]]
12.03s;1358;[[2, 1, 36, 22, 48, 58], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [10, 54, 5, 45, 42], [14, 47, 23, 24, 34], [16, 20, 3, 11, 4, 21, 40, 46, 25], [18, 52, 59, 38, 33, 41], [19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50]]
12.12s;1362;[[2, 1, 36, 10, 22, 48], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 55, 35], [14, 47, 23, 24, 34], [16, 20, 3, 11, 4, 21, 40, 46, 25], [18, 52, 59, 38, 33, 41], [19, 27, 57, 37, 17, 26, 15, 39], [32, 9, 51, 12, 56, 43, 50], [54, 5, 45, 42, 58]]
11.98s;1358;[[2, 1, 36, 22, 48, 58], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [10, 54, 5, 45, 42], [14, 47, 23, 24, 34], [16, 20, 3, 21, 4, 11, 40, 46, 25], [18, 52, 59, 38, 33, 41], [19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50]]
12.07s;1358;[[2, 1, 36, 22, 48, 58], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [10, 54, 5, 45, 42], [14, 47, 23, 24, 34], [16, 20, 3, 4, 21, 11, 40, 46, 25], [18, 19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50], [41, 33, 38, 59, 52]]
12.07s;1359;[[2, 1, 36, 10, 22, 48], [6, 28, 44, 49, 30, 53, 31], [7, 29, 13, 8, 15, 55, 35], [14, 47, 23, 24, 34], [16, 20, 3, 4, 21, 11, 40, 46, 25], [18, 52, 59, 38, 33, 41], [19, 27, 57, 37, 17, 26, 39], [32, 9, 51, 12, 56, 43, 50], [54, 5, 45, 42, 58]]
