elapsed;fitness;solution
19.48s;1036;[[5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 15, 56, 58], [14, 35, 49, 1, 19, 20, 7, 27], [16, 43, 50, 11, 39, 42], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [46, 4, 36, 6, 34, 64, 40, 44, 53], [60, 3, 57, 30, 61, 62], [65, 37, 23, 8, 32, 51, 66]]
18.94s;1037;[[4, 14, 20, 19, 35, 49, 1, 40, 53], [5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 15, 56, 58], [16, 43, 27, 7, 50, 11, 46], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [32, 65, 37, 23, 8, 51, 66], [39, 42, 36, 6, 34, 64, 44], [60, 3, 57, 30, 61, 62]]
18.93s;1032;[[4, 42, 34, 6, 64, 40, 44, 53], [5, 28, 13], [9, 48, 21, 25, 63], [12, 45, 52, 22, 54, 55, 56, 15, 58], [14, 20, 19, 35, 49, 1, 36, 39], [16, 43, 27, 7, 11, 50, 46], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [60, 3, 57, 30, 61, 62], [65, 37, 23, 8, 32, 51, 66]]
18.83s;1041;[[5, 28, 13], [9, 48, 21, 25, 63], [12, 45, 52, 22, 54, 55, 56, 15, 58], [14, 20, 19, 35, 49, 1, 36, 39], [16, 41, 27, 10, 59, 24, 29, 38], [17, 7, 50, 11, 4, 46], [32, 65, 37, 23, 8, 51, 66], [43, 2, 26, 18, 31, 33, 47], [44, 40, 64, 6, 34, 42, 53], [60, 3, 57, 30, 61, 62]]
18.90s;1044;[[5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 56, 15, 58], [14, 50, 11, 20, 7, 17], [27, 43, 16, 2, 26, 33, 47], [31, 18, 65, 37, 23, 8, 32], [38, 10, 29, 24, 59, 51, 41, 66], [39, 36, 1, 49, 35, 19, 4, 46], [44, 40, 64, 6, 34, 42, 53], [60, 3, 57, 30, 61, 62]]
18.92s;1040;[[5, 28, 13], [9, 48, 21, 25, 63], [12, 45, 52, 22, 54, 55, 56, 15, 58], [14, 20, 19, 35, 49, 1, 36, 39], [16, 43, 10, 27, 41, 2, 26, 33], [17, 7, 50, 11, 4, 46], [31, 18, 65, 37, 23, 8, 32, 66], [38, 29, 24, 59, 51, 47], [42, 34, 6, 64, 40, 44, 53], [60, 3, 57, 30, 61, 62]]
18.61s;1034;[[5, 28, 13], [9, 48, 21, 25, 63], [12, 45, 52, 22, 54, 55, 15, 56, 58], [14, 19, 35, 49, 1, 36, 6, 34, 64], [16, 43, 27, 7, 20, 11, 50], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [32, 65, 37, 23, 8, 51, 66], [46, 4, 39, 42, 44, 40, 53], [60, 3, 57, 30, 61, 62]]
18.82s;1032;[[4, 42, 34, 6, 64, 40, 44, 53], [5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 15, 56, 58], [14, 20, 19, 35, 49, 1, 36, 39], [16, 43, 27, 7, 11, 50, 46], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [32, 65, 37, 23, 8, 51, 66], [60, 3, 57, 30, 61, 62]]
18.86s;1039;[[5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 56, 15, 58], [14, 50, 19, 20, 7, 29, 41, 16], [17, 38, 59, 24, 10, 27, 43], [31, 18, 26, 2, 47, 33], [39, 42, 6, 40, 44, 53], [46, 4, 11, 35, 49, 1, 36, 34, 64], [60, 3, 57, 30, 61, 62], [65, 37, 23, 8, 32, 51, 66]]
18.77s;1041;[[5, 28, 13], [9, 48, 21, 25, 63], [12, 45, 52, 22, 54, 55, 56, 15, 58], [14, 50, 11, 20, 7, 17], [16, 32, 65, 37, 23, 8, 38], [39, 36, 1, 49, 35, 19, 4, 46], [41, 51, 59, 24, 29, 10, 27, 43], [44, 40, 64, 6, 34, 42, 53], [47, 33, 31, 18, 26, 2, 66], [60, 3, 57, 30, 61, 62]]
18.66s;1034;[[5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 15, 56, 58], [14, 49, 35, 19, 20, 7, 27, 43, 16], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [39, 42, 1, 11, 50], [46, 4, 36, 6, 34, 64, 40, 44, 53], [60, 3, 57, 30, 61, 62], [65, 37, 23, 8, 32, 51, 66]]
18.89s;1032;[[4, 42, 34, 6, 64, 40, 44, 53], [5, 28, 13], [9, 48, 25, 21, 63], [12, 45, 52, 22, 54, 55, 15, 56, 58], [14, 20, 19, 35, 49, 1, 36, 39], [16, 43, 27, 7, 50, 11, 46], [17, 38, 10, 29, 24, 59, 41], [31, 18, 26, 2, 47, 33], [60, 3, 57, 30, 61, 62], [65, 37, 23, 8, 32, 51, 66]]
