elapsed;fitness;solution
312.81s;1348;[[1, 20, 188, 66, 128, 160, 30, 70, 101, 162, 69, 132], [6, 96, 99, 104, 191, 192, 119, 44, 141, 86, 16, 61], [18, 114, 125, 45, 17, 113, 173, 84, 5, 60, 118], [26, 130, 165, 55, 25, 170, 67, 39, 187, 139, 179, 149], [27, 167, 127, 190, 31, 88, 194, 153], [28, 184, 116, 68, 150, 80, 177, 109, 12, 138, 154], [50, 102, 157, 33, 81, 164, 34, 78, 169, 129, 79, 185], [53, 40, 178, 144, 57, 15, 43, 140, 38, 14, 142, 42, 172, 87, 137], [58, 152, 2, 115, 145, 41, 22, 133, 74, 171, 73, 21, 180], [72, 197, 75, 23, 186, 56, 4, 155, 110, 198, 105], [83, 199, 8, 174, 46, 36, 143, 49, 64, 11, 175, 107, 19, 7, 106], [89, 166, 82, 48, 124, 47, 168, 123, 182, 52, 146], [111, 76, 196, 77, 3, 158, 121, 29, 24, 163, 134, 54, 195], [112, 13, 117, 97, 95, 94, 147, 156], [122, 103, 161, 71, 65, 136, 35, 135, 120, 9, 51, 176], [131, 32, 181, 63, 126, 90, 108, 189, 10, 159, 62, 148], [151, 92, 37, 98, 100, 193, 91, 85, 93, 59, 183]]
311.57s;1345;[[13, 94, 117, 97, 95, 59, 99, 104, 96, 183, 112], [18, 114, 8, 174, 46, 124, 47, 168, 48, 82, 153, 52, 146], [26, 149, 179, 4, 155, 139, 187, 39, 197, 198, 53], [27, 167, 127, 190, 31], [28, 76, 185, 81, 120, 9, 33, 157, 102, 50, 111], [40, 73, 171, 145, 41, 22, 133, 75, 74, 72, 21, 180], [58, 152, 2, 115, 178, 57, 15, 43, 142, 42, 172, 144, 87, 137], [69, 101, 70, 30, 128, 20, 188, 66, 181, 63, 126, 108, 162], [77, 3, 158, 79, 129, 169, 121, 29, 24, 163, 134, 80, 150, 177, 109], [78, 34, 164, 135, 35, 136, 65, 71, 161, 103, 51, 176], [88, 148, 62, 159, 10, 189, 90, 32, 131, 160, 122, 1, 132], [89, 166, 60, 83, 199, 125, 45, 17, 113, 84, 5, 118], [92, 98, 192, 119, 44, 38, 140, 86, 141, 191, 16, 61, 173], [105, 110, 56, 186, 23, 67, 170, 25, 55, 165, 130, 54, 195], [106, 194, 7, 123, 19, 36, 143, 49, 64, 11, 175, 107, 182], [151, 37, 100, 14, 193, 91, 85, 93, 6, 147, 156], [154, 138, 12, 68, 116, 196, 184]]
312.23s;1351;[[1, 122, 66, 65, 136, 35, 135, 71, 161, 103, 51, 176], [13, 97, 192, 119, 44, 14, 38, 140, 86, 113, 17, 173, 61], [18, 114, 8, 174, 46, 36, 143, 49, 64, 11, 175, 107, 62, 88], [26, 195, 54, 130, 134, 163, 24, 29, 121, 77, 76, 111], [27, 127, 190, 31, 10, 189, 159, 148, 182], [28, 184, 116, 68, 150, 80, 177, 109, 12, 154, 138], [40, 21, 72, 139, 187, 39, 67, 170, 25, 55, 165, 179, 149], [50, 102, 157, 33, 81, 185, 79, 129, 3, 158, 196], [53, 180, 198, 155, 4, 110, 105], [58, 152, 2, 115, 178, 57, 15, 43, 142, 42, 172, 144, 87, 137], [73, 171, 74, 197, 56, 186, 23, 75, 133, 22, 41, 145], [89, 166, 83, 199, 125, 45, 84, 5, 60, 118, 147], [108, 90, 126, 63, 181, 32, 131, 160, 30, 70, 162, 167], [112, 92, 151, 191, 141, 16, 91, 193, 100, 98, 37, 95, 117], [132, 69, 101, 128, 20, 188, 9, 120, 164, 34, 78, 169], [146, 52, 106, 194, 7, 123, 19, 168, 47, 124, 48, 82, 153], [156, 6, 96, 99, 104, 93, 85, 59, 94, 183]]
313.34s;1342;[[6, 104, 93, 85, 61, 173, 5, 118, 60, 166, 89], [7, 48, 123, 19, 107, 175, 11, 126, 63, 90, 108, 189, 10], [13, 87, 57, 178, 115, 2, 58, 152], [18, 83, 199, 125, 45, 174, 8, 114, 82, 194, 106, 52, 146], [26, 149, 198, 197, 72, 74, 171, 73, 21, 180, 105], [27, 167, 190, 31, 148, 159, 62, 182, 88], [28, 76, 196, 77, 3, 158, 121, 29, 24, 163, 134, 177, 109, 138], [40, 145, 41, 22, 133, 75, 23, 186, 56, 155, 179, 195], [50, 33, 120, 135, 35, 136, 65, 71, 161, 103, 9, 51], [53, 110, 4, 139, 187, 39, 67, 170, 25, 55, 165, 130, 54], [84, 17, 113, 16, 86, 140, 38, 14, 142, 43, 15, 42, 172, 144, 137], [96, 99, 193, 91, 191, 141, 44, 119, 192, 100, 98, 37, 97, 117], [102, 157, 81, 164, 34, 78, 169, 129, 79, 185, 111], [127, 162, 101, 30, 160, 128, 66, 188, 20, 122, 1, 176], [132, 69, 70, 131, 32, 181, 64, 49, 143, 36, 47, 168, 124, 46, 153], [147, 59, 151, 92, 95, 94, 183, 112, 156], [154, 12, 150, 80, 68, 116, 184]]
314.33s;1356;[[1, 51, 20, 188, 103, 161, 9, 120, 33, 176, 27], [2, 115, 178, 145, 41, 22, 133, 75, 74, 171, 73, 21, 40, 53], [26, 195, 109, 177, 12, 138, 154], [28, 76, 77, 79, 185, 81, 157, 102, 50, 111], [30, 160, 131, 32, 181, 90, 63, 126, 11, 159, 31], [54, 130, 165, 55, 25, 170, 67, 23, 186, 56, 197, 72], [58, 152, 13, 117, 97, 96, 183, 6, 147, 112], [62, 19, 107, 175, 64, 49, 143, 36, 124, 46, 174, 8, 114], [87, 144, 172, 42, 142, 14, 192, 119, 44, 191, 59, 94], [89, 5, 173, 61, 16, 141, 86, 140, 38, 43, 15, 57, 137], [95, 151, 92, 98, 37, 100, 193, 91, 85, 93, 104, 99], [105, 149, 179, 39, 187, 139, 4, 155, 110, 198, 180], [106, 194, 7, 182, 123, 168, 47, 48, 82, 153, 52, 146], [127, 190, 88, 148, 10, 189, 108, 70, 101, 162, 167], [129, 169, 78, 34, 164, 135, 35, 136, 65, 71, 66, 128, 122, 69, 132], [156, 18, 83, 199, 125, 45, 17, 113, 84, 118, 60, 166], [158, 3, 121, 29, 24, 163, 134, 150, 80, 68, 116, 196, 184]]
311.52s;1354;[[6, 96, 99, 104, 93, 59, 151, 97, 117, 95, 94, 112], [18, 114, 8, 174, 46, 124, 47, 168, 48, 82, 153], [26, 149, 179, 130, 54, 177, 12, 138, 154], [27, 167, 127, 166, 83, 199, 125, 45, 84, 118, 89], [28, 184, 116, 68, 150, 80, 121, 29, 24, 163, 134, 195], [31, 10, 189, 159, 62, 148, 182, 88, 190], [53, 40, 21, 72, 75, 23, 186, 56, 197, 198, 180], [60, 5, 173, 17, 113, 86, 141, 16, 61, 147], [70, 30, 160, 128, 131, 32, 181, 64, 49, 143, 36, 106], [73, 171, 74, 133, 22, 41, 145, 178, 115, 2, 58, 152], [76, 196, 77, 3, 158, 129, 79, 185, 33, 102, 50, 111], [92, 37, 98, 100, 192, 119, 44, 191, 91, 193, 85, 183], [105, 110, 4, 155, 139, 187, 39, 67, 170, 25, 55, 165, 109], [122, 20, 188, 66, 71, 65, 136, 35, 135, 164, 34, 78, 169], [132, 69, 162, 101, 108, 90, 63, 126, 11, 175, 107, 19, 123, 7, 194, 52, 146], [137, 144, 57, 15, 43, 140, 38, 14, 142, 42, 172, 87, 13, 156], [157, 81, 120, 9, 161, 103, 51, 1, 176]]
311.73s;1349;[[12, 109, 177, 150, 80, 68, 116, 196, 184, 28], [13, 87, 144, 57, 15, 43, 142, 42, 172, 97, 117, 112], [18, 114, 8, 174, 45, 125, 199, 83, 60, 118, 89], [21, 72, 75, 23, 186, 56, 197, 198, 180, 105], [26, 195, 179, 130, 54, 134, 163, 24, 29, 121, 154, 138], [27, 167, 127, 190, 31, 108, 189, 10, 162, 69], [40, 73, 171, 74, 133, 22, 41, 145, 115, 178, 2, 58, 152], [51, 9, 120, 35, 135, 164, 34, 78, 169, 129, 79, 77, 76], [52, 182, 148, 62, 11, 107, 175, 64, 49, 143, 36, 46, 166], [53, 110, 4, 155, 139, 187, 39, 67, 170, 25, 55, 165, 149], [94, 59, 151, 92, 98, 85, 93, 99, 104, 96, 156], [95, 37, 100, 193, 91, 191, 141, 44, 140, 38, 14, 119, 192, 137], [101, 70, 30, 160, 128, 131, 32, 181, 63, 126, 90, 159, 88, 146], [106, 194, 7, 123, 19, 168, 47, 124, 48, 82, 153], [111, 50, 102, 157, 33, 81, 185, 3, 158], [132, 1, 122, 20, 188, 66, 65, 136, 71, 161, 103, 176], [147, 5, 84, 17, 113, 86, 16, 61, 173, 6, 183]]
311.98s;1336;[[6, 59, 37, 98, 100, 193, 91, 85, 93, 104, 99, 96], [13, 97, 92, 151, 95, 94, 183, 112], [18, 114, 8, 46, 36, 143, 49, 64, 11, 175, 107, 182], [21, 72, 75, 23, 186, 56, 197, 198, 180, 53], [26, 179, 165, 55, 25, 170, 67, 39, 187, 139, 155, 4, 110], [27, 176, 50, 102, 157, 33, 81, 185, 79, 129, 158, 76], [28, 184, 196, 116, 77, 68, 12, 154, 138], [40, 73, 171, 74, 133, 22, 41, 145, 178, 115, 2, 152, 58], [52, 153, 82, 48, 124, 47, 168, 19, 123, 7, 194, 106], [60, 118, 84, 17, 125, 45, 174, 199, 83, 166, 89], [69, 101, 70, 30, 160, 131, 32, 181, 63, 126, 90, 108, 10, 189], [103, 161, 71, 135, 35, 136, 65, 66, 188, 20, 128], [105, 149, 130, 54, 134, 24, 163, 150, 80, 177, 109, 195], [111, 3, 121, 29, 169, 78, 34, 164, 120, 9, 51, 122, 1, 132], [117, 87, 144, 172, 42, 192, 119, 44, 191, 141, 16, 61, 147], [137, 57, 15, 43, 142, 14, 38, 140, 86, 113, 173, 5, 156], [146, 127, 190, 88, 148, 62, 159, 31, 162, 167]]
312.83s;1350;[[2, 115, 178, 145, 41, 22, 133, 73, 21, 180, 105, 53], [9, 161, 71, 65, 136, 35, 135, 120, 81, 185, 76], [18, 114, 8, 174, 46, 124, 47, 168, 48, 7, 194, 106], [26, 195, 54, 134, 163, 24, 29, 121, 158, 3, 77, 196], [27, 167, 190, 31, 62, 148, 88, 127, 146], [28, 184, 116, 68, 150, 80, 177, 109, 12, 138, 154], [40, 72, 74, 171, 75, 23, 56, 197, 198, 179, 149], [50, 102, 157, 33, 164, 34, 78, 169, 129, 79, 111], [52, 153, 82, 36, 143, 49, 64, 11, 175, 107, 19, 123, 182], [58, 152, 13, 94, 183, 112, 156], [83, 199, 125, 45, 17, 113, 173, 84, 5, 118, 60, 166], [89, 147, 6, 96, 99, 104, 61, 16, 86, 140, 38, 43, 15, 57, 144], [95, 59, 93, 85, 91, 193, 37, 98, 92, 151], [110, 155, 4, 186, 139, 187, 39, 67, 170, 25, 55, 165, 130], [117, 97, 100, 192, 191, 141, 44, 119, 14, 142, 42, 172, 87, 137], [132, 69, 101, 70, 160, 128, 20, 188, 66, 103, 51, 122, 1, 176], [159, 189, 10, 108, 90, 126, 63, 181, 32, 131, 30, 162]]
313.42s;1357;[[1, 122, 20, 128, 66, 188, 103, 161, 51, 176], [10, 189, 108, 90, 126, 63, 181, 32, 131, 160, 30, 70, 69], [13, 87, 97, 92, 151, 59, 99, 95, 117, 94, 6, 112], [26, 149, 195, 179, 130, 54, 134, 163, 24, 29, 121, 177, 109], [27, 167, 127, 190, 31, 162, 101, 132], [28, 184, 116, 3, 158, 68, 80, 150, 12, 154, 138], [37, 98, 100, 193, 191, 91, 85, 93, 104, 96, 183, 156], [40, 21, 72, 74, 75, 23, 186, 56, 197, 198, 180, 105], [50, 9, 71, 65, 136, 35, 135, 164, 34, 78, 169, 129, 79, 76], [52, 153, 106, 194, 7, 48, 82, 8, 174, 114, 18, 166], [53, 110, 155, 4, 139, 187, 39, 67, 170, 25, 55, 165], [57, 15, 43, 142, 14, 38, 140, 86, 113, 17, 84, 118], [73, 171, 22, 133, 41, 145, 178, 115, 2, 58, 152], [88, 148, 62, 159, 11, 175, 107, 19, 182, 146], [89, 60, 83, 199, 125, 45, 46, 124, 168, 47, 36, 143, 49, 64, 123], [111, 102, 157, 33, 81, 120, 185, 77, 196], [137, 144, 172, 42, 192, 119, 44, 141, 16, 61, 173, 5, 147]]
