elapsed;fitness;solution
2.56s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
2.14s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
2.07s;450;[[1], [2], [3, 9, 5], [4, 11], [6], [7, 14], [8, 13], [10, 12, 15]]
1.97s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.99s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.95s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.99s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.99s;450;[[1], [2], [3, 9, 5], [4, 11], [6], [7, 14], [8, 13], [10, 12, 15]]
1.97s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
2.04s;450;[[1], [2], [3, 9, 5], [4, 11], [6], [7, 14], [8, 13], [10, 12, 15]]
1.99s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.98s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
2.00s;450;[[1], [2], [3, 9, 5], [4, 11], [6], [7, 14], [8, 13], [10, 12, 15]]
1.98s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.97s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.97s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.98s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.97s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
2.04s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]
1.99s;450;[[1, 3], [2], [4, 11], [5, 14], [6], [7, 9, 13], [8], [10, 12, 15]]

avg_time;avg_ans;best;worst
2.03s;450.00;450;450
