elapsed;fitness;solution
2.01s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.21s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [6, 1, 23, 17, 36, 11], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32], [24, 29, 28, 9, 5, 26]]
1.19s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.28s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.23s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.12s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.57s;831;[[2, 19, 33, 25, 35, 14, 31, 37], [5, 29, 28, 9, 12, 38, 3, 24], [6, 1, 36, 17, 23, 21, 22, 34, 32, 20], [7, 8, 4, 16, 10, 27, 18], [11, 26], [15, 13, 30]]
1.15s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.21s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [6, 1, 23, 17, 36, 11], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32], [24, 29, 28, 9, 5, 26]]
1.31s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [6, 1, 23, 17, 36, 11], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32], [24, 29, 28, 9, 5, 26]]
1.20s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.23s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.12s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [6, 1, 23, 17, 36, 11], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32], [24, 29, 28, 9, 5, 26]]
1.23s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.13s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.26s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.10s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.18s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.03s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]
1.10s;833;[[3, 12, 38, 37, 31, 35, 25, 14], [5, 9, 28, 29, 24], [6, 1, 23, 17, 36, 11, 26], [13, 15], [20, 7, 8, 4, 19, 33, 2, 30], [21, 18, 22, 34, 27, 16, 10, 32]]

avg_time;avg_ans;best;worst
1.24s;832.90;831;833
