elapsed;fitness;solution
6.40s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 9, 16, 46, 13, 26], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [23, 12, 50, 22, 17, 49, 15, 19, 34, 32, 38], [33, 35, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
4.68s;747;[[1, 30, 18, 20, 42, 40], [2, 48, 38, 34, 32, 19, 15, 49, 50, 12, 23], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [9, 16, 46, 13, 17, 22, 26], [25, 6, 36, 41], [33, 35, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]
6.24s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 38, 26, 22, 17, 50, 12, 23], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [16, 9, 13, 46, 49, 15, 19, 32, 34], [33, 35, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
7.38s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 38, 32, 34, 19, 15, 49, 50, 12, 23], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [16, 9, 13, 46, 17, 22, 26], [35, 33, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
6.78s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 16, 9, 46, 13, 26], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [23, 12, 50, 22, 17, 49, 15, 19, 34, 32, 38], [33, 35, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
4.32s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 9, 16, 13, 46, 26], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [23, 12, 50, 22, 17, 49, 15, 19, 32, 34, 38], [33, 35, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
2.37s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 38, 26, 22, 17, 50, 12, 23], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [16, 9, 13, 46, 49, 15, 19, 32, 34], [25, 6, 36, 41], [35, 33, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]
4.54s;747;[[1, 30, 18, 20, 42, 40], [2, 16, 9, 13, 46, 26, 22], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [23, 12, 50, 17, 49, 15, 19, 34, 32, 38, 48], [25, 6, 36, 41], [35, 33, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]
4.40s;747;[[1, 30, 18, 20, 42, 40], [2, 48, 38, 26, 22, 17, 50, 12, 23], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [9, 16, 13, 46, 49, 15, 19, 32, 34], [33, 35, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
4.97s;747;[[1, 30, 18, 20, 42, 40], [2, 48, 16, 9, 13, 46, 26], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [23, 12, 50, 22, 17, 49, 15, 19, 34, 32, 38], [25, 6, 36, 41], [33, 35, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]
2.21s;749;[[1, 18, 30, 20, 42, 40], [2, 48, 38, 34, 32, 19, 15, 49, 46, 16, 9], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [23, 12, 50, 22, 17, 13, 26], [25, 6, 36, 41], [35, 33, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]
4.99s;747;[[1, 18, 30, 20, 42, 40], [2, 16, 9, 13, 46, 26, 22], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [23, 12, 50, 17, 49, 15, 19, 32, 34, 38, 48], [35, 33, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 27, 8, 5, 10, 44]]
2.86s;748;[[1, 30, 18, 20, 42, 40], [2, 48, 38, 32, 34, 19, 15, 49, 17, 26], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [9, 16, 46, 13, 22, 50, 12, 23], [29, 51, 27, 8, 5, 10, 44], [35, 33, 43, 7, 37, 47], [36, 6, 25, 41]]
4.38s;747;[[2, 48, 9, 16, 46, 13, 26], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [6, 25, 41], [23, 12, 50, 22, 17, 49, 15, 19, 34, 32, 38], [33, 35, 43, 7, 51, 47], [36, 1, 18, 30, 20, 42, 40], [37, 29, 27, 8, 5, 10, 44]]
3.72s;748;[[1, 30, 18, 20, 42, 40], [2, 48, 38, 32, 34, 19, 15, 49, 17, 26], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [16, 9, 13, 46, 22, 50, 12, 23], [29, 51, 7, 43, 33, 35], [36, 6, 25, 41], [37, 5, 8, 27, 10, 44, 47]]
2.70s;748;[[1, 30, 18, 20, 42, 40], [2, 48, 38, 26, 22, 17, 50, 12, 23], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [9, 16, 34, 32, 19, 15, 49, 46, 13], [35, 33, 43, 7, 51, 47], [36, 6, 25, 41], [37, 29, 8, 5, 27, 10, 44]]
5.47s;748;[[1, 18, 30, 20, 42, 40], [2, 48, 38, 34, 32, 19, 15, 49, 17, 26], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [16, 9, 13, 46, 22, 50, 12, 23], [35, 33, 43, 7, 37, 47], [36, 6, 25, 41], [44, 10, 29, 27, 8, 5, 51]]
6.62s;747;[[1, 18, 30, 20, 42, 40], [2, 48, 38, 34, 32, 19, 15, 49, 50, 12, 23], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [9, 16, 13, 46, 17, 22, 26], [25, 6, 36, 41], [35, 33, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]
3.62s;747;[[2, 9, 16, 13, 46, 26, 22], [4, 45, 14, 39, 24, 31, 3, 28, 11, 21], [6, 25, 41], [23, 12, 50, 17, 49, 15, 19, 34, 32, 38, 48], [33, 35, 43, 7, 51, 47], [36, 1, 30, 18, 20, 42, 40], [37, 29, 27, 8, 5, 10, 44]]
5.05s;747;[[1, 30, 18, 20, 42, 40], [2, 16, 9, 46, 13, 26, 22], [3, 31, 24, 28, 11, 21, 39, 14, 45, 4], [23, 12, 50, 17, 49, 15, 19, 32, 34, 38, 48], [25, 6, 36, 41], [33, 35, 43, 7, 51, 47], [37, 29, 27, 8, 5, 10, 44]]

avg_time;avg_ans;best;worst
4.69s;747.30;747;749
