elapsed;fitness;solution
23.81s;824;[[1, 50, 51, 9, 81, 33, 79, 3, 77, 76, 28], [6, 96, 99, 93, 85, 91, 100, 98, 37, 92, 59, 95, 94], [12, 80, 68, 24, 29, 78, 34, 35, 65, 71, 66, 20, 30, 70, 69], [13, 87, 2, 57, 41, 22, 75, 74, 72, 73, 21, 40, 58], [18, 83, 84, 17, 45, 8, 46, 47, 36, 49, 64, 63, 90, 32, 10, 27], [26, 54, 55, 25, 39, 67, 23, 56, 4, 53], [31, 88, 62, 11, 19, 48, 82, 7, 52], [89, 60, 5, 61, 16, 86, 44, 38, 14, 43, 15, 42, 97]]
36.84s;823;[[6, 96, 99, 59, 93, 85, 91, 100, 37, 98, 92, 95, 94], [12, 68, 80, 24, 29, 34, 78, 79, 3, 77, 76, 28], [13, 87, 2, 57, 15, 41, 22, 75, 74, 73, 58, 53], [18, 83, 45, 8, 46, 36, 49, 64, 63, 90, 32, 10, 31, 27], [26, 54, 4, 55, 25, 39, 67, 23, 56, 72, 21, 40], [50, 33, 81, 51, 9, 35, 65, 71, 66, 20, 30, 70, 1, 69], [52, 7, 82, 48, 47, 19, 11, 62, 88], [89, 60, 5, 84, 17, 61, 16, 86, 38, 44, 14, 43, 42, 97]]
44.85s;824;[[1, 51, 9, 35, 65, 71, 66, 20, 30, 70, 69, 27], [6, 96, 99, 93, 85, 98, 59, 95, 94], [12, 54, 55, 25, 39, 67, 23, 56, 4, 26], [13, 97, 92, 37, 100, 91, 44, 14, 38, 86, 16, 61], [28, 76, 77, 68, 80, 24, 29, 3, 79, 78, 34, 81, 33, 50], [31, 10, 32, 90, 63, 64, 49, 19, 11, 62, 88], [40, 21, 73, 72, 74, 75, 22, 41, 57, 15, 43, 42, 87, 2, 58, 53], [52, 7, 82, 48, 47, 36, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89]]
53.68s;825;[[1, 51, 9, 35, 65, 71, 66, 20, 30, 70, 69, 27], [6, 99, 93, 85, 98, 59, 95, 94], [12, 54, 55, 25, 39, 67, 23, 56, 4, 26], [13, 97, 92, 37, 100, 91, 44, 14, 38, 86, 16, 61, 96], [28, 76, 77, 3, 79, 68, 80, 24, 29, 34, 78, 81, 33, 50], [31, 10, 32, 90, 63, 64, 49, 19, 11, 62, 88], [40, 21, 73, 72, 74, 75, 22, 41, 57, 15, 43, 42, 87, 2, 58, 53], [52, 7, 82, 48, 47, 36, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89]]
39.46s;825;[[4, 39, 67, 25, 55, 54, 26], [6, 96, 99, 61, 16, 86, 44, 38, 14, 42, 87, 13], [12, 80, 68, 24, 29, 34, 78, 79, 3, 77, 76, 28], [27, 31, 10, 32, 90, 63, 64, 49, 19, 11, 62, 88], [40, 21, 73, 72, 74, 56, 23, 75, 22, 41, 15, 43, 57, 2, 58, 53], [50, 33, 81, 51, 9, 35, 65, 71, 66, 20, 30, 70, 1, 69], [52, 7, 82, 48, 47, 36, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89], [59, 93, 85, 91, 100, 37, 98, 92, 97, 95, 94]]
25.50s;823;[[1, 51, 9, 35, 65, 71, 66, 20, 30, 70, 69, 27], [6, 96, 99, 93, 61, 16, 86, 38, 44, 14, 42, 87], [10, 32, 90, 63, 64, 49, 36, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89], [12, 54, 55, 25, 39, 67, 23, 56, 4, 26], [13, 97, 92, 37, 98, 100, 91, 85, 59, 95, 94], [28, 76, 77, 3, 68, 80, 24, 29, 79, 78, 34, 81, 33, 50], [31, 88, 62, 11, 19, 47, 48, 82, 7, 52], [40, 21, 73, 72, 74, 75, 22, 41, 15, 43, 57, 2, 58, 53]]
40.29s;826;[[1, 51, 9, 71, 66, 65, 35, 34, 78, 81, 33, 50], [6, 96, 99, 61, 16, 44, 14, 38, 86, 17, 84, 5, 60, 89], [12, 68, 80, 54, 24, 29, 79, 3, 77, 76, 28], [13, 97, 87, 42, 43, 15, 57, 2, 41, 22, 74, 73, 58, 53], [18, 83, 45, 8, 46, 36, 49, 64, 63, 90, 32, 20, 30, 70, 69, 27], [26, 4, 55, 25, 39, 67, 23, 56, 75, 72, 21, 40], [31, 88, 10, 62, 11, 19, 47, 48, 82, 7, 52], [94, 59, 93, 85, 91, 100, 98, 37, 92, 95]]
53.60s;823;[[6, 99, 61, 16, 44, 14, 38, 86, 17, 84, 5, 60, 89], [12, 68, 80, 24, 29, 34, 78, 81, 33, 79, 3, 77, 76], [13, 97, 87, 42, 43, 15, 57, 41, 22, 75, 74, 72, 73, 2, 58], [18, 83, 45, 8, 46, 47, 36, 49, 64, 63, 90, 32, 10, 31], [26, 54, 55, 25, 39, 67, 23, 56, 4, 21, 40, 53], [27, 69, 1, 70, 30, 20, 66, 65, 71, 35, 9, 51, 50, 28], [52, 7, 82, 48, 19, 11, 62, 88], [94, 95, 92, 98, 37, 100, 91, 85, 93, 59, 96]]
36.75s;827;[[1, 50, 51, 9, 81, 33, 79, 29, 24, 54, 80, 68, 12], [6, 96, 61, 16, 86, 44, 38, 14, 43, 42, 87, 13], [26, 4, 55, 25, 39, 67, 23, 56, 75, 73], [27, 69, 70, 30, 20, 66, 71, 65, 35, 34, 78, 3, 77, 76, 28], [31, 10, 32, 90, 63, 64, 49, 36, 19, 11, 62, 88], [52, 7, 82, 48, 47, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89], [53, 40, 21, 72, 74, 22, 41, 15, 57, 2, 58], [94, 95, 97, 92, 98, 37, 100, 91, 85, 93, 59, 99]]
32.38s;826;[[6, 96, 99, 93, 85, 91, 100, 98, 37, 92, 59, 95, 94], [13, 97, 87, 42, 14, 43, 15, 57, 2, 58, 53], [18, 82, 8, 46, 36, 49, 64, 11, 19, 47, 48, 7, 52], [21, 72, 56, 39, 67, 23, 75, 41, 22, 74, 73, 40], [26, 4, 25, 55, 54, 24, 29, 68, 80, 12, 28], [27, 69, 1, 70, 30, 20, 66, 32, 90, 63, 10, 62, 88, 31], [50, 33, 81, 51, 9, 71, 65, 35, 34, 78, 79, 3, 77, 76], [83, 45, 17, 86, 38, 44, 16, 61, 84, 5, 60, 89]]
