elapsed;fitness;solution
26.71s;692;[[13, 97, 92, 98, 37, 100, 91, 44, 14, 38, 86, 16, 61, 85, 93, 59, 99, 96, 95, 94, 6, 89], [26, 54, 4, 55, 25, 39, 67, 23, 56, 75, 72, 21, 73, 74, 22, 41, 57, 15, 43, 42, 87, 2, 40, 58, 53], [27, 1, 50, 76, 77, 3, 79, 33, 81, 9, 51, 20, 66, 65, 71, 35, 34, 78, 29, 24, 80, 68, 12, 28], [52, 18, 83, 60, 5, 84, 17, 45, 8, 46, 47, 36, 49, 64, 63, 90, 32, 10, 62, 11, 19, 48, 82, 7, 88, 31, 70, 30, 69]]
16.47s;686;[[13, 94, 95, 97, 92, 37, 98, 100, 91, 44, 14, 38, 86, 16, 61, 85, 93, 59, 99, 96, 6, 89], [18, 83, 60, 5, 84, 17, 45, 8, 46, 47, 36, 49, 64, 63, 90, 32, 30, 70, 31, 88, 10, 62, 11, 19, 48, 82, 7, 52], [27, 69, 1, 50, 76, 77, 3, 79, 33, 81, 9, 51, 20, 66, 71, 65, 35, 34, 78, 29, 24, 80, 68, 12, 26, 28], [40, 21, 73, 74, 72, 4, 54, 55, 25, 39, 67, 23, 56, 75, 22, 41, 57, 15, 43, 42, 87, 2, 58, 53]]
22.07s;685;[[6, 96, 99, 93, 85, 61, 16, 86, 38, 14, 44, 91, 100, 98, 37, 59, 92, 87, 97, 95, 94, 13], [26, 12, 80, 68, 29, 24, 54, 55, 25, 4, 39, 67, 23, 56, 75, 72, 21, 73, 74, 22, 41, 15, 43, 42, 57, 2, 40, 58, 53], [27, 69, 1, 50, 33, 81, 9, 51, 30, 70, 31, 10, 62, 11, 19, 48, 82, 7, 88, 52], [28, 76, 77, 3, 79, 78, 34, 35, 71, 65, 66, 20, 32, 90, 63, 64, 49, 36, 47, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89]]
27.45s;694;[[26, 12, 54, 55, 25, 39, 67, 23, 56, 4, 75, 22, 41, 74, 72, 73, 21, 2, 57, 15, 43, 42, 87, 13, 58, 40, 53], [27, 69, 1, 50, 33, 81, 9, 51, 20, 66, 71, 65, 35, 34, 78, 79, 3, 29, 24, 80, 68, 77, 76, 28], [31, 70, 30, 32, 90, 10, 62, 88, 7, 82, 48, 19, 11, 63, 64, 49, 36, 47, 46, 8, 45, 17, 84, 5, 60, 83, 18, 52], [89, 6, 96, 99, 59, 93, 85, 61, 16, 86, 38, 14, 44, 91, 100, 98, 37, 92, 97, 95, 94]]
14.98s;697;[[6, 96, 99, 59, 93, 85, 61, 16, 86, 38, 14, 44, 91, 100, 37, 98, 92, 97, 87, 42, 43, 15, 57, 2, 58, 53], [26, 12, 80, 68, 29, 24, 54, 55, 25, 4, 39, 67, 23, 56, 75, 22, 41, 74, 72, 73, 21, 40, 13, 95, 94], [27, 69, 1, 31, 70, 30, 20, 51, 33, 81, 9, 71, 66, 65, 35, 34, 78, 79, 3, 77, 50, 76, 28], [52, 88, 7, 82, 48, 19, 11, 62, 10, 32, 90, 63, 64, 49, 36, 47, 46, 8, 83, 45, 17, 84, 5, 60, 18, 89]]
22.63s;693;[[6, 94, 96, 99, 5, 84, 17, 61, 16, 86, 38, 14, 44, 91, 100, 37, 98, 85, 93, 59, 92, 97, 95, 13], [26, 12, 54, 55, 25, 4, 39, 67, 23, 56, 75, 72, 21, 73, 74, 22, 41, 15, 43, 42, 87, 57, 2, 40, 58, 53], [27, 69, 1, 50, 3, 79, 33, 81, 9, 51, 20, 66, 65, 71, 35, 34, 78, 29, 24, 80, 68, 77, 76, 28], [52, 31, 88, 7, 82, 48, 19, 62, 10, 70, 30, 32, 90, 63, 11, 64, 49, 36, 47, 46, 8, 45, 83, 60, 18, 89]]
28.90s;686;[[6, 96, 99, 93, 59, 92, 37, 98, 100, 91, 85, 61, 16, 86, 38, 44, 14, 42, 43, 15, 57, 2, 87, 97, 95, 13], [27, 69, 1, 50, 76, 77, 3, 79, 33, 51, 9, 81, 78, 34, 35, 71, 65, 66, 20, 30, 70, 31], [28, 26, 12, 80, 68, 29, 24, 54, 4, 55, 25, 39, 67, 23, 56, 75, 22, 41, 74, 72, 73, 21, 40, 58, 53], [52, 88, 7, 82, 48, 19, 11, 62, 10, 32, 90, 63, 64, 49, 36, 47, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89, 94]]
11.96s;694;[[13, 97, 87, 42, 43, 15, 57, 2, 73, 72, 74, 41, 22, 75, 56, 23, 67, 39, 4, 21, 40, 58, 53], [26, 12, 68, 80, 54, 55, 25, 24, 29, 79, 78, 34, 35, 71, 65, 66, 20, 30, 51, 9, 81, 33, 3, 77, 50, 76, 28], [27, 69, 1, 70, 31, 88, 7, 82, 48, 47, 19, 11, 62, 10, 32, 90, 63, 64, 49, 36, 46, 8, 45, 17, 84, 5, 60, 83, 18, 52], [89, 6, 96, 99, 59, 93, 85, 61, 16, 86, 38, 14, 44, 91, 100, 37, 98, 92, 95, 94]]
6.94s;689;[[6, 94, 95, 96, 99, 5, 60, 83, 84, 17, 45, 8, 46, 47, 36, 49, 64, 63, 90, 32, 10, 62, 11, 19, 48, 82, 7, 18, 89], [13, 87, 97, 92, 59, 93, 85, 98, 37, 100, 91, 61, 16, 86, 44, 38, 14, 42, 43, 15, 57, 2, 58, 53], [27, 69, 1, 50, 76, 77, 3, 68, 80, 24, 29, 34, 78, 79, 33, 81, 51, 9, 35, 71, 65, 66, 20, 30, 70, 31, 88, 52], [28, 26, 12, 54, 55, 25, 4, 39, 67, 23, 56, 75, 41, 22, 74, 72, 73, 21, 40]]
20.72s;690;[[13, 94, 95, 97, 92, 37, 98, 100, 91, 44, 14, 38, 86, 16, 61, 85, 93, 59, 99, 96, 6, 89], [18, 83, 60, 5, 84, 17, 45, 8, 46, 47, 36, 49, 64, 63, 90, 32, 10, 30, 70, 31, 62, 11, 19, 48, 82, 7, 88, 52], [26, 54, 4, 55, 25, 39, 67, 23, 56, 75, 72, 21, 73, 74, 22, 41, 57, 15, 43, 42, 87, 2, 40, 58, 53], [27, 69, 1, 50, 76, 77, 3, 79, 33, 81, 9, 51, 20, 66, 65, 71, 35, 34, 78, 29, 24, 80, 68, 12, 28]]
20.16s;694;[[6, 96, 99, 5, 60, 84, 17, 45, 46, 47, 36, 49, 64, 63, 90, 32, 10, 62, 11, 19, 48, 82, 8, 83, 18, 89], [13, 2, 57, 15, 43, 42, 87, 97, 92, 37, 98, 100, 91, 44, 14, 38, 86, 16, 61, 85, 93, 59, 95, 94], [27, 69, 1, 50, 51, 9, 81, 33, 79, 3, 77, 76, 68, 80, 24, 29, 78, 34, 35, 65, 71, 66, 20, 30, 70, 31, 88, 7, 52], [28, 26, 12, 54, 4, 55, 25, 39, 67, 23, 56, 75, 41, 22, 74, 72, 73, 21, 40, 58, 53]]
19.84s;689;[[6, 96, 99, 93, 59, 92, 98, 37, 100, 91, 85, 61, 16, 86, 38, 44, 14, 43, 42, 87, 97, 95, 94, 13], [26, 12, 80, 68, 29, 24, 54, 55, 25, 4, 56, 39, 67, 23, 75, 74, 22, 41, 15, 57, 2, 73, 72, 21, 40, 58, 53], [27, 69, 1, 50, 33, 81, 9, 51, 20, 30, 70, 10, 62, 11, 19, 48, 82, 7, 88, 31, 52], [28, 76, 77, 3, 79, 78, 34, 35, 65, 71, 66, 32, 90, 63, 64, 49, 36, 47, 46, 8, 45, 17, 84, 5, 60, 83, 18, 89]]
