elapsed;fitness;solution
1.75s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.27s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.55s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
1.09s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
1.04s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.19s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
0.97s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
0.92s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
1.15s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
1.03s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.28s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.50s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
0.93s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.57s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.11s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
0.96s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
0.94s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.36s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
1.11s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
1.13s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]

avg_time;avg_ans;best;worst
1.19s;742.00;742;742
