elapsed;fitness;solution
2.20s;549;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
1.31s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
1.70s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
1.10s;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 7, 34, 9], [14, 13, 10, 6, 18, 20, 19, 29]]
1.00s;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 19, 20, 34, 29]]
1.43s;549;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
1.56s;549;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
1.51s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.98s;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 20, 19, 34, 29]]
1.26s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
1.57s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
1.53s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
0.98s;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 34, 19, 20, 7, 29]]
1.73s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
0.99s;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 13, 18, 6, 20, 19, 9], [14, 7, 34, 29]]
0.95s;550;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [7, 19, 20, 6, 18, 13, 10, 14], [8, 34, 9, 29]]
1.77s;549;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
1.00s;550;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 20, 19, 34, 29]]
1.67s;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.97s;550;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 19, 20, 34, 29]]

avg_time;avg_ans;best;worst
1.36s;549.40;549;550
