elapsed;fitness;solution
2.48s;521;[[6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32], [11, 2, 29, 21, 16, 50, 34, 30, 9, 38], [12, 37, 44, 15, 45, 33, 39, 10, 49, 5, 46], [18, 13, 41, 40, 19, 42, 17, 4, 47]]
3.82s;521;[[6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32], [11, 2, 29, 21, 16, 50, 34, 30, 9, 38], [12, 37, 44, 15, 45, 33, 39, 10, 49, 5, 46], [18, 13, 41, 40, 19, 42, 17, 4, 47]]
4.11s;521;[[5, 49, 10, 39, 33, 45, 15, 44, 37, 17, 12], [6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32, 46], [11, 16, 2, 29, 21, 50, 34, 30, 9, 38], [18, 13, 41, 40, 19, 42, 4, 47]]
4.07s;521;[[5, 49, 10, 39, 33, 45, 15, 44, 37, 17, 12], [6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32, 46], [11, 16, 2, 29, 21, 50, 34, 30, 9, 38], [18, 13, 41, 40, 19, 42, 4, 47]]
2.73s;521;[[5, 49, 10, 39, 33, 45, 15, 44, 37, 17, 12], [6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32, 46], [11, 16, 2, 29, 21, 50, 34, 30, 9, 38], [18, 13, 41, 19, 40, 42, 4, 47]]
2.60s;521;[[6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32], [11, 2, 29, 21, 16, 50, 34, 30, 9, 38], [12, 37, 44, 15, 45, 33, 39, 10, 49, 5, 46], [18, 13, 41, 19, 40, 42, 17, 4, 47]]
4.00s;521;[[5, 49, 10, 39, 33, 45, 15, 44, 37, 17, 12], [6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32, 46], [11, 16, 2, 29, 21, 50, 34, 30, 9, 38], [18, 13, 41, 19, 40, 42, 4, 47]]
3.43s;521;[[5, 49, 10, 39, 33, 45, 15, 44, 37, 17, 12], [6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32, 46], [11, 16, 2, 29, 21, 50, 34, 30, 9, 38], [18, 13, 41, 40, 19, 42, 4, 47]]
2.74s;521;[[6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32], [11, 16, 2, 29, 21, 50, 34, 30, 9, 38], [12, 37, 44, 15, 45, 33, 39, 10, 49, 5, 46], [18, 13, 41, 40, 19, 42, 17, 4, 47]]
2.98s;521;[[6, 14, 25, 24, 43, 7, 23, 48, 27], [8, 26, 31, 28, 3, 36, 35, 20, 22, 1, 32], [11, 2, 29, 21, 16, 50, 34, 30, 9, 38], [12, 37, 44, 15, 45, 33, 39, 10, 49, 5, 46], [18, 13, 41, 40, 19, 42, 17, 4, 47]]
