elapsed;fitness;solution
49.31s;1068;[[12, 80, 150, 68, 121, 29, 24, 134, 149, 26], [13, 95, 92, 37, 100, 91, 16, 61, 5, 60, 118, 147], [27, 127, 88, 148, 107, 19, 123, 48, 82, 7, 106, 52, 146], [28, 76, 116, 77, 3, 129, 79, 81, 33, 102, 50, 111], [31, 10, 108, 126, 63, 90, 32, 131, 66, 128, 30, 70, 101, 69], [51, 9, 120, 78, 34, 135, 35, 136, 65, 71, 103, 20, 122, 1, 132], [53, 105, 40, 21, 73, 72, 74, 75, 133, 22, 41, 145], [58, 2, 115, 57, 15, 43, 38, 140, 14, 142, 144, 87, 137], [62, 11, 64, 49, 143, 36, 47, 124, 46, 8, 114, 18, 89], [83, 125, 45, 84, 17, 113, 86, 141, 44, 119, 42, 97, 117], [94, 59, 98, 85, 93, 99, 104, 96, 6, 112], [110, 4, 139, 39, 56, 23, 67, 25, 55, 130, 54, 109, 138]]
93.29s;1056;[[6, 5, 61, 16, 86, 140, 38, 119, 44, 141, 91, 100, 37], [13, 117, 95, 97, 87, 42, 142, 14, 43, 15, 57, 144, 137], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 62], [26, 149, 110, 4, 25, 139, 39, 67, 23, 56, 105], [27, 69, 101, 70, 30, 20, 128, 131, 32, 90, 63, 126, 108, 10, 31], [28, 138, 12, 150, 80, 68, 121, 29, 24, 134, 55, 130, 54, 109], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58, 53], [50, 102, 33, 9, 120, 81, 79, 77, 76, 111], [89, 60, 83, 125, 45, 17, 113, 84, 118, 147], [96, 104, 99, 59, 93, 85, 98, 92, 94, 112], [116, 3, 129, 78, 34, 135, 35, 136, 65, 71, 66, 103, 51, 122, 1, 132], [127, 88, 148, 107, 19, 123, 48, 82, 7, 106, 52, 146]]
252.47s;1045;[[1, 51, 103, 66, 65, 136, 35, 135, 71, 9, 50, 111, 28], [6, 96, 104, 99, 93, 59, 94, 112], [7, 19, 107, 11, 64, 49, 143, 36, 47, 124, 46, 8, 114, 18], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 37, 92, 95, 117], [26, 54, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110], [27, 69, 122, 30, 20, 128, 131, 32, 90, 63, 126, 108, 10, 70, 101, 132], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [53, 105, 149, 109, 134, 24, 29, 121, 68, 150, 80, 12, 138], [76, 116, 77, 3, 79, 129, 78, 34, 120, 81, 33, 102], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [97, 98, 85, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137], [127, 31, 88, 148, 62, 123, 48, 82, 106, 52, 146]]
261.14s;1050;[[1, 122, 20, 128, 66, 65, 136, 35, 135, 34, 78, 129, 79, 76, 28], [2, 115, 145, 41, 22, 133, 75, 74, 73, 21, 110, 4, 149, 26, 105], [6, 96, 61, 16, 141, 44, 119, 14, 142, 42, 87, 58, 53], [13, 117, 97, 92, 37, 98, 100, 91, 85, 93, 59, 95], [18, 114, 8, 46, 124, 47, 48, 82], [27, 69, 101, 70, 30, 131, 32, 90, 63, 126, 108, 10, 31, 127], [40, 72, 56, 23, 67, 39, 139, 25, 55, 130, 54, 109], [52, 106, 7, 123, 19, 36, 143, 49, 64, 11, 107, 62, 148, 88, 146], [89, 83, 125, 45, 17, 113, 86, 140, 38, 43, 15, 57, 144, 137], [111, 50, 102, 33, 81, 120, 9, 71, 103, 51, 132], [112, 94, 104, 99, 5, 84, 118, 60, 147], [116, 77, 3, 121, 29, 24, 134, 80, 150, 68, 12, 138]]
302.56s;1049;[[1, 51, 103, 71, 9, 120, 81, 33, 102, 50, 111], [2, 115, 145, 41, 22, 133, 75, 23, 56, 74, 72, 73, 21, 40], [6, 5, 84, 61, 16, 85, 93, 59, 104, 99, 96], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 62, 148, 88], [26, 149, 54, 130, 55, 25, 67, 39, 139, 4, 110, 105], [27, 122, 20, 128, 66, 65, 136, 35, 135, 34, 78, 129, 79, 76, 28], [52, 106, 7, 107, 19, 123, 48, 82, 60, 118, 89], [53, 58, 137, 144, 57, 15, 43, 38, 140, 44, 119, 14, 142, 42, 87, 117], [83, 125, 45, 17, 113, 86, 141, 91, 100, 98, 37, 92], [112, 13, 97, 95, 94, 147], [116, 77, 3, 121, 29, 24, 134, 80, 150, 68, 109, 12, 138], [132, 69, 101, 70, 30, 131, 32, 90, 63, 126, 108, 10, 31, 127, 146]]
108.14s;1052;[[6, 96, 99, 104, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137, 40, 105], [12, 68, 150, 80, 134, 24, 29, 121, 3, 77, 116, 76, 28], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 98, 37, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 62, 88, 127], [26, 149, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [27, 69, 101, 70, 30, 131, 32, 90, 108, 10, 31], [51, 103, 9, 120, 81, 33, 102, 50, 111], [53, 95, 92, 85, 93, 59, 94, 112], [79, 129, 78, 34, 135, 35, 136, 65, 71, 66, 128, 20, 122, 1, 132], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [110, 4, 56, 23, 67, 39, 139, 25, 55, 130, 54, 109, 138], [146, 52, 106, 7, 82, 48, 123, 19, 107, 11, 148]]
244.90s;1049;[[1, 51, 9, 120, 135, 35, 136, 65, 71, 103, 66, 20, 122], [6, 96, 104, 61, 16, 113, 86, 140, 38, 43, 15, 57, 144, 137], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 37, 98, 92, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 10, 31], [26, 149, 55, 25, 139, 39, 67, 23, 56, 4, 110, 105], [27, 69, 101, 70, 108, 126, 63, 90, 32, 131, 128, 30, 132], [28, 138, 12, 150, 80, 68, 121, 29, 24, 134, 130, 54, 109], [53, 40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [76, 116, 77, 3, 79, 129, 78, 34, 81, 33, 102, 50, 111], [89, 118, 60, 83, 125, 45, 17, 84, 5, 147], [99, 93, 85, 59, 95, 94, 112], [127, 88, 148, 62, 107, 19, 123, 48, 82, 7, 106, 52, 146]]
186.27s;1048;[[6, 96, 104, 99, 93, 85, 59, 95, 94, 112], [13, 87, 42, 142, 14, 43, 15, 57, 144, 137], [26, 149, 109, 134, 24, 29, 121, 68, 150, 80, 12, 138], [27, 127, 10, 108, 90, 32, 131, 128, 66, 20, 30, 70, 101, 69], [28, 76, 116, 77, 3, 33, 81, 120, 9, 102, 50], [31, 126, 63, 64, 49, 143, 36, 47, 124, 46, 8, 114, 18, 89], [53, 40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [54, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110, 105], [88, 148, 62, 11, 107, 19, 123, 48, 82, 7, 106, 52, 146], [92, 98, 91, 16, 86, 140, 38, 119, 44, 141, 100, 37, 97, 117], [111, 79, 129, 78, 34, 135, 35, 136, 65, 71, 103, 51, 122, 1, 132], [118, 60, 83, 125, 45, 17, 113, 61, 84, 5, 147]]
220.89s;1045;[[2, 115, 145, 41, 22, 133, 75, 74, 72, 73, 21, 40, 105, 53], [13, 97, 37, 100, 91, 141, 44, 119, 14, 142, 42, 87, 58], [18, 114, 8, 46, 36, 143, 49, 64, 11, 62, 148, 88, 127, 27], [26, 149, 134, 24, 29, 121, 68, 80, 150, 12, 138], [28, 79, 129, 78, 34, 135, 35, 136, 65, 71, 66, 103, 51, 1, 69], [31, 10, 108, 126, 63, 90, 32, 131, 128, 20, 30, 122, 70, 101, 132], [76, 116, 77, 3, 81, 120, 9, 33, 102, 50, 111], [82, 124, 47, 107, 19, 123, 48, 7, 106, 52, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [94, 95, 59, 93, 104, 99, 96, 6, 112], [109, 54, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110], [117, 92, 98, 85, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137]]
345.14s;1052;[[6, 96, 99, 104, 93, 61, 16, 85, 59, 95], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 37, 98, 92, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 90, 30, 70, 101], [26, 149, 109, 134, 24, 29, 121, 150, 80, 68, 116, 12, 138], [27, 127, 31, 10, 108, 32, 131, 128, 20, 122, 1, 69, 132], [28, 76, 77, 3, 129, 79, 120, 81, 33, 102], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58, 53], [52, 106, 7, 82, 48, 123, 19, 107, 11, 62, 148, 88, 146], [54, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110, 105], [78, 34, 135, 35, 136, 65, 71, 66, 103, 9, 51, 50, 111], [89, 83, 125, 45, 17, 113, 86, 140, 38, 43, 15, 57, 144, 137], [112, 94, 5, 84, 118, 60, 147]]
