A-n32-k5.out;2.06s;784.00;784;784;0.0%;0.0%;0.0%
A-n33-k5.out;2.45s;661.00;661;661;0.0%;0.0%;0.0%
A-n33-k6.out;2.76s;742.00;742;742;0.0%;0.0%;0.0%
A-n34-k5.out;2.56s;778.00;778;778;0.0%;0.0%;0.0%
A-n36-k5.out;2.61s;802.80;799;807;0.475594%;0.0%;1.00125%
A-n37-k5.out;3.10s;669.00;669;669;0.0%;0.0%;0.0%
A-n37-k6.out;3.23s;949.00;949;949;0.0%;0.0%;0.0%
A-n38-k5.out;3.37s;730.00;730;730;0.0%;0.0%;0.0%
A-n39-k5.out;3.25s;822.80;822;825;0.0973236%;0.0%;0.364964%
A-n39-k6.out;3.47s;832.50;831;833;0.180505%;0.0%;0.240674%
A-n44-k6.out;4.10s;937.40;937;940;0.0426894%;0.0%;0.320171%
A-n45-k6.out;4.92s;952.30;946;953;0.879237%;0.211864%;0.95339%
A-n45-k7.out;4.09s;1150.00;1146;1157;0.34904%;0.0%;0.95986%
A-n46-k7.out;5.05s;914.00;914;914;0.0%;0.0%;0.0%
A-n48-k7.out;4.92s;1073.00;1073;1073;0.0%;0.0%;0.0%
A-n53-k7.out;6.68s;1017.00;1017;1017;0.693069%;0.693069%;0.693069%
A-n54-k7.out;6.32s;1170.30;1167;1175;0.282776%;0.0%;0.685518%
A-n55-k9.out;8.43s;1073.70;1073;1074;0.0652377%;0.0%;0.0931966%
A-n60-k9.out;8.57s;1359.70;1359;1363;0.420975%;0.369276%;0.664697%
A-n61-k9.out;9.91s;1037.60;1035;1042;0.348162%;0.0967118%;0.773694%
A-n62-k8.out;9.13s;1310.10;1304;1316;1.71584%;1.24224%;2.17391%
A-n63-k10.out;10.35s;1323.70;1318;1331;0.738204%;0.304414%;1.29376%
A-n63-k9.out;8.36s;1638.30;1628;1645;1.37995%;0.742574%;1.79455%
A-n64-k9.out;9.12s;1423.10;1416;1431;1.57744%;1.07066%;2.14133%
A-n65-k9.out;11.02s;1180.20;1177;1184;0.528109%;0.255537%;0.851789%
A-n69-k9.out;12.31s;1170.10;1165;1175;0.957722%;0.517688%;1.3805%
A-n80-k10.out;13.35s;1808.00;1795;1823;2.55247%;1.81509%;3.40329%
B-n31-k5.out;1.94s;672.00;672;672;0.0%;0.0%;0.0%
B-n34-k5.out;2.24s;788.00;788;788;0.0%;0.0%;0.0%
B-n35-k5.out;2.53s;955.00;955;955;0.0%;0.0%;0.0%
B-n38-k6.out;3.10s;805.00;805;805;0.0%;0.0%;0.0%
B-n39-k5.out;3.15s;549.10;549;550;0.0182149%;0.0%;0.182149%
B-n41-k6.out;3.98s;830.90;830;832;0.229192%;0.120627%;0.361882%
B-n43-k6.out;4.09s;742.00;742;742;0.0%;0.0%;0.0%
B-n44-k7.out;4.20s;909.00;909;909;0.0%;0.0%;0.0%
B-n45-k5.out;4.81s;751.00;751;751;0.0%;0.0%;0.0%
B-n45-k6.out;4.65s;680.30;678;683;0.339233%;0.0%;0.737463%
B-n50-k7.out;5.93s;741.00;741;741;0.0%;0.0%;0.0%
B-n51-k7.out;6.33s;1016.00;1016;1016;-1.55039%;-1.55039%;-1.55039%
B-n52-k7.out;6.33s;747.00;747;747;0.0%;0.0%;0.0%
B-n56-k7.out;7.37s;709.80;708;712;0.39604%;0.141443%;0.707214%
B-n57-k9.out;6.87s;1607.20;1599;1615;0.57572%;0.0625782%;1.06383%
B-n63-k10.out;9.40s;1512.00;1504;1535;1.06952%;0.534759%;2.60695%
B-n64-k9.out;10.77s;870.30;865;885;1.08014%;0.464576%;2.78746%
B-n66-k9.out;9.98s;1323.70;1321;1326;0.585106%;0.379939%;0.759878%
B-n67-k10.out;12.01s;1042.00;1037;1046;0.968992%;0.484496%;1.35659%
B-n68-k9.out;10.04s;1289.30;1287;1291;1.36006%;1.17925%;1.49371%
B-n78-k10.out;15.61s;1236.10;1229;1245;1.23669%;0.655201%;1.9656%
E-n101-k14.out;29.32s;1094.20;1084;1104;2.5492%;1.59325%;3.46767%
E-n101-k8.out;28.45s;825.20;823;827;1.25153%;0.981595%;1.47239%
E-n22-k4.out;1.17s;375.00;375;375;0.0%;0.0%;0.0%
E-n23-k3.out;1.14s;569.00;569;569;0.0%;0.0%;0.0%
E-n33-k4.out;1.80s;835.00;835;835;0.0%;0.0%;0.0%
E-n51-k5.out;5.92s;521.00;521;521;0.0%;0.0%;0.0%
E-n76-k10.out;16.42s;844.20;838;853;1.71084%;0.963855%;2.77108%
E-n76-k14.out;17.39s;1037.40;1029;1046;1.60627%;0.783546%;2.44858%
E-n76-k7.out;14.03s;689.00;684;691;1.02639%;0.293255%;1.31965%
E-n76-k8.out;15.26s;741.90;738;746;0.938776%;0.408163%;1.4966%
M-n101-k10.out;25.02s;820.10;820;821;0.0121951%;0.0%;0.121951%
M-n121-k7.out;27.64s;1138.60;1082;1170;10.1161%;4.64217%;13.1528%
M-n151-k12.out;62.79s;1048.90;1038;1055;3.3399%;2.26601%;3.94089%
M-n200-k16.out;113.05s;1339.00;1329;1352;5.10204%;4.31711%;6.12245%
M-n200-k17.out;113.65s;1343.40;1333;1358;5.36471%;4.54902%;6.5098%
P-n101-k4.out;23.54s;688.00;683;692;1.0279%;0.293686%;1.61527%
P-n16-k8.out;0.78s;450.00;450;450;0.0%;0.0%;0.0%
P-n19-k2.out;0.59s;212.00;212;212;0.0%;0.0%;0.0%
P-n20-k2.out;0.62s;216.00;216;216;0.0%;0.0%;0.0%
P-n21-k2.out;0.63s;211.00;211;211;0.0%;0.0%;0.0%
P-n22-k2.out;0.73s;216.00;216;216;0.0%;0.0%;0.0%
P-n22-k8.out;1.50s;590.00;590;590;-2.15589%;-2.15589%;-2.15589%
P-n23-k8.out;1.60s;529.00;529;529;0.0%;0.0%;0.0%
