elapsed;fitness;solution
12.19s;1073;[[1, 45, 6, 8], [4, 7, 42, 31, 20, 46, 26], [12, 10, 5, 53, 40, 16, 38, 32], [14, 17, 2, 51, 15, 11, 36], [18, 48, 50, 44, 24, 52, 23], [21, 33, 34, 3, 37], [25, 41, 29], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
11.47s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [11, 15, 51, 2, 33, 36], [12, 10, 5, 53, 40, 16, 38, 32], [14, 17, 34, 3, 37], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
11.42s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [11, 15, 51, 2, 33, 36], [12, 10, 5, 53, 40, 16, 38, 32], [14, 34, 17, 3, 37], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
11.52s;1073;[[1, 45, 6, 8], [4, 7, 42, 31, 20, 46, 26], [11, 15, 51, 2, 17, 14], [12, 10, 5, 53, 40, 16, 38, 32], [18, 48, 50, 44, 24, 52, 23], [21, 33, 34, 3, 37, 36], [25, 41, 29], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
11.47s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [12, 10, 5, 53, 40, 16, 38, 32], [14, 17, 34, 3, 37], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [33, 2, 51, 15, 11, 36], [43, 35, 9, 49, 39, 47]]
11.36s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [11, 15, 51, 2, 33], [12, 10, 5, 53, 40, 16, 38, 32], [14, 34, 17, 3, 37, 36], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
11.36s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [12, 10, 5, 53, 40, 16, 38, 32], [15, 11, 51, 2, 33], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [36, 34, 17, 3, 14, 37], [43, 35, 9, 49, 39, 47]]
11.34s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [11, 15, 51, 2, 33], [12, 10, 5, 53, 40, 16, 38, 32], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [36, 34, 17, 3, 14, 37], [43, 35, 9, 49, 39, 47]]
11.43s;1073;[[1, 45, 6, 8], [4, 7, 42, 31, 20, 46, 26], [11, 15, 51, 2, 17, 14], [12, 10, 5, 53, 40, 16, 38, 32], [18, 48, 50, 44, 24, 52, 23], [21, 33, 34, 3, 37, 36], [25, 41, 29], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
11.40s;1074;[[4, 7, 42, 31, 20, 46, 26], [6, 45, 1, 29], [11, 15, 51, 2, 33, 36], [12, 10, 5, 53, 40, 16, 38, 32], [14, 17, 34, 3, 37], [18, 48, 50, 44, 24, 52, 23], [21, 8, 41, 25], [28, 54, 13, 27, 19, 22, 30], [43, 35, 9, 49, 39, 47]]
