elapsed;fitness;solution
5.25s;909;[[5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 29, 16], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40], [32, 4, 8, 42, 30, 22, 38]]
4.59s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29], [10, 23, 11, 32, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.56s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 16, 29, 18], [10, 23, 11, 32], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
4.54s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.56s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 16, 29, 18], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.51s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29, 18], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.54s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 29, 16], [10, 23, 11, 32, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.52s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.56s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.55s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 29, 16], [10, 23, 11, 32, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
4.52s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19, 18], [7, 16, 29], [10, 23, 11, 32], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
4.55s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 29, 16], [10, 23, 11, 32, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.48s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19, 18], [7, 29, 16], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.50s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29], [10, 23, 11, 32, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.52s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
4.52s;909;[[4, 8, 42, 30, 22, 38, 32], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.52s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
4.47s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19, 18], [7, 16, 29], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.48s;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
4.49s;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29], [10, 23, 11, 32, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]

avg_time;avg_ans;best;worst
4.56s;909.00;909;909
