elapsed;fitness;solution
34.80s;1042;[[3, 50, 18, 24, 49, 16], [4, 52, 34, 46], [6, 74, 21, 48, 30], [7, 53, 19, 54, 13, 27], [8, 35, 14, 11], [17, 40, 12, 26], [25, 55, 31, 10, 58], [28, 22, 64, 42, 62], [38, 65, 66, 59], [44, 32, 9, 39, 72], [45, 29, 5, 37, 36, 47], [51, 33, 2, 68, 75], [57, 15, 20, 70, 60, 71, 69, 61], [63, 23, 56, 41, 43, 1, 73], [67]]
33.93s;1034;[[2, 28, 62, 6], [4, 52, 34, 67], [7, 53, 11, 38], [12, 25, 55, 18, 50, 32], [13, 54, 59, 66, 65], [17, 40, 9, 39], [22, 64, 42, 43, 33], [26, 72, 31, 10, 58], [27, 57, 15, 5, 29, 45], [30, 48, 47, 21, 74], [35, 14, 19, 8, 46], [37, 20, 70, 60, 71, 36, 69, 61], [44, 3, 24, 49, 16, 51], [63, 23, 56, 41, 1, 73, 68], [75]]
34.49s;1034;[[4, 30, 2, 6], [7, 11, 66, 65], [8, 19, 54, 13, 27, 52], [12, 25, 55, 18, 50, 32], [17, 40, 9, 39, 72], [22, 64, 42, 41, 43, 73, 68], [26, 46, 34, 67], [33, 1, 56, 23, 63], [35, 14, 59, 53], [37, 70, 60, 71, 69, 36, 47, 48], [38, 10, 31, 58], [44, 3, 24, 49, 16, 51], [45, 29, 5, 20, 15, 57], [62, 28, 61, 21, 74], [75]]
34.07s;1032;[[3, 49, 24, 18, 55, 25, 50], [4, 45, 48, 30], [6, 33, 62, 2, 68], [7, 19, 54, 13, 27, 52], [12, 39, 9, 40], [17, 32, 44, 16, 51], [22, 42, 64, 61, 28], [26, 72, 31, 10, 58], [29, 37, 20, 70, 60, 71, 69, 36], [34, 46, 8, 67], [35, 14, 11, 53], [38, 65, 66, 59], [57, 15, 5, 47, 21, 74], [63, 23, 56, 41, 43, 1, 73], [75]]
33.94s;1046;[[3, 44, 18, 24, 49, 16], [4, 75], [5, 47, 48, 30], [6, 43, 41, 56, 23, 63], [7, 53, 14, 19, 35], [8, 54, 13, 57, 15, 29, 45], [11, 66, 59], [12, 39, 9, 40], [17, 51, 33, 2, 68], [26, 58, 10, 65, 38], [27, 37, 20, 70, 60, 71, 69, 36], [28, 61, 21, 74], [32, 50, 25, 55, 31, 72], [34, 52, 46, 67], [62, 22, 64, 42, 1, 73]]
34.00s;1029;[[4, 75], [6, 33, 2, 68], [7, 35, 19, 54, 13, 52], [11, 59, 14], [12, 25, 55, 18, 50, 32], [17, 40, 9, 39], [26, 58, 10, 31, 72], [27, 57, 15, 5, 29, 45], [28, 22, 64, 42, 62], [30, 48, 47, 21, 74], [34, 46, 8, 67], [37, 20, 70, 60, 71, 36, 69, 61], [38, 65, 66, 53], [44, 3, 24, 49, 16, 51], [63, 23, 56, 41, 43, 1, 73]]
34.22s;1037;[[2, 30, 45, 4], [3, 44, 24, 49, 16, 51], [6, 33, 73, 1, 43, 63], [7, 11, 53, 35, 8], [12, 25, 55, 18, 50, 32], [14, 19, 54, 13, 27], [17, 40, 9, 39], [22, 64, 42, 41, 56, 23], [26, 58, 10, 31, 72], [29, 5, 36, 47, 48, 68], [38, 65, 66, 59], [46, 52, 34, 67], [57, 15, 37, 20, 70, 60, 71, 69], [62, 28, 61, 21, 74], [75]]
34.16s;1038;[[2, 28, 61, 22, 62], [4, 52, 34, 67], [6, 33, 43, 1, 73, 68], [7, 35, 19, 54, 8, 46], [11, 59, 14], [12, 39, 9, 40], [17, 3, 44, 50, 32], [20, 70, 60, 71, 69, 21, 74], [25, 55, 18, 24, 49, 16, 51], [26, 58, 10, 31, 72], [27, 13, 57, 15, 37, 36, 47], [30, 48, 5, 29, 45], [38, 65, 66, 53], [63, 23, 56, 41, 42, 64], [75]]
33.89s;1039;[[2, 64, 42, 41, 43], [4, 75], [6, 33, 73, 1, 22, 62], [7, 53, 14, 19, 8], [9, 32, 44, 3, 51], [11, 66, 59], [12, 40, 17], [16, 49, 24, 56, 23, 63], [26, 38, 65, 10, 58], [30, 48, 5, 29, 45], [35, 54, 13, 57, 15, 27, 52], [37, 20, 70, 60, 71, 36, 47], [46, 34, 67], [50, 18, 55, 25, 31, 39, 72], [68, 28, 61, 69, 21, 74]]
34.16s;1035;[[3, 44, 32, 40], [4, 52, 34, 67], [6, 33, 62, 2, 68], [7, 53, 14, 19, 54], [11, 66, 59], [12, 58, 10, 65, 38], [17, 26, 35, 8, 46], [27, 13, 57, 15, 5, 45], [28, 61, 22, 64, 42], [29, 37, 20, 70, 60, 71, 69, 36], [30, 48, 47, 21, 74], [39, 9, 25, 55, 31, 72], [50, 18, 24, 49, 16, 51], [63, 23, 56, 41, 43, 1, 73], [75]]
