elapsed;fitness;solution
125.10s;1045;[[1, 122, 103, 71, 65, 136, 35, 135, 34, 78, 129, 79, 3, 77, 76], [2, 115, 15, 43, 38, 140, 86, 16, 61, 85, 93, 96], [6, 99, 104, 59, 95, 94, 112], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 98, 37, 92, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 90, 127, 27], [26, 149, 55, 25, 139, 39, 67, 23, 56, 4, 110, 105], [28, 111, 50, 102, 33, 81, 120, 9, 51], [31, 10, 108, 32, 131, 128, 66, 20, 30, 70, 101, 69, 132], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 57, 144, 137, 58, 53], [88, 148, 62, 11, 107, 19, 123, 48, 82, 7, 106, 52, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [116, 68, 80, 150, 121, 29, 24, 134, 130, 54, 109, 12, 138]]
125.45s;1053;[[12, 150, 80, 68, 121, 29, 24, 134, 130, 54, 109, 138, 28], [13, 87, 97, 95, 94, 112], [18, 82, 48, 19, 107, 11, 123, 7, 106, 52, 146], [21, 56, 23, 67, 39, 139, 25, 55, 4, 110, 149, 26], [27, 50, 102, 33, 120, 81, 3, 77, 116, 111], [31, 10, 108, 90, 32, 131, 128, 66, 20, 30, 122, 70, 101], [53, 105, 40, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [59, 92, 37, 98, 100, 85, 91, 16, 61, 93, 104, 99, 96], [76, 79, 129, 78, 34, 135, 35, 136, 65, 71, 103, 9, 51, 1, 69, 132], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 6, 147], [114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 62, 148, 88, 127], [117, 42, 142, 14, 119, 44, 141, 86, 140, 38, 43, 15, 57, 144, 137]]
124.72s;1050;[[6, 96, 99, 104, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137, 40, 53], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 98, 37, 97, 117], [18, 114, 8, 46, 36, 143, 49, 64, 63, 126, 90, 32, 131, 30, 70, 101, 69], [21, 73, 72, 56, 23, 75, 74, 133, 22, 41, 145, 115, 2, 58], [26, 149, 54, 130, 55, 25, 67, 39, 139, 4, 110, 105], [27, 127, 31, 108, 10, 62, 148, 88], [28, 76, 77, 121, 29, 24, 134, 80, 150, 68, 109, 12, 138], [82, 48, 124, 47, 19, 107, 11, 123, 7, 106, 52, 146], [89, 83, 125, 45, 17, 113, 84, 5, 118, 60, 147], [93, 85, 59, 92, 95, 94, 112], [111, 50, 102, 33, 81, 120, 9, 103, 51, 1, 132], [116, 3, 79, 129, 78, 34, 135, 35, 136, 65, 71, 66, 128, 20, 122]]
125.35s;1043;[[1, 51, 103, 66, 71, 65, 136, 35, 135, 120, 81, 33], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 37, 98, 92, 97, 117], [18, 114, 8, 46, 36, 143, 49, 64, 11, 62, 148, 88, 31, 127], [26, 149, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110], [27, 122, 30, 20, 128, 131, 32, 90, 63, 126, 108, 10, 70, 101, 69, 132], [28, 76, 116, 77, 3, 79, 129, 78, 34, 9, 102, 50, 111], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58, 53], [52, 106, 82, 48, 124, 47, 19, 107, 123, 7, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [93, 85, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137], [94, 95, 59, 104, 99, 96, 6, 112], [105, 109, 54, 134, 24, 29, 121, 68, 80, 150, 12, 138]]
124.11s;1044;[[6, 96, 99, 104, 59, 95, 94, 112], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 98, 37, 92, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 107, 19, 52, 146], [27, 127, 88, 148, 62, 123, 48, 82, 7, 106], [28, 111, 69, 101, 70, 30, 131, 32, 90, 63, 126, 108, 10, 31], [40, 73, 72, 75, 56, 23, 67, 39, 139, 25, 55, 4, 110], [50, 102, 33, 81, 120, 34, 78, 129, 79, 3, 77, 76], [51, 9, 103, 71, 135, 35, 136, 65, 66, 128, 20, 122, 1, 132], [53, 58, 2, 115, 145, 41, 22, 133, 74, 21, 149, 26, 105], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [93, 85, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137], [116, 68, 150, 80, 121, 29, 24, 134, 130, 54, 109, 12, 138]]
124.29s;1038;[[1, 51, 9, 120, 135, 35, 136, 65, 71, 103, 66, 20, 122, 132], [6, 96, 99, 104, 59, 92, 97, 95, 94, 112], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 37, 98, 117], [18, 114, 8, 46, 36, 143, 49, 64, 107, 11, 62, 148, 88, 127], [26, 149, 110, 4, 55, 25, 139, 39, 67, 23, 56, 105], [27, 69, 101, 70, 30, 128, 131, 32, 90, 63, 126, 108, 10, 31], [28, 138, 12, 150, 80, 68, 121, 29, 24, 134, 130, 54, 109], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58, 53], [50, 102, 33, 81, 34, 78, 129, 79, 3, 77, 116, 76, 111], [82, 48, 124, 47, 19, 123, 7, 106, 52, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [93, 85, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137]]
124.30s;1040;[[1, 51, 9, 120, 135, 35, 136, 65, 71, 66, 103, 122, 27], [13, 87, 42, 142, 14, 119, 44, 141, 91, 100, 37, 97, 117], [18, 114, 8, 46, 36, 143, 49, 64, 107, 11, 62, 148, 88, 127], [26, 149, 110, 4, 55, 25, 139, 39, 67, 23, 56, 75, 40], [28, 12, 80, 150, 68, 121, 29, 24, 134, 130, 54, 109, 138], [31, 10, 108, 126, 63, 90, 32, 131, 128, 20, 30, 70, 101, 69, 132], [53, 105, 21, 73, 72, 74, 133, 22, 41, 145, 115, 2, 58], [76, 116, 77, 3, 79, 129, 78, 34, 81, 33, 102, 50, 111], [82, 48, 124, 47, 19, 123, 7, 106, 52, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [94, 59, 93, 85, 98, 92, 95], [112, 6, 96, 104, 99, 61, 16, 86, 140, 38, 43, 15, 57, 144, 137]]
124.54s;1040;[[1, 51, 9, 120, 135, 35, 136, 65, 71, 66, 103, 122, 27], [12, 150, 80, 68, 121, 29, 24, 134, 54, 109, 138, 28], [13, 87, 42, 142, 14, 119, 44, 140, 38, 43, 15, 57, 144, 137, 53], [18, 114, 8, 46, 36, 143, 49, 64, 11, 62, 148, 88, 127, 146], [26, 149, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110], [31, 10, 108, 126, 63, 90, 32, 131, 128, 20, 30, 70, 101, 69, 132], [52, 106, 7, 123, 19, 107, 47, 124, 48, 82], [58, 2, 115, 145, 41, 22, 133, 75, 74, 72, 73, 21, 40, 105], [76, 116, 77, 3, 79, 129, 78, 34, 81, 33, 102, 50, 111], [89, 83, 125, 45, 17, 113, 86, 16, 141, 91, 98, 92], [94, 95, 59, 93, 104, 99, 96, 6, 112], [117, 97, 37, 100, 85, 61, 84, 5, 60, 118, 147]]
123.89s;1052;[[1, 51, 9, 135, 35, 136, 65, 71, 103, 66, 20, 122, 69, 132], [13, 87, 42, 142, 14, 119, 44, 141, 16, 61, 96], [18, 114, 8, 125, 45, 46, 124, 47, 48, 82], [26, 149, 54, 130, 55, 25, 67, 39, 139, 4, 110, 105], [27, 101, 70, 30, 128, 131, 32, 90, 63, 126, 108, 10, 31, 127], [28, 76, 116, 77, 79, 129, 78, 34, 120, 81, 33, 102], [40, 21, 73, 72, 74, 22, 133, 75, 56, 23, 41, 145, 115, 2, 137], [53, 58, 144, 57, 15, 43, 38, 140, 86, 113, 17, 84, 83, 60, 147], [88, 148, 62, 11, 107, 64, 49, 143, 36, 19, 123, 7, 106, 52, 146], [89, 118, 5, 93, 85, 91, 100, 98, 37, 92, 97, 117], [94, 95, 59, 104, 99, 6, 112], [111, 50, 3, 121, 29, 24, 134, 150, 80, 68, 109, 12, 138]]
124.33s;1046;[[1, 51, 103, 9, 120, 81, 33, 102, 50, 111], [13, 87, 42, 142, 14, 119, 44, 141, 16, 91, 100, 92, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 62, 88], [27, 127, 148, 107, 19, 123, 48, 82, 7, 106, 52, 146], [28, 138, 12, 80, 150, 68, 121, 29, 24, 134, 109, 26, 105], [31, 10, 108, 126, 63, 90, 32, 131, 128, 20, 30, 70, 101, 69, 132], [40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 57, 144, 58, 53], [76, 116, 77, 3, 79, 129, 78, 34, 135, 35, 136, 65, 71, 66, 122], [89, 60, 83, 125, 45, 17, 113, 86, 140, 38, 43, 15, 115, 2, 137], [94, 59, 93, 99, 104, 96, 6, 112], [95, 37, 98, 85, 61, 84, 5, 118, 147], [110, 4, 139, 39, 56, 23, 67, 25, 55, 130, 54, 149]]
124.36s;1046;[[10, 108, 90, 32, 131, 128, 66, 20, 30, 70, 101, 69, 27], [13, 87, 42, 142, 14, 38, 140, 43, 15, 57, 144, 137], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 31, 127, 146], [26, 149, 109, 134, 24, 29, 121, 68, 80, 150, 12, 138, 28], [50, 102, 51, 9, 120, 81, 33, 3, 77, 116, 76], [52, 106, 7, 82, 48, 123, 19, 107, 11, 62, 148, 88], [53, 40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [54, 130, 55, 25, 139, 39, 67, 23, 56, 4, 110, 105], [61, 16, 86, 141, 44, 119, 91, 100, 98, 37, 92, 97, 117], [89, 83, 125, 45, 17, 113, 84, 5, 118, 60, 147], [94, 95, 59, 85, 93, 104, 99, 96, 6, 112], [111, 79, 129, 78, 34, 135, 35, 136, 65, 71, 103, 122, 1, 132]]
124.80s;1053;[[1, 51, 9, 120, 81, 33, 102, 50, 111], [13, 117, 97, 92, 37, 61, 113, 86, 140, 38, 43, 15, 57, 115, 2, 58], [18, 114, 8, 46, 36, 143, 49, 47, 124, 48, 82], [26, 149, 54, 130, 55, 25, 67, 39, 139, 4, 110, 53], [27, 69, 101, 70, 30, 20, 128, 131, 32, 90, 108, 10, 31], [28, 76, 116, 68, 121, 29, 24, 134, 150, 80, 109, 12, 138], [40, 73, 74, 145, 41, 22, 133, 75, 23, 56, 72, 21, 105], [52, 106, 7, 123, 19, 107, 11, 64, 63, 126, 62, 148, 88, 127, 146], [77, 3, 79, 129, 78, 34, 135, 35, 136, 65, 71, 66, 103, 122, 132], [89, 118, 60, 83, 125, 45, 17, 84, 5, 147], [94, 95, 59, 85, 93, 104, 99, 96, 6, 112], [98, 100, 91, 16, 141, 44, 119, 14, 142, 42, 144, 87, 137]]
125.43s;1047;[[1, 122, 20, 128, 66, 65, 136, 35, 135, 34, 78, 129, 79, 77, 116], [6, 96, 104, 99, 61, 16, 86, 140, 38, 43, 15, 57, 144, 115, 2, 53], [13, 117, 97, 37, 100, 91, 141, 44, 119, 14, 142, 42, 87, 137], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 62, 148, 88], [26, 149, 54, 130, 55, 25, 67, 39, 139, 4, 110, 105], [27, 69, 101, 70, 30, 131, 32, 90, 63, 126, 108, 10, 31, 127], [28, 76, 3, 121, 29, 24, 134, 150, 80, 68, 109, 12, 138], [40, 21, 73, 72, 74, 56, 23, 75, 133, 22, 41, 145, 58], [59, 93, 85, 98, 92, 95, 94, 112], [82, 48, 123, 19, 107, 7, 106, 52, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 147], [111, 50, 102, 33, 81, 120, 9, 71, 103, 51, 132]]
124.52s;1048;[[1, 51, 103, 9, 120, 81, 33, 102, 50, 111], [13, 97, 42, 142, 14, 38, 140, 43, 15, 57, 144, 87, 58, 53], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 90, 32, 131, 70, 69], [26, 149, 54, 130, 55, 25, 67, 39, 139, 4, 110, 105], [27, 127, 31, 10, 108, 30, 122, 101], [28, 76, 77, 121, 29, 24, 134, 150, 80, 68, 109, 12, 138], [40, 21, 73, 72, 74, 56, 23, 75, 133, 22, 41, 145, 115, 2, 137], [88, 148, 62, 11, 107, 19, 123, 48, 82, 7, 106, 52, 146], [89, 118, 60, 83, 125, 45, 17, 113, 84, 5, 6, 147], [92, 37, 100, 119, 44, 141, 86, 16, 61, 85, 91, 98], [112, 94, 96, 99, 104, 93, 59, 95, 117], [116, 3, 79, 129, 78, 34, 135, 35, 136, 65, 71, 66, 128, 20, 132]]
123.85s;1050;[[1, 122, 20, 66, 65, 136, 35, 135, 71, 103, 9, 51, 50, 111], [13, 97, 92, 59, 95, 94, 112], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 62, 148, 127], [26, 149, 110, 4, 55, 25, 139, 39, 67, 23, 56, 75], [27, 88, 107, 19, 123, 48, 82, 7, 106, 52, 146], [28, 76, 77, 3, 79, 129, 78, 34, 120, 81, 33, 102], [31, 10, 108, 126, 63, 90, 32, 131, 128, 30, 70, 101, 69, 132], [53, 58, 2, 115, 145, 41, 22, 133, 74, 72, 73, 21, 40, 105], [87, 42, 142, 14, 119, 44, 141, 91, 85, 100, 98, 37, 117], [89, 118, 60, 83, 125, 45, 17, 84, 5, 96, 6, 147], [104, 99, 93, 61, 16, 113, 86, 140, 38, 43, 15, 57, 144, 137], [116, 68, 150, 80, 121, 29, 24, 134, 130, 54, 109, 12, 138]]
124.47s;1048;[[1, 122, 103, 66, 71, 65, 136, 35, 135, 34, 78, 129, 79, 3, 77], [13, 144, 87, 97, 95, 94, 112], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 90, 27], [26, 149, 4, 55, 25, 139, 39, 67, 23, 56, 110, 105], [28, 76, 33, 81, 120, 9, 51, 102, 50, 111], [52, 106, 7, 82, 48, 123, 19, 107, 11, 62, 148, 88], [53, 40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [59, 92, 98, 37, 100, 91, 85, 93, 99, 104, 96, 6, 147], [60, 118, 5, 84, 61, 16, 141, 44, 119, 43, 15, 57, 137], [89, 83, 125, 45, 17, 113, 86, 140, 38, 14, 142, 42, 117], [116, 68, 150, 80, 121, 29, 24, 134, 130, 54, 109, 12, 138], [132, 69, 101, 70, 30, 20, 128, 131, 32, 108, 10, 31, 127, 146]]
125.62s;1054;[[1, 122, 20, 128, 66, 71, 65, 136, 35, 135, 34, 78, 129, 79, 3], [2, 115, 57, 15, 43, 142, 14, 38, 140, 86, 16, 61, 104, 99, 96, 6], [13, 97, 100, 91, 141, 44, 119, 42, 144, 87, 137, 105, 53], [18, 82, 48, 124, 47, 19, 123, 7, 106, 52], [26, 149, 110, 4, 139, 39, 67, 25, 55, 130, 54, 109], [27, 69, 101, 70, 30, 131, 32, 90, 63, 126, 108, 10, 31, 127], [28, 76, 116, 77, 68, 121, 29, 24, 134, 80, 150, 12, 138], [40, 21, 73, 72, 74, 56, 23, 75, 133, 22, 41, 145, 58], [83, 114, 8, 46, 36, 143, 49, 64, 107, 11, 62, 148, 88, 146], [89, 118, 60, 125, 45, 17, 113, 84, 5, 147], [111, 50, 102, 33, 81, 120, 9, 103, 51, 132], [112, 94, 92, 37, 98, 85, 93, 59, 95, 117]]
123.76s;1041;[[1, 51, 120, 9, 103, 66, 71, 65, 136, 35, 135, 34, 78, 129], [6, 104, 99, 93, 61, 113, 86, 140, 38, 43, 15, 57, 144, 137], [10, 108, 126, 63, 90, 32, 131, 128, 20, 30, 122, 70, 101, 69, 132], [13, 95, 92, 98, 85, 59, 96, 94, 112], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 11, 62, 31], [26, 149, 134, 24, 29, 121, 68, 150, 80, 12, 138], [27, 127, 88, 148, 107, 19, 123, 48, 82, 7, 106, 52, 146], [28, 76, 116, 77, 3, 79, 81, 33, 102, 50, 111], [53, 110, 4, 56, 23, 67, 39, 139, 25, 55, 130, 54, 109], [58, 2, 115, 145, 41, 22, 133, 75, 74, 72, 73, 21, 40, 105], [87, 42, 142, 14, 119, 44, 141, 16, 91, 100, 37, 97, 117], [89, 118, 60, 83, 125, 45, 17, 84, 5, 147]]
124.57s;1049;[[2, 115, 57, 15, 43, 38, 140, 86, 113, 17, 84, 83, 60, 118, 89], [6, 96, 104, 99, 93, 85, 91, 100, 37, 98, 92, 59, 95, 117], [12, 109, 54, 130, 134, 24, 29, 121, 80, 150, 68, 116, 76], [13, 87, 97, 94, 112], [18, 114, 8, 45, 125, 46, 124, 48, 123, 7, 106, 52, 146], [26, 149, 110, 4, 56, 23, 67, 39, 139, 25, 55, 138], [27, 127, 31, 10, 108, 126, 63, 90, 32, 131, 128, 122, 1, 132], [28, 77, 3, 79, 129, 78, 34, 120, 81, 33, 102, 50], [53, 58, 145, 41, 22, 133, 75, 74, 72, 73, 21, 40, 105], [69, 101, 70, 30, 20, 66, 71, 65, 136, 35, 135, 9, 103, 51, 111], [82, 47, 36, 143, 49, 64, 11, 107, 19, 62, 148, 88], [137, 144, 42, 142, 14, 119, 44, 141, 16, 61, 5, 147]]
125.79s;1048;[[1, 122, 30, 20, 66, 128, 131, 32, 90, 10, 31, 127, 27], [6, 59, 93, 85, 100, 98, 92, 95, 94, 112], [13, 87, 42, 142, 14, 119, 44, 141, 16, 91, 37, 97, 117], [18, 114, 8, 46, 124, 47, 36, 143, 49, 64, 63, 126, 108, 70, 101, 69], [26, 149, 55, 25, 139, 39, 67, 23, 56, 4, 110, 105], [28, 116, 3, 81, 120, 9, 33, 102, 50], [52, 106, 7, 82, 48, 123, 19, 107, 11, 62, 148, 88, 146], [53, 40, 21, 73, 72, 74, 75, 133, 22, 41, 145, 115, 2, 58], [83, 125, 45, 17, 113, 86, 140, 38, 43, 15, 57, 144, 137], [89, 118, 60, 5, 84, 61, 104, 99, 96, 147], [109, 54, 130, 134, 24, 29, 121, 68, 80, 150, 12, 138], [111, 76, 77, 79, 129, 78, 34, 135, 35, 136, 65, 71, 103, 51, 132]]

avg_time;avg_ans;best;worst
124.66s;1046.75;1038;1054
