elapsed;fitness;solution
3.84s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
4.56s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
3.49s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
3.73s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
4.05s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
3.04s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
3.00s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
2.78s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
2.80s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
3.10s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
3.70s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
3.23s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
3.13s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
3.07s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
3.16s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
2.94s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
3.15s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 6, 18, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
2.93s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17], [10, 12, 21], [13, 6, 18, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]
4.36s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 24, 23, 31], [28, 27, 30, 16, 25, 32]]
2.87s;742;[[4, 8, 3, 9, 15, 20, 2, 5], [7, 19, 29, 11, 17, 10], [12, 21], [13, 18, 6, 1, 14], [22, 26, 23, 24, 31], [28, 27, 30, 16, 25, 32]]

avg_time;avg_ans;best;worst
3.35s;742.00;742;742
