elapsed;fitness;solution
1.23s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.82s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.74s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.71s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.71s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.72s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.69s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.72s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.72s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.71s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.70s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.74s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.70s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.69s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.70s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.70s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.72s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.69s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.71s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 17, 29], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]
0.69s;955;[[6, 33, 3, 18, 26, 1, 23, 9, 7, 20], [8, 31, 25, 21], [12, 16, 10, 29, 17], [13, 32, 2, 19, 11, 5, 30, 15], [22, 14, 4, 28, 24, 27, 34]]

avg_time;avg_ans;best;worst
0.74s;955.00;955;955
