elapsed;fitness;solution
0.98s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 22, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.85s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.70s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.84s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 22, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.46s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.55s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.44s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.42s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.52s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.43s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.69s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.46s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 22, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.49s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 22, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.46s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.75s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 22, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.46s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.68s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 20, 22, 23, 24, 25, 17, 13], [30, 14, 31]]
0.41s;835;[[1, 15, 26, 27, 28, 16, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 21, 22, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.69s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]
0.40s;835;[[1, 15, 26, 27, 16, 28, 29], [2, 12, 11, 32, 8, 9, 7, 4], [3, 5, 6, 10, 18, 19, 22, 21, 20, 23, 24, 25, 17, 13], [30, 14, 31]]

avg_time;avg_ans;best;worst
0.58s;835.00;835;835
