elapsed;fitness;solution
31.53s;1168;[[2, 33, 49, 9, 30, 51, 6, 3, 15, 44, 13, 58], [7, 27, 65, 55, 60, 4, 47, 34], [12, 29, 40, 39, 56, 62], [19, 23, 66, 22, 24], [26, 32, 17, 10, 36, 1, 48, 16, 43], [28, 14, 25, 63, 11, 42, 57], [31, 18, 53, 64, 61, 21, 67], [38, 8, 59, 41, 20, 45, 35, 68], [52, 50, 37, 5, 46, 54]]
13.38s;1171;[[7, 27, 21, 67, 61, 64, 2, 31], [16, 48, 1, 36, 56, 62], [18, 53, 33, 49, 9, 30, 23], [19, 58, 22, 12, 43, 24], [26, 37, 10, 32, 17, 50, 52], [28, 57, 42, 11, 63, 46, 5, 54], [29, 40, 38, 39, 8, 59, 20, 41, 68], [34, 14, 25, 47, 4, 60, 55, 65], [51, 6, 3, 15, 44, 35, 45, 13, 66]]
12.20s;1177;[[2, 33, 49, 9, 30, 6, 51, 3, 15, 44, 66, 58], [7, 64, 61, 67, 21, 27], [12, 38, 8, 39, 40, 29, 24], [13, 35, 45, 20, 41, 59, 68, 22], [19, 23, 53, 18, 31], [28, 34, 47, 4, 60, 55, 65], [43, 26, 5, 46, 63, 11, 25, 14, 42, 57], [50, 48, 1, 36, 56, 62], [52, 16, 10, 32, 17, 37, 54]]
19.37s;1177;[[19, 23, 66, 12, 22], [24, 62, 36, 1, 48, 16, 43], [26, 37, 32, 10, 17, 50, 52], [27, 65, 55, 60, 4, 47, 14, 34], [28, 7, 67, 21, 61, 64], [29, 40, 38, 59, 8, 39, 56], [31, 18, 53, 2, 33, 49, 9, 30, 6, 15, 3, 51], [44, 13, 35, 45, 20, 41, 68, 58], [54, 5, 46, 63, 11, 25, 42, 57]]
23.44s;1170;[[2, 33, 49, 9, 30, 6, 51, 3, 15, 44, 13, 58], [7, 27, 65, 55, 60, 4, 47, 34], [19, 23, 66, 12, 22], [24, 29, 40, 39, 56, 62], [26, 17, 32, 10, 36, 1, 48, 16, 43], [28, 14, 25, 63, 11, 42, 57], [31, 18, 53, 64, 61, 21, 67], [38, 8, 59, 41, 20, 45, 35, 68], [52, 50, 37, 5, 46, 54]]
10.03s;1173;[[2, 33, 49, 9, 30, 6, 51, 3, 15, 44], [7, 67, 64, 61, 21, 27, 34], [16, 50, 5, 46, 63, 11, 57, 28], [19, 23, 53, 18, 31], [24, 22, 12, 52, 43], [26, 48, 1, 36, 10, 32, 17, 37, 54], [29, 40, 38, 59, 41, 20, 45, 35, 13, 66, 58], [42, 14, 25, 47, 4, 60, 55, 65], [62, 56, 39, 8, 68]]
19.15s;1170;[[7, 67, 21, 61, 64, 18, 31], [12, 68, 59, 41, 20, 45, 35, 13, 58], [19, 23, 66, 22, 24], [26, 5, 46, 63, 11, 25, 42, 57, 28], [27, 65, 55, 60, 4, 47, 14, 34], [29, 40, 38, 8, 39, 56, 43], [44, 15, 3, 51, 6, 30, 9, 49, 33, 2, 53], [48, 1, 36, 10, 17, 32, 37, 54], [52, 50, 16, 62]]
12.73s;1171;[[2, 33, 49, 9, 30, 51, 6, 3, 15, 44, 13, 58], [7, 27, 65, 55, 60, 4, 47, 14, 34], [19, 23, 66, 12, 22], [24, 40, 39, 56, 62], [26, 32, 17, 10, 36, 1, 48, 16, 43], [28, 42, 25, 63, 11, 57], [29, 38, 8, 59, 20, 45, 35, 41, 68], [31, 18, 53, 64, 61, 21, 67], [52, 50, 37, 5, 46, 54]]
30.30s;1168;[[7, 67, 21, 61, 64, 2, 18, 31, 19], [23, 12, 22, 24], [26, 32, 17, 10, 36, 1, 48, 16, 43], [27, 55, 60, 4, 47, 65], [28, 57, 42, 11, 63, 25, 14, 34], [29, 40, 38, 59, 41, 20, 45, 35, 13, 66, 58], [44, 15, 3, 51, 6, 30, 9, 49, 33, 53], [52, 50, 37, 5, 46, 54], [62, 56, 39, 8, 68]]
22.92s;1169;[[7, 67, 21, 61, 64, 18, 31], [12, 68, 41, 20, 45, 35, 13, 66, 58], [19, 23, 22, 24], [26, 5, 46, 63, 11, 25, 42, 57, 28], [27, 65, 55, 60, 4, 47, 14, 34], [29, 40, 38, 59, 8, 39, 56], [43, 62, 16, 50, 52], [44, 15, 3, 51, 6, 30, 9, 49, 33, 2, 53], [48, 1, 36, 10, 32, 17, 37, 54]]
