elapsed;fitness;solution
551.80s;1354;[[13, 117, 87, 172, 97, 92, 151, 59, 95, 94, 183], [18, 114, 8, 174, 45, 125, 199, 83, 166, 89, 156], [21, 72, 75, 56, 186, 23, 67, 170, 25, 55, 165, 179, 149], [26, 195, 109, 177, 150, 80, 68, 12, 138, 154], [27, 167, 127, 190, 88, 189, 108, 10, 31], [28, 76, 79, 129, 169, 121, 29, 24, 163, 134, 130, 54], [40, 73, 171, 74, 133, 22, 41, 145, 115, 178, 2, 58, 152], [51, 103, 161, 71, 65, 66, 188, 20, 128, 122, 69, 132], [52, 106, 194, 7, 48, 19, 123, 182, 146], [53, 105, 110, 155, 4, 139, 187, 39, 197, 198, 180], [57, 15, 43, 14, 38, 140, 86, 113, 17, 84, 173, 5, 147], [60, 118, 61, 16, 141, 191, 44, 119, 192, 142, 42, 144, 137], [62, 107, 175, 11, 64, 49, 143, 36, 47, 168, 124, 46, 82, 153], [98, 37, 100, 193, 91, 85, 93, 104, 99, 96, 6, 112], [111, 50, 102, 157, 158, 3, 77, 196, 116, 184], [148, 159, 90, 126, 63, 181, 32, 131, 160, 30, 70, 101, 162], [176, 1, 33, 81, 120, 9, 136, 35, 135, 164, 34, 78, 185]]
311.95s;1352;[[1, 20, 188, 66, 128, 131, 32, 160, 30, 70, 162, 27], [2, 115, 178, 145, 41, 22, 133, 75, 74, 171, 72, 73, 40], [6, 96, 99, 104, 93, 37, 92, 59, 95, 94, 183, 112], [7, 123, 19, 49, 143, 36, 47, 168, 124, 46, 114, 18, 166], [10, 189, 108, 90, 126, 63, 181, 64, 11, 175, 107, 182, 194], [13, 87, 172, 42, 142, 192, 100, 85, 98, 151, 156], [26, 195, 54, 130, 165, 55, 39, 187, 139, 155, 4, 110], [28, 184, 196, 116, 68, 80, 150, 12, 154, 138], [52, 153, 106, 48, 82, 8, 174, 45, 125, 199, 83, 89], [53, 58, 152, 21, 180, 105], [60, 118, 84, 17, 113, 86, 16, 61, 173, 5, 147], [76, 77, 3, 158, 79, 129, 169, 121, 29, 24, 163, 134, 177, 109], [111, 50, 102, 33, 81, 120, 164, 34, 78, 185, 157], [117, 97, 193, 91, 141, 191, 119, 44, 140, 38, 14, 43, 15, 57, 144, 137], [132, 69, 101, 122, 103, 71, 65, 136, 35, 135, 161, 9, 51, 176], [146, 127, 190, 88, 148, 62, 159, 31, 167], [149, 179, 25, 170, 67, 23, 186, 56, 197, 198]]
199.22s;1355;[[1, 33, 9, 135, 35, 136, 65, 71, 161, 103, 51, 122, 162, 69], [12, 109, 177, 150, 80, 163, 24, 134, 54, 130, 179, 149, 26], [13, 97, 151, 92, 98, 85, 93, 59, 94], [27, 159, 11, 107, 175, 64, 181, 63, 126, 10, 189, 167], [28, 76, 196, 116, 184, 154, 138], [40, 73, 171, 74, 133, 22, 41, 145, 178, 115, 2, 58, 152], [50, 102, 157, 81, 185, 79, 129, 158, 3, 77, 111], [53, 105, 21, 72, 75, 23, 186, 56, 197, 198, 180], [68, 121, 29, 169, 78, 34, 164, 120, 176, 132], [84, 17, 113, 86, 140, 38, 14, 43, 15, 57, 144, 172, 87], [89, 18, 114, 8, 174, 45, 125, 199, 83, 166, 6, 112], [101, 70, 30, 20, 188, 66, 128, 160, 131, 32, 90, 108], [110, 4, 155, 139, 187, 39, 67, 170, 25, 55, 165, 195], [117, 95, 37, 100, 193, 91, 191, 16, 141, 44, 119, 192, 142, 42, 137], [123, 19, 49, 143, 36, 46, 124, 47, 168, 48, 82, 153], [127, 190, 31, 88, 148, 62, 182, 7, 194, 106, 52, 146], [156, 147, 118, 60, 5, 173, 61, 99, 104, 96, 183]]
227.96s;1354;[[9, 103, 161, 71, 65, 136, 35, 135, 34, 78, 185, 102], [13, 137, 144, 172, 142, 43, 15, 57, 178, 115, 2, 58, 152], [18, 114, 8, 174, 46, 47, 168, 48, 7, 194, 106], [26, 149, 179, 187, 39, 139, 4, 155, 110, 180, 105], [27, 167, 162, 31, 190, 127, 146], [28, 76, 184, 116, 68, 80, 150, 177, 109, 12, 154], [40, 21, 56, 186, 23, 67, 170, 25, 55, 165, 130, 54, 195], [52, 182, 123, 19, 107, 175, 11, 159, 62, 148, 88], [53, 198, 197, 75, 133, 22, 41, 145, 171, 74, 72, 73], [61, 16, 141, 191, 44, 119, 192, 85, 94, 156], [87, 42, 14, 38, 140, 86, 113, 17, 173, 84, 5, 147], [89, 166, 83, 199, 125, 45, 118, 60, 6, 183, 112], [90, 32, 131, 160, 128, 66, 188, 20, 30, 70, 101, 69, 132], [95, 59, 96, 104, 99, 93, 193, 91, 100, 98, 37, 92, 151, 97, 117], [111, 50, 157, 33, 81, 164, 120, 51, 122, 1, 176], [138, 134, 163, 24, 29, 121, 169, 129, 79, 3, 158, 77, 196], [153, 82, 124, 36, 143, 49, 64, 181, 63, 126, 108, 10, 189]]
504.77s;1354;[[1, 51, 103, 161, 9, 120, 81, 33, 102, 50], [4, 155, 139, 187, 39, 67, 170, 25, 55, 165, 195, 26], [6, 5, 84, 173, 17, 113, 86, 140, 38, 14, 119, 192, 100, 37], [12, 68, 121, 29, 169, 34, 164, 78, 129, 79, 185, 111], [18, 8, 174, 46, 36, 143, 49, 64, 11, 175, 107, 182, 27], [28, 76, 196, 77, 158, 3, 116, 184], [40, 73, 74, 171, 22, 133, 41, 145, 57, 15, 43, 142, 42, 172, 144, 53], [59, 193, 91, 191, 44, 141, 16, 61, 85], [88, 148, 62, 159, 108, 189, 10, 190, 127, 167], [89, 166, 114, 45, 125, 199, 83, 60, 118, 147], [94, 95, 92, 151, 98, 93, 99, 104, 96, 183, 112], [105, 198, 110, 56, 186, 23, 75, 197, 72, 21, 180], [106, 194, 7, 123, 19, 168, 47, 124, 48, 82, 153, 52, 146], [132, 69, 101, 70, 160, 128, 131, 32, 181, 63, 126, 90, 31, 162], [138, 154, 109, 177, 150, 80, 163, 24, 134, 54, 130, 179, 149], [152, 58, 137, 2, 115, 178, 87, 97, 117, 13, 156], [157, 135, 35, 136, 65, 71, 66, 188, 20, 30, 122, 176]]
232.96s;1362;[[1, 103, 161, 71, 66, 65, 136, 35, 135, 9, 51, 176], [6, 59, 85, 16, 86, 113, 17, 84, 199, 83, 166], [13, 97, 95, 94, 183, 112, 156], [18, 114, 8, 125, 45, 174, 46, 124, 168, 48, 82, 153], [19, 47, 36, 143, 49, 64, 126, 63, 181, 32, 131, 122, 132], [26, 149, 179, 67, 23, 186, 56, 197, 198, 105], [27, 167, 31, 190, 127, 146], [28, 154, 138, 12, 80, 150, 68, 77, 196, 76, 50], [52, 106, 194, 7, 123, 107, 175, 11, 159, 62, 148, 182], [53, 40, 73, 171, 145, 41, 22, 133, 75, 74, 72, 21, 180], [58, 152, 2, 115, 178, 144, 57, 15, 43, 142, 42, 172, 87, 137], [69, 162, 101, 70, 30, 20, 188, 128, 160, 90, 108, 189, 10, 88], [89, 60, 118, 5, 173, 61, 93, 104, 99, 96, 147], [98, 100, 192, 14, 38, 140, 119, 44, 141, 191, 91, 193, 37, 92, 151, 117], [109, 177, 134, 163, 24, 29, 121, 169, 34, 164, 78, 129, 79, 158], [110, 155, 4, 139, 187, 39, 170, 25, 55, 165, 130, 54, 195], [111, 102, 157, 33, 81, 120, 185, 3, 116, 184]]
160.18s;1365;[[1, 122, 30, 160, 128, 20, 188, 66, 131, 32, 181, 90], [6, 96, 99, 93, 85, 37, 151, 59, 95, 13], [26, 110, 165, 55, 25, 170, 187, 139, 39, 67, 23, 186, 56, 74], [27, 176, 51, 103, 161, 71, 65, 136, 35, 135, 9, 111], [28, 76, 196, 77, 79, 129, 3, 158, 68, 116, 184], [50, 102, 157, 33, 81, 120, 164, 34, 78, 169, 185], [52, 7, 123, 19, 107, 175, 11, 64, 63, 126, 108, 189, 10, 101, 69, 132], [53, 40, 21, 72, 197, 75, 133, 22, 41, 145, 171, 73], [87, 144, 172, 42, 142, 43, 15, 57, 178, 115, 2, 137, 58, 152], [89, 166, 60, 83, 199, 125, 45, 174, 8, 114, 18, 167], [104, 98, 91, 141, 140, 38, 14, 192, 119, 44, 191, 193, 100, 92, 97, 117], [105, 180, 149, 179, 195, 12, 154, 138], [109, 177, 150, 80, 121, 29, 24, 163, 134, 54, 130, 4, 155, 198], [118, 84, 17, 113, 86, 16, 61, 173, 5, 147], [127, 190, 88, 182, 62, 159, 148, 31, 70, 162], [146, 194, 106, 48, 124, 47, 168, 49, 143, 36, 46, 82, 153], [156, 112, 94, 183]]
232.38s;1367;[[6, 61, 113, 86, 38, 140, 44, 119, 14, 142, 43, 15, 57], [12, 109, 165, 55, 25, 170, 67, 39, 187, 139, 155, 4, 110], [13, 87, 100, 193, 91, 85, 98, 37, 151, 92, 97, 95, 117], [18, 153, 82, 48, 124, 47, 168, 7, 194, 106, 52, 146], [26, 149, 195, 179, 130, 54, 177, 80, 68, 116, 184], [27, 167, 190, 159, 62, 148, 88, 127], [28, 76, 196, 77, 158, 3, 129, 79, 157, 102, 50], [31, 189, 10, 126, 63, 181, 131, 32, 90, 108, 162, 69, 132], [40, 21, 72, 74, 133, 22, 41, 145, 115, 178, 2, 58, 152], [53, 105, 180, 198, 197, 56, 186, 23, 75, 171, 73], [60, 83, 199, 46, 36, 143, 49, 64, 11, 175, 107, 19, 123, 182], [89, 166, 114, 8, 174, 125, 45, 17, 84, 118], [101, 70, 30, 160, 128, 66, 188, 20, 122, 1, 138, 154], [111, 33, 9, 135, 35, 136, 65, 71, 161, 103, 51, 176], [112, 94, 59, 93, 99, 104, 96, 183], [137, 144, 172, 42, 192, 191, 141, 16, 173, 5, 147, 156], [150, 134, 163, 24, 29, 121, 169, 78, 34, 164, 120, 81, 185]]
727.39s;1332;[[1, 122, 20, 188, 66, 128, 160, 30, 70, 101, 132], [3, 158, 185, 81, 120, 9, 33, 157, 102, 50, 111], [12, 134, 163, 24, 29, 121, 169, 129, 79, 77, 196, 76], [13, 87, 14, 38, 140, 86, 16, 61, 93, 104], [18, 168, 47, 36, 143, 49, 64, 11, 175, 107, 19, 123, 7, 146], [27, 69, 162, 131, 32, 181, 63, 126, 90, 108, 189, 10, 31], [28, 184, 116, 68, 80, 150, 177, 109, 138, 154], [40, 73, 74, 75, 23, 67, 170, 25, 55, 165, 130, 54, 195], [52, 182, 62, 159, 148, 88, 190, 127, 167], [53, 105, 26, 180, 21, 72, 171, 22, 133, 41, 145], [58, 152, 2, 115, 178, 57, 15, 43, 142, 42, 172, 144, 137], [78, 34, 164, 135, 35, 136, 65, 71, 161, 103, 51, 176], [89, 166, 114, 8, 174, 46, 124, 48, 82, 194, 106, 153], [98, 85, 91, 193, 191, 141, 44, 119, 192, 100, 37, 97, 117], [112, 94, 95, 92, 151, 59, 99, 96, 6, 183, 156], [118, 60, 83, 199, 125, 45, 17, 113, 173, 84, 5, 147], [149, 179, 110, 155, 4, 139, 187, 39, 186, 56, 197, 198]]
304.07s;1356;[[13, 98, 100, 193, 191, 44, 141, 16, 61, 93, 104, 99], [26, 195, 54, 134, 163, 24, 29, 121, 169, 129, 79, 77, 184], [27, 167, 127, 190, 31, 182, 7, 194, 106], [28, 76, 196, 158, 3, 185, 33, 102, 50, 111], [40, 133, 75, 23, 67, 170, 25, 55, 165, 130, 179, 149], [51, 103, 161, 66, 188, 20, 128, 160, 70, 101, 132], [52, 153, 82, 48, 168, 47, 124, 46, 36, 143, 49, 64, 63, 126, 146], [53, 180, 21, 73, 72, 74, 171, 22, 41, 145, 152], [58, 2, 115, 178, 57, 15, 43, 142, 42, 172, 144, 87, 137, 112], [69, 162, 10, 189, 108, 90, 181, 32, 131, 30, 122, 1, 176], [78, 34, 164, 135, 35, 136, 65, 71, 9, 120, 81, 157], [88, 148, 62, 159, 11, 175, 107, 19, 123, 18, 156], [89, 118, 173, 113, 86, 140, 38, 14, 119, 192, 97, 117], [94, 95, 92, 151, 37, 91, 85, 59, 96, 6, 183], [105, 198, 197, 56, 186, 39, 187, 139, 155, 4, 110], [116, 68, 80, 150, 177, 109, 12, 154, 138], [147, 5, 84, 17, 45, 125, 174, 8, 114, 199, 83, 60, 166]]
