elapsed;fitness;solution
85.47s;800;[[2, 62, 28, 61, 21], [4, 27, 52, 8, 46, 34], [6, 63, 23, 56, 24, 49, 16, 51], [7, 53, 14, 59, 11], [12, 9, 25, 55, 18, 50, 32], [17, 3, 44, 40], [22, 64, 42, 41, 43, 1, 33], [26, 58, 38, 10, 31, 39], [30, 48, 47, 36, 60, 20, 37], [35, 19, 54, 13, 57, 15, 5, 29, 45]]
106.47s;798;[[1, 43, 41, 42, 64, 22, 62], [2, 28, 61, 21, 30], [4, 27, 52, 34, 46], [5, 37, 20, 60, 36, 47, 48], [6, 33, 63, 23, 56, 49, 16, 51], [7, 53, 14, 59, 11], [8, 35, 19, 54, 13, 57, 15, 29, 45], [12, 9, 25, 55, 50, 18, 24], [17, 3, 44, 32, 40], [26, 58, 38, 10, 31, 39]]
91.30s;794;[[1, 43, 41, 42, 64, 22, 62], [2, 28, 61, 21, 30], [4, 27, 52, 34, 46], [5, 37, 20, 60, 36, 47, 48], [6, 51, 3, 44, 40, 17], [7, 14, 59, 11, 53], [8, 35, 19, 54, 13, 57, 15, 29, 45], [12, 58, 31, 10, 38, 26], [16, 49, 24, 56, 23, 63, 33], [32, 50, 18, 55, 25, 9, 39]]
96.59s;801;[[1, 43, 41, 42, 64, 22, 62], [4, 45, 29, 5, 48, 30], [6, 2, 28, 61, 21], [7, 38, 10, 31, 58, 26], [12, 39, 9, 40, 17], [16, 49, 24, 56, 23, 63, 33], [27, 57, 15, 37, 20, 60, 36, 47], [32, 25, 55, 18, 50, 44, 3, 51], [34, 52, 13, 54, 19, 8, 46], [35, 14, 59, 11, 53]]
107.46s;800;[[1, 43, 41, 42, 64, 22, 62], [2, 28, 61, 21, 30], [3, 44, 50, 25, 55, 18, 24, 49, 51], [4, 45, 27, 52, 34], [5, 37, 20, 60, 36, 47, 48], [6, 33, 63, 23, 56, 16, 17], [7, 38, 10, 31, 58, 26], [12, 39, 9, 32, 40], [29, 15, 57, 13, 54, 19, 8, 46], [35, 14, 59, 11, 53]]
69.97s;801;[[2, 62, 28, 61, 21], [4, 45, 29, 5, 48, 30], [6, 63, 23, 56, 24, 49, 16, 51], [7, 38, 10, 31, 58, 26], [11, 59, 14, 53, 35], [12, 40, 44, 3, 17], [22, 64, 42, 41, 43, 1, 33], [27, 57, 15, 37, 20, 60, 36, 47], [32, 50, 18, 55, 25, 9, 39], [34, 52, 13, 54, 19, 8, 46]]
118.35s;801;[[1, 43, 41, 42, 64, 22, 62], [2, 28, 61, 21, 30], [4, 27, 52, 34, 46], [5, 37, 20, 60, 36, 47, 48], [6, 33, 63, 23, 56, 49, 16], [7, 53, 14, 59, 11], [8, 35, 19, 54, 13, 57, 15, 29, 45], [12, 9, 32, 40, 17], [26, 58, 38, 10, 31, 39], [44, 50, 25, 55, 18, 24, 3, 51]]
38.31s;807;[[4, 34, 46, 26], [5, 37, 20, 60, 36, 47, 21], [6, 2, 30, 48, 29, 45], [7, 14, 59, 11, 53], [8, 35, 19, 54, 13, 57, 15, 27, 52], [12, 39, 31, 10, 38, 58], [16, 49, 24, 18, 55, 25, 50, 17], [28, 61, 64, 42, 22, 62], [33, 1, 43, 41, 56, 23, 63], [40, 9, 32, 44, 3, 51]]
87.01s;799;[[1, 43, 41, 42, 64, 22, 62], [2, 28, 61, 21, 30], [3, 50, 18, 55, 25, 9, 39, 12], [4, 27, 52, 46, 34], [5, 37, 20, 60, 36, 47, 48], [6, 51, 44, 32, 40, 17], [7, 53, 11, 59, 14], [8, 35, 19, 54, 13, 57, 15, 29, 45], [16, 49, 24, 56, 23, 63, 33], [26, 58, 10, 31, 38]]
80.55s;801;[[1, 43, 41, 42, 64, 22, 62], [2, 28, 61, 21, 30], [4, 27, 52, 34, 46], [5, 37, 20, 60, 36, 47, 48], [6, 51, 16, 3, 44, 40], [7, 53, 14, 59, 11], [8, 35, 19, 54, 13, 57, 15, 29, 45], [12, 9, 25, 55, 18, 50, 32], [17, 24, 49, 56, 23, 63, 33], [26, 58, 38, 10, 31, 39]]
